@relation dataset_day_4
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',940,128902,88031,37,74,'byte_10000'
'time_0',128902,88031,37,74,32421,'byte_9500'
'time_0',88031,37,74,32421,9434,'byte_10000'
'time_0',37,74,32421,9434,32516,'byte_500'
'time_0',74,32421,9434,32516,59,'byte_10000'
'time_0',32421,9434,32516,59,64139,'byte_10000'
'time_1',9434,32516,59,64139,59982,'byte_10000'
'time_1',32516,59,64139,59982,58635,'byte_500'
'time_1',59,64139,59982,58635,236,'byte_500'
'time_1',64139,59982,58635,236,20,'byte_10000'
'time_1',59982,58635,236,20,32371,'byte_500'
'time_1',58635,236,20,32371,227,'byte_10000'
'time_2',236,20,32371,227,29342,'byte_500'
'time_2',20,32371,227,29342,163,'byte_10000'
'time_2',32371,227,29342,163,58463,'byte_10000'
'time_2',227,29342,163,58463,64472,'byte_0'
'time_2',29342,163,58463,64472,0,'byte_0'
'time_2',163,58463,64472,0,0,'byte_10000'
'time_3',58463,64472,0,0,32224,'byte_10000'
'time_3',64472,0,0,32224,29295,'byte_0'
'time_3',0,0,32224,29295,0,'byte_0'
'time_3',0,32224,29295,0,0,'byte_0'
'time_3',32224,29295,0,0,0,'byte_10000'
'time_4',29295,0,0,0,32224,'byte_0'
'time_4',0,0,0,32224,0,'byte_10000'
'time_4',0,0,32224,0,32224,'byte_500'
'time_4',0,32224,0,32224,32,'byte_0'
'time_4',32224,0,32224,32,0,'byte_10000'
'time_4',0,32224,32,0,32224,'byte_0'
'time_5',32224,32,0,32224,0,'byte_0'
'time_5',32,0,32224,0,0,'byte_0'
'time_5',0,32224,0,0,0,'byte_0'
'time_5',32224,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,32256,'byte_0'
'time_5',0,0,0,32256,0,'byte_0'
'time_6',0,0,32256,0,0,'byte_0'
'time_6',0,32256,0,0,0,'byte_0'
'time_6',32256,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,29295,'byte_0'
'time_7',0,0,0,29295,0,'byte_0'
'time_7',0,0,29295,0,0,'byte_0'
'time_7',0,29295,0,0,0,'byte_0'
'time_7',29295,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,58590,'byte_0'
'time_8',0,0,0,58590,0,'byte_0'
'time_8',0,0,58590,0,0,'byte_0'
'time_8',0,58590,0,0,0,'byte_10000'
'time_8',58590,0,0,0,32224,'byte_0'
'time_8',0,0,0,32224,0,'byte_10000'
'time_8',0,0,32224,0,32238,'byte_10000'
'time_9',0,32224,0,32238,29295,'byte_0'
'time_9',32224,0,32238,29295,0,'byte_0'
'time_9',0,32238,29295,0,0,'byte_0'
'time_9',32238,29295,0,0,0,'byte_10000'
'time_9',29295,0,0,0,29295,'byte_0'
'time_9',0,0,0,29295,0,'byte_10000'
'time_10',0,0,29295,0,32238,'byte_10000'
'time_10',0,29295,0,32238,28618,'byte_1000'
'time_10',29295,0,32238,28618,744,'byte_10000'
'time_10',0,32238,28618,744,51754,'byte_10000'
