@relation dataset_day_18_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',20260,533171,533171,-397193,135978,-110880,25098,606920,632018,'byte_10000'
'time_0',533171,-496040,135978,-110880,25098,606920,632018,-609643,22375,'byte_10000'
'time_0',135978,2723,25098,606920,632018,-609643,22375,-1148,21227,'byte_10000'
'time_0',25098,610791,632018,-609643,22375,-1148,21227,627836,649063,'byte_10000'
'time_0',632018,-626688,22375,-1148,21227,627836,649063,-606229,42834,'byte_10000'
'time_0',22375,-21607,21227,627836,649063,-606229,42834,521822,564656,'byte_10000'
'time_1',21227,84407,649063,-606229,42834,521822,564656,-471834,92822,'byte_10000'
'time_1',649063,-49988,42834,521822,564656,-471834,92822,-69918,22904,'byte_10000'
'time_1',42834,541752,564656,-471834,92822,-69918,22904,414978,437882,'byte_10000'
'time_1',564656,-345060,92822,-69918,22904,414978,437882,-239410,198472,'byte_10000'
'time_1',92822,-175568,22904,414978,437882,-239410,198472,297696,496168,'byte_10000'
'time_1',22904,-58286,437882,-239410,198472,297696,496168,-351518,144650,'byte_10000'
'time_2',437882,53822,198472,297696,496168,-351518,144650,374576,519226,'byte_10000'
'time_2',198472,-23058,496168,-351518,144650,374576,519226,-506783,12443,'byte_10000'
'time_2',496168,132207,144650,374576,519226,-506783,12443,276333,288776,'byte_10000'
'time_2',144650,230450,519226,-506783,12443,276333,288776,-63125,225651,'byte_10000'
'time_2',519226,-213208,12443,276333,288776,-63125,225651,-195045,30606,'byte_10000'
'time_2',12443,258170,288776,-63125,225651,-195045,30606,195011,225617,'byte_500'
'time_3',288776,34,225651,-195045,30606,195011,225617,-225602,15,'byte_500'
'time_3',225651,30591,30606,195011,225617,-225602,15,-3,12,'byte_10000'
'time_3',30606,225605,225617,-225602,15,-3,12,161147,161159,'byte_500'
'time_3',225617,-161144,15,-3,12,161147,161159,-161134,25,'byte_10000'
'time_3',15,-13,12,161147,161159,-161134,25,161136,161161,'byte_10000'
'time_4',12,-2,161159,-161134,25,161136,161161,-32206,128955,'byte_7500'
'time_4',161159,-128930,25,161136,161161,-32206,128955,-121948,7007,'byte_10000'
'time_4',25,154154,161161,-32206,128955,-121948,7007,16034,23041,'byte_10000'
'time_4',161161,105914,128955,-121948,7007,16034,23041,41423,64464,'byte_500'
'time_4',128955,-57457,7007,16034,23041,41423,64464,-64452,12,'byte_8000'
'time_4',7007,23029,23041,41423,64464,-64452,12,7709,7721,'byte_10000'
'time_5',23041,56743,64464,-64452,12,7709,7721,56750,64471,'byte_10000'
'time_5',64464,-64459,12,7709,7721,56750,64471,-35176,29295,'byte_10000'
'time_5',12,-21574,7721,56750,64471,-35176,29295,2937,32232,'byte_500'
'time_5',7721,32239,64471,-35176,29295,2937,32232,-32232,0,'byte_500'
'time_5',64471,29295,29295,2937,32232,-32232,0,0,0,'byte_500'
'time_5',29295,32232,32232,-32232,0,0,0,0,0,'byte_500'
'time_6',32232,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,32232,32232,'byte_10000'
'time_6',0,-32232,0,0,0,32232,32232,15,32247,'byte_10000'
'time_6',0,-32247,0,32232,32232,15,32247,55658,87905,'byte_500'
'time_6',0,-55673,32232,15,32247,55658,87905,-87905,0,'byte_500'
'time_7',32232,32247,32247,55658,87905,-87905,0,13,13,'byte_10000'
'time_7',32247,87892,87905,-87905,0,13,13,96682,96695,'byte_10000'
'time_7',87905,-96695,0,13,13,96682,96695,26207,122902,'byte_7000'
'time_7',0,-122889,13,96682,96695,26207,122902,-116134,6768,'byte_500'
'time_7',13,89927,96695,26207,122902,-116134,6768,-6758,10,'byte_10000'
'time_7',96695,122892,122902,-116134,6768,-6758,10,225621,225631,'byte_10000'
'time_8',122902,-218863,6768,-6758,10,225621,225631,-21022,204609,'byte_1000'
'time_8',6768,-204599,10,225621,225631,-21022,204609,-204076,533,'byte_10000'
'time_8',10,225098,225631,-21022,204609,-204076,533,58109,58642,'byte_10000'
'time_8',225631,145967,204609,-204076,533,58109,58642,-47563,11079,'byte_10000'
'time_8',204609,-10546,533,58109,58642,-47563,11079,97,11176,'byte_8500'
'time_9',533,47466,58642,-47563,11079,97,11176,-2737,8439,'byte_10000'
'time_9',58642,2640,11079,97,11176,-2737,8439,281655,290094,'byte_500'
'time_9',11079,-278918,11176,-2737,8439,281655,290094,-290088,6,'byte_10000'
'time_9',11176,8433,8439,281655,290094,-290088,6,78416,78422,'byte_10000'
'time_9',8439,211672,290094,-290088,6,78416,78422,-66476,11946,'byte_10000'
'time_9',290094,-11940,6,78416,78422,-66476,11946,333691,345637,'byte_10000'
'time_10',6,-267215,78422,-66476,11946,333691,345637,8928,354565,'byte_500'
'time_10',78422,-342619,11946,333691,345637,8928,354565,-354552,13,'byte_10000'
'time_10',11946,345624,345637,8928,354565,-354552,13,20695,20708,'byte_10000'
'time_10',345637,333857,354565,-354552,13,20695,20708,44705,65413,'byte_10000'
'time_10',354565,-65400,13,20695,20708,44705,65413,334982,400395,'byte_10000'
'time_10',13,-379687,20708,44705,65413,334982,400395,-382400,17995,'byte_2500'
'time_11',20708,47418,65413,334982,400395,-382400,17995,-15528,2467,'byte_10000'
'time_11',65413,397928,400395,-382400,17995,-15528,2467,449887,452354,'byte_10000'
'time_11',400395,-434359,17995,-15528,2467,449887,452354,-291301,161053,'byte_10000'
'time_11',17995,-158586,2467,449887,452354,-291301,161053,-108472,52581,'byte_10000'
'time_11',2467,399773,452354,-291301,161053,-108472,52581,-35659,16922,'byte_10000'
'time_11',452354,144131,161053,-108472,52581,-35659,16922,602173,619095,'byte_10000'
'time_12',161053,-566514,52581,-35659,16922,602173,619095,46280,665375,'byte_10000'
'time_12',52581,-648453,16922,602173,619095,46280,665375,-642846,22529,'byte_10000'
'time_12',16922,596566,619095,46280,665375,-642846,22529,591448,613977,'byte_10000'
'time_12',619095,51398,665375,-642846,22529,591448,613977,18826,632803,'byte_10000'
'time_12',665375,-610274,22529,591448,613977,18826,632803,-580955,51848,'byte_10000'
'time_13',22529,562129,613977,18826,632803,-580955,51848,595601,647449,'byte_10000'
'time_13',613977,-14646,632803,-580955,51848,595601,647449,-67007,580442,'byte_10000'
'time_13',632803,-528594,51848,595601,647449,-67007,580442,-560137,20305,'byte_10000'
'time_13',51848,627144,647449,-67007,580442,-560137,20305,571837,592142,'byte_10000'
'time_13',647449,-11700,580442,-560137,20305,571837,592142,-55340,536802,'byte_4500'
'time_13',580442,-516497,20305,571837,592142,-55340,536802,-532783,4019,'byte_10000'
'time_14',20305,588123,592142,-55340,536802,-532783,4019,414972,418991,'byte_6500'
'time_14',592142,117811,536802,-532783,4019,414972,418991,-412671,6320,'byte_7000'
'time_14',536802,-2301,4019,414972,418991,-412671,6320,516,6836,'byte_1000'
'time_14',4019,412155,418991,-412671,6320,516,6836,-5946,890,'byte_1000'
'time_14',418991,5430,6320,516,6836,-5946,890,-117,773,'byte_8000'
'time_14',6320,6063,6836,-5946,890,-117,773,6941,7714,'byte_7500'
'time_15',6836,-6824,890,-117,773,6941,7714,-523,7191,'byte_2000'
'time_15',890,-6418,773,6941,7714,-523,7191,-5633,1558,'byte_8000'
'time_15',773,6156,7714,-523,7191,-5633,1558,6424,7982,'byte_1000'
'time_15',7714,-791,7191,-5633,1558,6424,7982,-7056,926,'byte_1000'
'time_15',7191,632,1558,6424,7982,-7056,926,-330,596,'byte_8000'
'time_15',1558,7386,7982,-7056,926,-330,596,7218,7814,'byte_2500'
'time_16',7982,-6888,926,-330,596,7218,7814,-5534,2280,'byte_10000'
'time_16',926,-1684,596,7218,7814,-5534,2280,7830,10110,'byte_1000'
'time_16',596,-2296,7814,-5534,2280,7830,10110,-9581,529,'byte_1500'
'time_16',7814,1751,2280,7830,10110,-9581,529,623,1152,'byte_500'
'time_16',2280,8958,10110,-9581,529,623,1152,-792,360,'byte_10000'
'time_17',10110,169,529,623,1152,-792,360,10259,10619,'byte_3000'
'time_17',529,-9467,1152,-792,360,10259,10619,-7894,2725,'byte_10000'
'time_17',1152,-2365,360,10259,10619,-7894,2725,11620,14345,'byte_2500'
'time_17',360,-3726,10619,-7894,2725,11620,14345,-11940,2405,'byte_10000'
'time_17',10619,320,2725,11620,14345,-11940,2405,10633,13038,'byte_10000'
'time_17',2725,1307,14345,-11940,2405,10633,13038,-887,12151,'byte_10000'
'time_18',14345,-9746,2405,10633,13038,-887,12151,-1437,10714,'byte_7000'
'time_18',2405,2324,13038,-887,12151,-1437,10714,-3982,6732,'byte_10000'
'time_18',13038,5419,12151,-1437,10714,-3982,6732,7172,13904,'byte_1000'
'time_18',12151,-3190,10714,-3982,6732,7172,13904,-13318,586,'byte_10000'
'time_18',10714,6146,6732,7172,13904,-13318,586,13220,13806,'byte_1000'
'time_19',6732,98,13904,-13318,586,13220,13806,-13157,649,'byte_10000'
'time_19',13904,-63,586,13220,13806,-13157,649,11796,12445,'byte_8000'
'time_19',586,1361,13806,-13157,649,11796,12445,-4915,7530,'byte_10000'
'time_19',13806,-6881,649,11796,12445,-4915,7530,8764,16294,'byte_3000'
'time_19',649,-3849,12445,-4915,7530,8764,16294,-13375,2919,'byte_2500'
'time_19',12445,4611,7530,8764,16294,-13375,2919,-706,2213,'byte_10000'
'time_20',7530,14081,16294,-13375,2919,-706,2213,14626,16839,'byte_3500'
'time_20',16294,-13920,2919,-706,2213,14626,16839,-13766,3073,'byte_10000'
'time_20',2919,-860,2213,14626,16839,-13766,3073,12076,15149,'byte_5500'
'time_20',2213,1690,16839,-13766,3073,12076,15149,-9671,5478,'byte_10000'
'time_20',16839,-2405,3073,12076,15149,-9671,5478,12267,17745,'byte_10000'
'time_21',3073,-2596,15149,-9671,5478,12267,17745,-2048,15697,'byte_10000'
'time_21',15149,-10219,5478,12267,17745,-2048,15697,-1291,14406,'byte_500'
'time_21',5478,3339,17745,-2048,15697,-1291,14406,-14264,142,'byte_1500'
'time_21',17745,15555,15697,-1291,14406,-14264,142,1335,1477,'byte_1500'
'time_21',15697,12929,14406,-14264,142,1335,1477,-115,1362,'byte_10000'
'time_21',14406,-1220,142,1335,1477,-115,1362,11823,13185,'byte_1500'
'time_22',142,-11708,1477,-115,1362,11823,13185,-12122,1063,'byte_4000'
'time_22',1477,299,1362,11823,13185,-12122,1063,2495,3558,'byte_10000'
'time_22',1362,9627,13185,-12122,1063,2495,3558,13011,16569,'byte_6000'
'time_22',13185,-15506,1063,2495,3558,13011,16569,-10639,5930,'byte_6000'
'time_22',1063,-2372,3558,13011,16569,-10639,5930,-154,5776,'byte_10000'
'time_23',3558,10793,16569,-10639,5930,-154,5776,12587,18363,'byte_3000'
'time_23',16569,-12433,5930,-154,5776,12587,18363,-15818,2545,'byte_10000'
