@relation dataset_day_5
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',298,36,31,161101,278,'byte_10000'
'time_0',36,31,161101,278,117197,'byte_10000'
'time_0',31,161101,278,117197,32309,'byte_500'
'time_0',161101,278,117197,32309,192,'byte_10000'
'time_0',278,117197,32309,192,64610,'byte_1000'
'time_0',117197,32309,192,64610,29105,'byte_10000'
'time_1',32309,192,64610,29105,87954,'byte_500'
'time_1',192,64610,29105,87954,64517,'byte_10000'
'time_1',64610,29105,87954,64517,131,'byte_10000'
'time_1',29105,87954,64517,131,31572,'byte_10000'
'time_1',87954,64517,131,31572,525,'byte_500'
'time_1',64517,131,31572,525,32250,'byte_0'
'time_2',131,31572,525,32250,140,'byte_0'
'time_2',31572,525,32250,140,32228,'byte_10000'
'time_2',525,32250,140,32228,29529,'byte_0'
'time_2',32250,140,32228,29529,32256,'byte_10000'
'time_2',140,32228,29529,32256,16,'byte_10000'
'time_3',32228,29529,32256,16,0,'byte_500'
'time_3',29529,32256,16,0,0,'byte_10000'
'time_3',32256,16,0,0,32218,'byte_0'
'time_3',16,0,0,32218,0,'byte_0'
'time_3',0,0,32218,0,29301,'byte_0'
'time_3',0,32218,0,29301,32224,'byte_0'
'time_4',32218,0,29301,32224,29,'byte_0'
'time_4',0,29301,32224,29,64417,'byte_0'
'time_4',29301,32224,29,64417,0,'byte_0'
'time_4',32224,29,64417,0,0,'byte_0'
'time_4',29,64417,0,0,0,'byte_0'
'time_4',64417,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_500'
