@relation dataset_day_24
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',573,32235,58632,64545,57677,'byte_10000'
'time_0',32235,58632,64545,57677,32343,'byte_10000'
'time_0',58632,64545,57677,32343,33308,'byte_10000'
'time_0',64545,57677,32343,33308,236,'byte_10000'
'time_0',57677,32343,33308,236,64619,'byte_0'
'time_0',32343,33308,236,64619,29534,'byte_10000'
'time_1',33308,236,64619,29534,32439,'byte_10000'
'time_1',236,64619,29534,32439,29383,'byte_500'
'time_1',64619,29534,32439,29383,32453,'byte_10000'
'time_1',29534,32439,29383,32453,29173,'byte_500'
'time_1',32439,29383,32453,29173,0,'byte_500'
'time_1',29383,32453,29173,0,29254,'byte_10000'
'time_2',32453,29173,0,29254,32351,'byte_10000'
'time_2',29173,0,29254,32351,32,'byte_10000'
'time_2',0,29254,32351,32,32328,'byte_0'
'time_2',29254,32351,32,32328,287,'byte_0'
'time_2',32351,32,32328,287,7,'byte_0'
'time_2',32,32328,287,7,64396,'byte_0'
'time_3',32328,287,7,64396,58118,'byte_0'
'time_3',287,7,64396,58118,32224,'byte_10000'
'time_3',7,64396,58118,32224,0,'byte_0'
'time_3',64396,58118,32224,0,0,'byte_500'
'time_3',58118,32224,0,0,0,'byte_0'
'time_4',32224,0,0,0,0,'byte_0'
'time_4',0,0,0,0,0,'byte_0'
'time_4',0,0,0,0,32224,'byte_0'
'time_4',0,0,0,32224,0,'byte_0'
'time_4',0,0,32224,0,32,'byte_0'
'time_4',0,32224,0,32,0,'byte_0'
'time_5',32224,0,32,0,0,'byte_500'
'time_5',0,32,0,0,0,'byte_10000'
'time_5',32,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,32,'byte_10000'
'time_6',0,0,0,32,32192,'byte_0'
'time_6',0,0,32,32192,0,'byte_10000'
'time_6',0,32,32192,0,0,'byte_500'
'time_6',32,32192,0,0,29295,'byte_0'
'time_6',32192,0,0,29295,0,'byte_0'
'time_7',0,0,29295,0,32224,'byte_10000'
'time_7',0,29295,0,32224,0,'byte_0'
'time_7',29295,0,32224,0,32224,'byte_0'
'time_7',0,32224,0,32224,32,'byte_10000'
'time_7',32224,0,32224,32,0,'byte_0'
'time_8',0,32224,32,0,0,'byte_0'
'time_8',32224,32,0,0,32224,'byte_0'
'time_8',32,0,0,32224,0,'byte_0'
'time_8',0,0,32224,0,0,'byte_10000'
'time_8',0,32224,0,0,29295,'byte_0'
'time_8',32224,0,0,29295,0,'byte_0'
'time_9',0,0,29295,0,0,'byte_500'
'time_9',0,29295,0,0,0,'byte_0'
'time_9',29295,0,0,0,0,'byte_10000'
'time_9',0,0,0,0,29295,'byte_0'
'time_9',0,0,0,29295,0,'byte_500'
'time_9',0,0,29295,0,0,'byte_10000'
'time_10',0,29295,0,0,32,'byte_10000'
'time_10',29295,0,0,32,0,'byte_10000'
'time_10',0,0,32,0,32224,'byte_10000'
'time_10',0,32,0,32224,0,'byte_10000'
'time_10',32,0,32224,0,7,'byte_10000'
'time_10',0,32224,0,7,32230,'byte_0'
'time_11',32224,0,7,32230,10629,'byte_10000'
