@relation dataset_day_1
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',353,87904,0,14886,302,'byte_0'
'time_0',87904,0,14886,302,97879,'byte_10000'
'time_0',0,14886,302,97879,317,'byte_0'
'time_0',14886,302,97879,317,87336,'byte_0'
'time_0',302,97879,317,87336,34,'byte_10000'
'time_0',97879,317,87336,34,32472,'byte_0'
'time_1',317,87336,34,32472,28889,'byte_0'
'time_1',87336,34,32472,28889,232,'byte_0'
'time_1',34,32472,28889,232,29319,'byte_0'
'time_1',32472,28889,232,29319,29279,'byte_10000'
'time_1',28889,232,29319,29279,510,'byte_0'
'time_1',232,29319,29279,510,28898,'byte_0'
'time_2',29319,29279,510,28898,64070,'byte_0'
'time_2',29279,510,28898,64070,8495,'byte_10000'
'time_2',510,28898,64070,8495,11633,'byte_0'
'time_2',28898,64070,8495,11633,43489,'byte_0'
'time_2',64070,8495,11633,43489,29249,'byte_0'
'time_2',8495,11633,43489,29249,0,'byte_10000'
'time_3',11633,43489,29249,0,29295,'byte_0'
'time_3',43489,29249,0,29295,32256,'byte_0'
'time_3',29249,0,29295,32256,0,'byte_0'
'time_3',0,29295,32256,0,0,'byte_0'
'time_3',29295,32256,0,0,32224,'byte_0'
'time_4',32256,0,0,32224,0,'byte_10000'
'time_4',0,0,32224,0,0,'byte_0'
'time_4',0,32224,0,0,29295,'byte_10000'
'time_4',32224,0,0,29295,0,'byte_0'
'time_4',0,0,29295,0,0,'byte_0'
'time_4',0,29295,0,0,0,'byte_10000'
'time_5',29295,0,0,0,0,'byte_0'
'time_5',0,0,0,0,32224,'byte_10000'
'time_5',0,0,0,32224,0,'byte_0'
'time_5',0,0,32224,0,0,'byte_10000'
'time_5',0,32224,0,0,0,'byte_0'
'time_5',32224,0,0,0,32224,'byte_10000'
'time_6',0,0,0,32224,0,'byte_0'
'time_6',0,0,32224,0,0,'byte_10000'
'time_6',0,32224,0,0,0,'byte_500'
'time_6',32224,0,0,0,29295,'byte_10000'
'time_6',0,0,0,29295,0,'byte_0'
'time_6',0,0,29295,0,0,'byte_0'
'time_7',0,29295,0,0,0,'byte_0'
'time_7',29295,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,29295,'byte_10000'
