@relation dataset_day_17
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1230,58602,32289,60060,32436,'byte_10000'
'time_0',58602,32289,60060,32436,29430,'byte_0'
'time_0',32289,60060,32436,29430,148,'byte_0'
'time_0',60060,32436,29430,148,29162,'byte_0'
'time_0',32436,29430,148,29162,32634,'byte_0'
'time_0',29430,148,29162,32634,29872,'byte_0'
'time_1',148,29162,32634,29872,256,'byte_0'
'time_1',29162,32634,29872,256,29414,'byte_0'
'time_1',32634,29872,256,29414,23305,'byte_0'
'time_1',29872,256,29414,23305,207,'byte_10000'
'time_1',256,29414,23305,207,129138,'byte_0'
'time_1',29414,23305,207,129138,1053,'byte_0'
'time_2',23305,207,129138,1053,31181,'byte_10000'
'time_2',207,129138,1053,31181,60,'byte_0'
'time_2',129138,1053,31181,60,32314,'byte_0'
'time_2',1053,31181,60,32314,32242,'byte_0'
'time_2',31181,60,32314,32242,0,'byte_0'
'time_2',60,32314,32242,0,0,'byte_0'
'time_3',32314,32242,0,0,0,'byte_0'
'time_3',32242,0,0,0,0,'byte_0'
'time_3',0,0,0,0,0,'byte_0'
'time_3',0,0,0,0,29295,'byte_0'
'time_3',0,0,0,29295,0,'byte_0'
'time_4',0,0,29295,0,0,'byte_10000'
'time_4',0,29295,0,0,0,'byte_10000'
'time_4',29295,0,0,0,0,'byte_0'
'time_4',0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,'byte_0'
'time_4',0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,32224,'byte_10000'
'time_5',0,0,0,32224,0,'byte_0'
'time_5',0,0,32224,0,0,'byte_10000'
'time_5',0,32224,0,0,32224,'byte_0'
'time_5',32224,0,0,32224,0,'byte_0'
'time_6',0,0,32224,0,0,'byte_0'
'time_6',0,32224,0,0,0,'byte_10000'
'time_6',32224,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,32224,'byte_500'
'time_7',0,0,0,32224,29295,'byte_10000'
'time_7',0,0,32224,29295,0,'byte_10000'
'time_8',0,32224,29295,0,32224,'byte_10000'
'time_8',32224,29295,0,32224,0,'byte_0'
'time_8',29295,0,32224,0,32224,'byte_10000'
'time_8',0,32224,0,32224,0,'byte_500'
'time_8',32224,0,32224,0,32224,'byte_10000'
'time_9',0,32224,0,32224,0,'byte_500'
'time_9',32224,0,32224,0,29295,'byte_10000'
'time_9',0,32224,0,29295,0,'byte_10000'
'time_9',32224,0,29295,0,0,'byte_500'
'time_9',0,29295,0,0,0,'byte_10000'
'time_9',29295,0,0,0,64475,'byte_500'
'time_10',0,0,0,64475,29295,'byte_10000'
'time_10',0,0,64475,29295,0,'byte_10000'
'time_10',0,64475,29295,0,25493,'byte_1000'
'time_10',64475,29295,0,25493,0,'byte_500'
'time_10',29295,0,25493,0,64449,'byte_500'
'time_10',0,25493,0,64449,0,'byte_500'
'time_11',25493,0,64449,0,0,'byte_500'
'time_11',0,64449,0,0,14,'byte_500'
'time_11',64449,0,0,14,29294,'byte_500'
'time_11',0,0,14,29294,55422,'byte_500'
'time_11',0,14,29294,55422,29289,'byte_500'
'time_11',14,29294,55422,29289,0,'byte_500'
'time_12',29294,55422,29289,0,87010,'byte_500'
'time_12',55422,29289,0,87010,39,'byte_500'
'time_12',29289,0,87010,39,96100,'byte_500'
'time_12',0,87010,39,96100,91,'byte_500'
'time_12',87010,39,96100,91,129139,'byte_500'
'time_13',39,96100,91,129139,29358,'byte_500'
'time_13',96100,91,129139,29358,39,'byte_500'
'time_13',91,129139,29358,39,29348,'byte_500'
'time_13',129139,29358,39,29348,366,'byte_1000'
'time_13',29358,39,29348,366,32506,'byte_500'
'time_13',39,29348,366,32506,29712,'byte_1000'
'time_14',29348,366,32506,29712,598,'byte_500'
'time_14',366,32506,29712,598,417,'byte_1000'
'time_14',32506,29712,598,417,301,'byte_500'
'time_14',29712,598,417,301,327,'byte_500'
'time_14',598,417,301,327,381,'byte_1000'
'time_14',417,301,327,381,453,'byte_1000'
'time_15',301,327,381,453,153,'byte_1000'
