@relation dataset_day_16_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',257,15961,15961,86825,102786,-70517,32269,-2922,29347,3416,32763,-5785,26978,'byte_10000'
'time_0',15961,75808,102786,-70517,32269,-2922,29347,3416,32763,-5785,26978,-26941,37,'byte_500'
'time_0',102786,32232,32269,-2922,29347,3416,32763,-5785,26978,-26941,37,58637,58674,'byte_10000'
'time_0',32269,-29327,29347,3416,32763,-5785,26978,-26941,37,58637,58674,6953,65627,'byte_500'
'time_0',29347,-32864,32763,-5785,26978,-26941,37,58637,58674,6953,65627,-33693,31934,'byte_500'
'time_0',32763,-4956,26978,-26941,37,58637,58674,6953,65627,-33693,31934,692,32626,'byte_10000'
'time_1',26978,-32589,37,58637,58674,6953,65627,-33693,31934,692,32626,-155,32471,'byte_10000'
'time_1',37,26203,58674,6953,65627,-33693,31934,692,32626,-155,32471,-32355,116,'byte_500'
'time_1',58674,65511,65627,-33693,31934,692,32626,-155,32471,-32355,116,54781,54897,'byte_500'
'time_1',65627,-22963,31934,692,32626,-155,32471,-32355,116,54781,54897,3881,58778,'byte_500'
'time_1',31934,-26152,32626,-155,32471,-32355,116,54781,54897,3881,58778,-54347,4431,'byte_10000'
'time_1',32626,28040,32471,-32355,116,54781,54897,3881,58778,-54347,4431,54641,59072,'byte_500'
'time_2',32471,-58956,116,54781,54897,3881,58778,-54347,4431,54641,59072,-58707,365,'byte_500'
'time_2',116,54532,54897,3881,58778,-54347,4431,54641,59072,-58707,365,28767,29132,'byte_500'
'time_2',54897,29646,58778,-54347,4431,54641,59072,-58707,365,28767,29132,-29132,0,'byte_500'
'time_2',58778,4431,4431,54641,59072,-58707,365,28767,29132,-29132,0,0,0,'byte_500'
'time_2',4431,59072,59072,-58707,365,28767,29132,-29132,0,0,0,32224,32224,'byte_500'
'time_2',59072,-31859,365,28767,29132,-29132,0,0,0,32224,32224,-10540,21684,'byte_500'
'time_3',365,7448,29132,-29132,0,0,0,32224,32224,-10540,21684,-21684,0,'byte_500'
'time_3',29132,0,0,0,0,32224,32224,-10540,21684,-21684,0,0,0,'byte_500'
'time_3',0,0,0,32224,32224,-10540,21684,-21684,0,0,0,0,0,'byte_500'
'time_3',0,32224,32224,-10540,21684,-21684,0,0,0,0,0,29295,29295,'byte_10000'
'time_3',32224,-7611,21684,-21684,0,0,0,0,0,29295,29295,-29295,0,'byte_500'
'time_4',21684,0,0,0,0,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_4',0,0,0,29295,29295,-29295,0,0,0,0,0,0,0,'byte_500'
'time_4',0,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',29295,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
