@relation dataset_day_7_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',105,29299,29299,-27880,1419,27925,29344,-24603,4741,49535,54276,10453,64729,'byte_500'
'time_0',29299,-63310,1419,27925,29344,-24603,4741,49535,54276,10453,64729,-35014,29715,'byte_500'
'time_0',1419,-371,29344,-24603,4741,49535,54276,10453,64729,-35014,29715,-28914,801,'byte_10000'
'time_0',29344,3940,4741,49535,54276,10453,64729,-35014,29715,-28914,801,-584,217,'byte_500'
'time_0',4741,54059,54276,10453,64729,-35014,29715,-28914,801,-584,217,-42,175,'byte_500'
'time_0',54276,64554,64729,-35014,29715,-28914,801,-584,217,-42,175,65963,66138,'byte_500'
'time_1',64729,-36423,29715,-28914,801,-584,217,-42,175,65963,66138,-38646,27492,'byte_500'
'time_1',29715,-26691,801,-584,217,-42,175,65963,66138,-38646,27492,22580,50072,'byte_500'
'time_1',801,-49855,217,-42,175,65963,66138,-38646,27492,22580,50072,-17833,32239,'byte_500'
'time_1',217,-32064,175,65963,66138,-38646,27492,22580,50072,-17833,32239,-32180,59,'byte_500'
'time_1',175,66079,66138,-38646,27492,22580,50072,-17833,32239,-32180,59,63778,63837,'byte_10000'
'time_1',66138,-36345,27492,22580,50072,-17833,32239,-32180,59,63778,63837,-63808,29,'byte_500'
'time_2',27492,50043,50072,-17833,32239,-32180,59,63778,63837,-63808,29,-29,0,'byte_500'
'time_2',50072,32239,32239,-32180,59,63778,63837,-63808,29,-29,0,32218,32218,'byte_500'
'time_2',32239,-32159,59,63778,63837,-63808,29,-29,0,32218,32218,26378,58596,'byte_500'
'time_2',59,5241,63837,-63808,29,-29,0,32218,32218,26378,58596,-26372,32224,'byte_500'
'time_2',63837,-32195,29,-29,0,32218,32218,26378,58596,-26372,32224,-32224,0,'byte_500'
'time_2',29,0,0,32218,32218,26378,58596,-26372,32224,-32224,0,0,0,'byte_500'
'time_3',0,32218,32218,26378,58596,-26372,32224,-32224,0,0,0,29295,29295,'byte_500'
'time_3',32218,29301,58596,-26372,32224,-32224,0,0,0,29295,29295,-29295,0,'byte_500'
'time_3',58596,32224,32224,-32224,0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_3',32224,0,0,0,0,29295,29295,-29295,0,0,0,29,29,'byte_10000'
'time_3',0,-29,0,29295,29295,-29295,0,0,0,29,29,-29,0,'byte_500'
'time_4',0,29295,29295,-29295,0,0,0,29,29,-29,0,29,29,'byte_500'
'time_4',29295,-29,0,0,0,29,29,-29,0,29,29,-29,0,'byte_500'
'time_4',0,0,0,29,29,-29,0,29,29,-29,0,0,0,'byte_500'
'time_4',0,29,29,-29,0,29,29,-29,0,0,0,29295,29295,'byte_10000'
'time_4',29,-29295,0,29,29,-29,0,0,0,29295,29295,-29263,32,'byte_500'
'time_4',0,-3,29,-29,0,0,0,29295,29295,-29263,32,-32,0,'byte_500'
'time_5',29,0,0,0,0,29295,29295,-29263,32,-32,0,0,0,'byte_500'
'time_5',0,0,0,29295,29295,-29263,32,-32,0,0,0,0,0,'byte_500'
'time_5',0,29295,29295,-29263,32,-32,0,0,0,0,0,0,0,'byte_10000'
'time_5',29295,32,32,-32,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',32,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_10000'
'time_6',0,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_500'
'time_6',0,0,0,0,0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_6',0,0,0,0,0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,29295,29295,-29295,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,29295,29295,-29295,0,0,0,0,0,0,0,58590,58590,'byte_500'
'time_7',29295,-58590,0,0,0,0,0,0,0,58590,58590,-58590,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,58590,58590,-58590,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,58590,58590,-58590,0,0,0,0,0,'byte_500'
'time_8',0,0,0,58590,58590,-58590,0,0,0,0,0,0,0,'byte_500'
'time_8',0,58590,58590,-58590,0,0,0,0,0,0,0,87208,87208,'byte_10000'
'time_8',58590,-87208,0,0,0,0,0,0,0,87208,87208,-54984,32224,'byte_10000'
'time_8',0,-32224,0,0,0,0,0,87208,87208,-54984,32224,-15674,16550,'byte_500'
'time_8',0,-16550,0,0,0,87208,87208,-54984,32224,-15674,16550,-16550,0,'byte_10000'
'time_8',0,0,0,87208,87208,-54984,32224,-15674,16550,-16550,0,29295,29295,'byte_10000'
'time_9',0,57913,87208,-54984,32224,-15674,16550,-16550,0,29295,29295,-29295,0,'byte_10000'
'time_9',87208,32224,32224,-15674,16550,-16550,0,29295,29295,-29295,0,32224,32224,'byte_500'
'time_9',32224,-15674,16550,-16550,0,29295,29295,-29295,0,32224,32224,-32224,0,'byte_10000'
'time_9',16550,0,0,29295,29295,-29295,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_9',0,29295,29295,-29295,0,32224,32224,-32224,0,0,0,117192,117192,'byte_10000'
'time_9',29295,-117192,0,32224,32224,-32224,0,0,0,117192,117192,-52743,64449,'byte_10000'
'time_10',0,-32225,32224,-32224,0,0,0,117192,117192,-52743,64449,-64420,29,'byte_10000'
'time_10',32224,-29,0,0,0,117192,117192,-52743,64449,-64420,29,32163,32192,'byte_2000'
'time_10',0,-32192,0,117192,117192,-52743,64449,-64420,29,32163,32192,26398,58590,'byte_500'
'time_10',0,58602,117192,-52743,64449,-64420,29,32163,32192,26398,58590,-58590,0,'byte_10000'
'time_10',117192,64449,64449,-64420,29,32163,32192,26398,58590,-58590,0,0,0,'byte_1000'
'time_10',64449,29,29,32163,32192,26398,58590,-58590,0,0,0,32256,32256,'byte_500'
'time_11',29,-64,32192,26398,58590,-58590,0,0,0,32256,32256,32193,64449,'byte_500'
'time_11',32192,-5859,58590,-58590,0,0,0,32256,32256,32193,64449,-64420,29,'byte_500'
'time_11',58590,-29,0,0,0,32256,32256,32193,64449,-64420,29,32195,32224,'byte_500'
'time_11',0,-32224,0,32256,32256,32193,64449,-64420,29,32195,32224,-2830,29394,'byte_1000'
'time_11',0,2862,32256,32193,64449,-64420,29,32195,32224,-2830,29394,41473,70867,'byte_1000'
'time_12',32256,-6418,64449,-64420,29,32195,32224,-2830,29394,41473,70867,-70735,132,'byte_1000'
'time_12',64449,-103,29,32195,32224,-2830,29394,41473,70867,-70735,132,32036,32168,'byte_500'
'time_12',29,56,32224,-2830,29394,41473,70867,-70735,132,32036,32168,55819,87987,'byte_500'
'time_12',32224,-58593,29394,41473,70867,-70735,132,32036,32168,55819,87987,-55493,32494,'byte_1000'
'time_12',29394,38373,70867,-70735,132,32036,32168,55819,87987,-55493,32494,-3093,29401,'byte_500'
'time_12',70867,-29269,132,32036,32168,55819,87987,-55493,32494,-3093,29401,2849,32250,'byte_500'
'time_13',132,-82,32168,55819,87987,-55493,32494,-3093,29401,2849,32250,-30695,1555,'byte_500'
'time_13',32168,86432,87987,-55493,32494,-3093,29401,2849,32250,-30695,1555,-1480,75,'byte_1000'
'time_13',87987,32419,32494,-3093,29401,2849,32250,-30695,1555,-1480,75,99697,99772,'byte_500'
'time_13',32494,-70371,29401,2849,32250,-30695,1555,-1480,75,99697,99772,-99250,522,'byte_500'
'time_13',29401,31728,32250,-30695,1555,-1480,75,99697,99772,-99250,522,-505,17,'byte_500'
'time_13',32250,1538,1555,-1480,75,99697,99772,-99250,522,-505,17,459,476,'byte_500'
'time_14',1555,-401,75,99697,99772,-99250,522,-505,17,459,476,-469,7,'byte_500'
