@relation dataset_day_24_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',652,36679,36679,17861,54540,-54361,179,87804,87983,-55702,32281,-2973,29308,'byte_10000'
'time_0',36679,25232,54540,-54361,179,87804,87983,-55702,32281,-2973,29308,-29273,35,'byte_500'
'time_0',54540,144,179,87804,87983,-55702,32281,-2973,29308,-29273,35,34134,34169,'byte_10000'
'time_0',179,53814,87983,-55702,32281,-2973,29308,-29273,35,34134,34169,-5763,28406,'byte_500'
'time_0',87983,3875,32281,-2973,29308,-29273,35,34134,34169,-5763,28406,-28348,58,'byte_500'
'time_0',32281,29250,29308,-29273,35,34134,34169,-5763,28406,-28348,58,189,247,'byte_10000'
'time_1',29308,-212,35,34134,34169,-5763,28406,-28348,58,189,247,31817,32064,'byte_500'
'time_1',35,2105,34169,-5763,28406,-28348,58,189,247,31817,32064,-32006,58,'byte_500'
'time_1',34169,28348,28406,-28348,58,189,247,31817,32064,-32006,58,-28,30,'byte_500'
'time_1',28406,28,58,189,247,31817,32064,-32006,58,-28,30,87186,87216,'byte_500'
'time_1',58,-86969,247,31817,32064,-32006,58,-28,30,87186,87216,-54047,33169,'byte_500'
'time_1',247,-1105,32064,-32006,58,-28,30,87186,87216,-54047,33169,25656,58825,'byte_500'
'time_2',32064,-58767,58,-28,30,87186,87216,-54047,33169,25656,58825,-26550,32275,'byte_500'
'time_2',58,-32245,30,87186,87216,-54047,33169,25656,58825,-26550,32275,-32214,61,'byte_500'
'time_2',30,87155,87216,-54047,33169,25656,58825,-26550,32275,-32214,61,32232,32293,'byte_10000'
'time_2',87216,876,33169,25656,58825,-26550,32275,-32214,61,32232,32293,-32253,40,'byte_500'
'time_2',33169,58785,58825,-26550,32275,-32214,61,32232,32293,-32253,40,33224,33264,'byte_500'
'time_2',58825,-989,32275,-32214,61,32232,32293,-32253,40,33224,33264,-33264,0,'byte_500'
'time_3',32275,61,61,32232,32293,-32253,40,33224,33264,-33264,0,29295,29295,'byte_500'
'time_3',61,2998,32293,-32253,40,33224,33264,-33264,0,29295,29295,-29295,0,'byte_500'
'time_3',32293,40,40,33224,33264,-33264,0,29295,29295,-29295,0,0,0,'byte_500'
'time_3',40,33264,33264,-33264,0,29295,29295,-29295,0,0,0,29295,29295,'byte_500'
'time_3',33264,-29295,0,29295,29295,-29295,0,0,0,29295,29295,-29263,32,'byte_500'
'time_4',0,29263,29295,-29295,0,0,0,29295,29295,-29263,32,-32,0,'byte_500'
'time_4',29295,0,0,0,0,29295,29295,-29263,32,-32,0,0,0,'byte_500'
'time_4',0,0,0,29295,29295,-29263,32,-32,0,0,0,0,0,'byte_500'
'time_4',0,29295,29295,-29263,32,-32,0,0,0,0,0,0,0,'byte_10000'
'time_4',29295,32,32,-32,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',32,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_5',0,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_500'
'time_5',0,0,0,0,0,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_5',0,0,0,29295,29295,-29295,0,0,0,0,0,0,0,'byte_500'
'time_6',0,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',29295,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
