@relation dataset_day_7_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',208,29311,29311,-6384,22927,72789,95716,-63121,32595,25859,58454,6594,65048,'byte_500'
'time_0',29311,-42121,22927,72789,95716,-63121,32595,25859,58454,6594,65048,-35613,29435,'byte_500'
'time_0',22927,66281,95716,-63121,32595,25859,58454,6594,65048,-35613,29435,-29179,256,'byte_10000'
'time_0',95716,32339,32595,25859,58454,6594,65048,-35613,29435,-29179,256,31839,32095,'byte_500'
'time_0',32595,26359,58454,6594,65048,-35613,29435,-29179,256,31839,32095,-2737,29358,'byte_10000'
'time_0',58454,35690,65048,-35613,29435,-29179,256,31839,32095,-2737,29358,2881,32239,'byte_500'
'time_1',65048,-2804,29435,-29179,256,31839,32095,-2737,29358,2881,32239,-20500,11739,'byte_500'
'time_1',29435,-11483,256,31839,32095,-2737,29358,2881,32239,-20500,11739,-7602,4137,'byte_500'
'time_1',256,27958,32095,-2737,29358,2881,32239,-20500,11739,-7602,4137,23837,27974,'byte_500'
'time_1',32095,1384,29358,2881,32239,-20500,11739,-7602,4137,23837,27974,1275,29249,'byte_500'
'time_1',29358,2990,32239,-20500,11739,-7602,4137,23837,27974,1275,29249,2966,32215,'byte_500'
'time_1',32239,-20476,11739,-7602,4137,23837,27974,1275,29249,2966,32215,27007,59222,'byte_500'
'time_2',11739,-55085,4137,23837,27974,1275,29249,2966,32215,27007,59222,-57068,2154,'byte_500'
'time_2',4137,25820,27974,1275,29249,2966,32215,27007,59222,-57068,2154,-2154,0,'byte_500'
'time_2',27974,29249,29249,2966,32215,27007,59222,-57068,2154,-2154,0,29336,29336,'byte_500'
'time_2',29249,2879,32215,27007,59222,-57068,2154,-2154,0,29336,29336,-29336,0,'byte_500'
'time_2',32215,59222,59222,-57068,2154,-2154,0,29336,29336,-29336,0,87879,87879,'byte_500'
'time_2',59222,-85725,2154,-2154,0,29336,29336,-29336,0,87879,87879,-55655,32224,'byte_500'
'time_3',2154,-32224,0,29336,29336,-29336,0,87879,87879,-55655,32224,-32224,0,'byte_10000'
'time_3',0,29336,29336,-29336,0,87879,87879,-55655,32224,-32224,0,0,0,'byte_500'
'time_3',29336,0,0,87879,87879,-55655,32224,-32224,0,0,0,0,0,'byte_500'
'time_3',0,87879,87879,-55655,32224,-32224,0,0,0,0,0,0,0,'byte_10000'
'time_3',87879,32224,32224,-32224,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',32224,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_3000'
'time_4',0,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,29295,29295,-29295,0,32224,32224,'byte_500'
'time_4',0,-32224,0,0,0,29295,29295,-29295,0,32224,32224,-32224,0,'byte_10000'
'time_4',0,0,0,29295,29295,-29295,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,29295,29295,-29295,0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_5',29295,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_500'
'time_5',0,32224,32224,-32224,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',32224,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,29307,29307,'byte_500'
'time_6',0,-29307,0,0,0,0,0,0,0,29307,29307,-29307,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,29307,29307,-29307,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,29307,29307,-29307,0,0,0,29295,29295,'byte_500'
'time_7',0,-29295,0,29307,29307,-29307,0,0,0,29295,29295,-344,28951,'byte_500'
'time_7',0,356,29307,-29307,0,0,0,29295,29295,-344,28951,-25975,2976,'byte_10000'
'time_7',29307,-2976,0,0,0,29295,29295,-344,28951,-25975,2976,29248,32224,'byte_10000'
'time_8',0,-32224,0,29295,29295,-344,28951,-25975,2976,29248,32224,-32224,0,'byte_10000'
'time_8',0,29295,29295,-344,28951,-25975,2976,29248,32224,-32224,0,29324,29324,'byte_5500'
'time_8',29295,-373,28951,-25975,2976,29248,32224,-32224,0,29324,29324,-29324,0,'byte_10000'
'time_8',28951,2976,2976,29248,32224,-32224,0,29324,29324,-29324,0,0,0,'byte_500'
'time_8',2976,32224,32224,-32224,0,29324,29324,-29324,0,0,0,0,0,'byte_10000'
'time_8',32224,0,0,29324,29324,-29324,0,0,0,0,0,0,0,'byte_500'
'time_9',0,29324,29324,-29324,0,0,0,0,0,0,0,96673,96673,'byte_4500'
'time_9',29324,-96673,0,0,0,0,0,0,0,96673,96673,-96673,0,'byte_500'
'time_9',0,0,0,0,0,0,0,96673,96673,-96673,0,0,0,'byte_10000'
'time_9',0,0,0,0,0,96673,96673,-96673,0,0,0,32224,32224,'byte_500'
'time_9',0,-32224,0,96673,96673,-96673,0,0,0,32224,32224,-32224,0,'byte_500'
'time_9',0,96673,96673,-96673,0,0,0,32224,32224,-32224,0,32224,32224,'byte_500'
'time_10',96673,-32224,0,0,0,32224,32224,-32224,0,32224,32224,-32224,0,'byte_500'
'time_10',0,0,0,32224,32224,-32224,0,32224,32224,-32224,0,32224,32224,'byte_500'
'time_10',0,0,32224,-32224,0,32224,32224,-32224,0,32224,32224,-32224,0,'byte_500'
'time_10',32224,0,0,32224,32224,-32224,0,32224,32224,-32224,0,64449,64449,'byte_500'
'time_10',0,-32225,32224,-32224,0,32224,32224,-32224,0,64449,64449,-35154,29295,'byte_500'
'time_10',32224,-29295,0,32224,32224,-32224,0,64449,64449,-35154,29295,-29295,0,'byte_1000'
'time_11',0,32224,32224,-32224,0,64449,64449,-35154,29295,-29295,0,0,0,'byte_500'
'time_11',32224,0,0,64449,64449,-35154,29295,-29295,0,0,0,58572,58572,'byte_500'
'time_11',0,5877,64449,-35154,29295,-29295,0,0,0,58572,58572,-24886,33686,'byte_500'
'time_11',64449,-4391,29295,-29295,0,0,0,58572,58572,-24886,33686,9049,42735,'byte_500'
'time_11',29295,-42735,0,0,0,58572,58572,-24886,33686,9049,42735,-37595,5140,'byte_500'
'time_12',0,-5140,0,58572,58572,-24886,33686,9049,42735,-37595,5140,19582,24722,'byte_500'
'time_12',0,33850,58572,-24886,33686,9049,42735,-37595,5140,19582,24722,-24707,15,'byte_500'
'time_12',58572,33671,33686,9049,42735,-37595,5140,19582,24722,-24707,15,29318,29333,'byte_500'
'time_12',33686,13402,42735,-37595,5140,19582,24722,-24707,15,29318,29333,-29333,0,'byte_500'
'time_12',42735,5140,5140,19582,24722,-24707,15,29318,29333,-29333,0,4096,4096,'byte_500'
'time_12',5140,20626,24722,-24707,15,29318,29333,-29333,0,4096,4096,-3849,247,'byte_1000'
'time_13',24722,-232,15,29318,29333,-29333,0,4096,4096,-3849,247,64055,64302,'byte_500'
'time_13',15,-34969,29333,-29333,0,4096,4096,-3849,247,64055,64302,-64241,61,'byte_1000'
'time_13',29333,-61,0,4096,4096,-3849,247,64055,64302,-64241,61,127,188,'byte_1000'
'time_13',0,3908,4096,-3849,247,64055,64302,-64241,61,127,188,-96,92,'byte_1000'
'time_13',4096,155,247,64055,64302,-64241,61,127,188,-96,92,85,177,'byte_500'
'time_13',247,64125,64302,-64241,61,127,188,-96,92,85,177,-140,37,'byte_1000'
'time_14',64302,24,61,127,188,-96,92,85,177,-140,37,133,170,'byte_500'
'time_14',61,18,188,-96,92,85,177,-140,37,133,170,-83,87,'byte_500'
'time_14',188,5,92,85,177,-140,37,133,170,-83,87,367,454,'byte_1000'
'time_14',92,-277,177,-140,37,133,170,-83,87,367,454,88,542,'byte_500'
'time_14',177,-505,37,133,170,-83,87,367,454,88,542,-389,153,'byte_500'
'time_15',37,17,170,-83,87,367,454,88,542,-389,153,-16,137,'byte_1000'
'time_15',170,-50,87,367,454,88,542,-389,153,-16,137,51,188,'byte_500'
'time_15',87,266,454,88,542,-389,153,-16,137,51,188,-52,136,'byte_500'
'time_15',454,406,542,-389,153,-16,137,51,188,-52,136,72,208,'byte_1000'
'time_15',542,-55,153,-16,137,51,188,-52,136,72,208,207,415,'byte_500'
