@relation dataset_day_7_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',11,58600,58600,39610,98210,-10167,88043,-55717,32326,26720,59046,4773,63819,'byte_500'
'time_0',58600,34391,98210,-10167,88043,-55717,32326,26720,59046,4773,63819,-34437,29382,'byte_500'
'time_0',98210,58661,88043,-55717,32326,26720,59046,4773,63819,-34437,29382,-29351,31,'byte_500'
'time_0',88043,32295,32326,26720,59046,4773,63819,-34437,29382,-29351,31,32270,32301,'byte_10000'
'time_0',32326,26745,59046,4773,63819,-34437,29382,-29351,31,32270,32301,-32284,17,'byte_500'
'time_0',59046,63802,63819,-34437,29382,-29351,31,32270,32301,-32284,17,196,213,'byte_10000'
'time_1',63819,29169,29382,-29351,31,32270,32301,-32284,17,196,213,-40,173,'byte_500'
'time_1',29382,-142,31,32270,32301,-32284,17,196,213,-40,173,58505,58678,'byte_500'
'time_1',31,-26377,32301,-32284,17,196,213,-40,173,58505,58678,5937,64615,'byte_500'
'time_1',32301,-64598,17,196,213,-40,173,58505,58678,5937,64615,-64406,209,'byte_500'
'time_1',17,4,213,-40,173,58505,58678,5937,64615,-64406,209,-75,134,'byte_500'
'time_1',213,39,173,58505,58678,5937,64615,-64406,209,-75,134,28370,28504,'byte_500'
'time_2',173,30174,58678,5937,64615,-64406,209,-75,134,28370,28504,36675,65179,'byte_500'
'time_2',58678,-564,64615,-64406,209,-75,134,28370,28504,36675,65179,-32834,32345,'byte_500'
'time_2',64615,-32136,209,-75,134,28370,28504,36675,65179,-32834,32345,-32345,0,'byte_500'
