@relation dataset_day_9_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',896,0,0,87920,87920,-55642,32278,-32202,76,'byte_500'
'time_0',0,87844,87920,-55642,32278,-32202,76,40550,40626,'byte_10000'
'time_0',87920,-8348,32278,-32202,76,40550,40626,-4400,36226,'byte_10000'
'time_0',32278,-36150,76,40550,40626,-4400,36226,60591,96817,'byte_10000'
'time_0',76,-56191,40626,-4400,36226,60591,96817,-67419,29398,'byte_10000'
'time_0',40626,6828,36226,60591,96817,-67419,29398,-29319,79,'byte_500'
'time_1',36226,96738,96817,-67419,29398,-29319,79,58636,58715,'byte_500'
'time_1',96817,-29317,29398,-29319,79,58636,58715,-27040,31675,'byte_10000'
'time_1',29398,-31596,79,58636,58715,-27040,31675,-1574,30101,'byte_500'
'time_1',79,28614,58715,-27040,31675,-1574,30101,-30032,69,'byte_500'
'time_1',58715,31606,31675,-1574,30101,-30032,69,58605,58674,'byte_500'
'time_1',31675,-28573,30101,-30032,69,58605,58674,-58349,325,'byte_10000'
'time_2',30101,-256,69,58605,58674,-58349,325,67487,67812,'byte_500'
'time_2',69,-9138,58674,-58349,325,67487,67812,-35470,32342,'byte_500'
'time_2',58674,-32017,325,67487,67812,-35470,32342,55527,87869,'byte_500'
'time_2',325,-20057,67812,-35470,32342,55527,87869,-55645,32224,'byte_500'
'time_2',67812,118,32342,55527,87869,-55645,32224,-32224,0,'byte_10000'
'time_2',32342,87869,87869,-55645,32224,-32224,0,0,0,'byte_10000'
'time_3',87869,32224,32224,-32224,0,0,0,32224,32224,'byte_500'
'time_3',32224,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_3',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_3',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_3',32224,0,0,0,0,0,0,32224,32224,'byte_500'
'time_4',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_4',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_4',0,-29295,0,0,0,29295,29295,2890,32185,'byte_500'
'time_5',0,-32185,0,29295,29295,2890,32185,-32156,29,'byte_500'
'time_5',0,29266,29295,2890,32185,-32156,29,-29,0,'byte_10000'
'time_5',29295,32185,32185,-32156,29,-29,0,0,0,'byte_10000'
'time_5',32185,29,29,-29,0,0,0,0,0,'byte_500'
'time_5',29,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_6',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_6',0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_6',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_6',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,47550,47550,'byte_10000'
'time_7',0,-47550,0,0,0,47550,47550,-15326,32224,'byte_500'
'time_7',0,-32224,0,47550,47550,-15326,32224,-32224,0,'byte_500'
'time_7',0,47550,47550,-15326,32224,-32224,0,0,0,'byte_10000'
'time_7',47550,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_8',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_8',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_8',0,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_8',0,0,0,32224,32224,-32224,0,32224,32224,'byte_10000'
'time_8',0,0,32224,-32224,0,32224,32224,-32224,0,'byte_500'
'time_8',32224,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_9',0,32224,32224,-32224,0,0,0,29295,29295,'byte_500'
'time_9',32224,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_9',0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_9',0,29295,29295,-29295,0,0,0,29295,29295,'byte_10000'
'time_9',29295,-29295,0,0,0,29295,29295,2929,32224,'byte_10000'
'time_9',0,-32224,0,29295,29295,2929,32224,-2929,29295,'byte_10000'
'time_10',0,0,29295,2929,32224,-2929,29295,-29263,32,'byte_1500'
'time_10',29295,32192,32224,-2929,29295,-29263,32,128834,128866,'byte_500'
'time_10',32224,-99571,29295,-29263,32,128834,128866,-70276,58590,'byte_10000'
'time_10',29295,-58558,32,128834,128866,-70276,58590,-58590,0,'byte_500'
'time_10',32,128866,128866,-70276,58590,-58590,0,30858,30858,'byte_10000'
'time_10',128866,27732,58590,-58590,0,30858,30858,-30858,0,'byte_10000'
'time_11',58590,0,0,30858,30858,-30858,0,0,0,'byte_10000'
'time_11',0,30858,30858,-30858,0,0,0,0,0,'byte_10000'
'time_11',30858,0,0,0,0,0,0,116137,116137,'byte_500'
'time_11',0,-116137,0,0,0,116137,116137,-51649,64488,'byte_500'
'time_11',0,-64488,0,116137,116137,-51649,64488,-32225,32263,'byte_10000'
'time_12',0,83874,116137,-51649,64488,-32225,32263,-31005,1258,'byte_500'
'time_12',116137,63230,64488,-32225,32263,-31005,1258,-1258,0,'byte_500'
'time_12',64488,32263,32263,-31005,1258,-1258,0,58882,58882,'byte_500'
'time_12',32263,-57624,1258,-1258,0,58882,58882,-58606,276,'byte_1000'
'time_12',1258,-276,0,58882,58882,-58606,276,116889,117165,'byte_500'
'time_12',0,-58283,58882,-58606,276,116889,117165,-85367,31798,'byte_500'
'time_13',58882,-31522,276,116889,117165,-85367,31798,85960,117758,'byte_500'
'time_13',276,-593,117165,-85367,31798,85960,117758,-53043,64715,'byte_500'
'time_13',117165,-32917,31798,85960,117758,-53043,64715,-64500,215,'byte_1000'
'time_13',31798,117543,117758,-53043,64715,-64500,215,255,470,'byte_500'
'time_13',117758,64245,64715,-64500,215,255,470,28453,28923,'byte_1000'
'time_13',64715,-28708,215,255,470,28453,28923,-28751,172,'byte_500'
'time_14',215,298,470,28453,28923,-28751,172,132,304,'byte_500'
'time_14',470,28619,28923,-28751,172,132,304,-63,241,'byte_500'
'time_14',28923,-69,172,132,304,-63,241,260,501,'byte_500'
'time_14',172,-197,304,-63,241,260,501,-280,221,'byte_500'
'time_14',304,20,241,260,501,-280,221,97,318,'byte_500'
'time_14',241,183,501,-280,221,97,318,-105,213,'byte_500'
'time_15',501,8,221,97,318,-105,213,14,227,'byte_500'
'time_15',221,91,318,-105,213,14,227,363,590,'byte_500'
'time_15',318,-377,213,14,227,363,590,-335,255,'byte_1000'
'time_15',213,-28,227,363,590,-335,255,280,535,'byte_1000'
'time_15',227,55,590,-335,255,280,535,-298,237,'byte_500'
'time_16',590,18,255,280,535,-298,237,191,428,'byte_1000'
'time_16',255,107,535,-298,237,191,428,-61,367,'byte_500'
'time_16',535,-130,237,191,428,-61,367,-85,282,'byte_500'
'time_16',237,146,428,-61,367,-85,282,-128,154,'byte_1000'
'time_16',428,213,367,-85,282,-128,154,105,259,'byte_1000'
'time_16',367,23,282,-128,154,105,259,115,374,'byte_500'
'time_17',282,-220,154,105,259,115,374,22,396,'byte_1000'
'time_17',154,-137,259,115,374,22,396,-303,93,'byte_500'
'time_17',259,281,374,22,396,-303,93,835,928,'byte_500'
'time_17',374,-532,396,-303,93,835,928,-174,754,'byte_500'
'time_17',396,-661,93,835,928,-174,754,-424,330,'byte_500'
'time_17',93,598,928,-174,754,-424,330,409,739,'byte_500'
'time_18',928,15,754,-424,330,409,739,-356,383,'byte_1500'
'time_18',754,-53,330,409,739,-356,383,-20,363,'byte_1000'
'time_18',330,376,739,-356,383,-20,363,581,944,'byte_1000'
'time_18',739,-561,383,-20,363,581,944,-292,652,'byte_1000'
'time_18',383,-289,363,581,944,-292,652,-565,87,'byte_1000'
'time_19',363,857,944,-292,652,-565,87,580,667,'byte_500'
'time_19',944,-15,652,-565,87,580,667,-502,165,'byte_1000'
'time_19',652,-78,87,580,667,-502,165,163,328,'byte_500'
'time_19',87,339,667,-502,165,163,328,-106,222,'byte_500'
'time_19',667,-57,165,163,328,-106,222,152,374,'byte_500'
'time_19',165,-46,328,-106,222,152,374,-245,129,'byte_500'
'time_20',328,93,222,152,374,-245,129,892,1021,'byte_1000'
'time_20',222,-647,374,-245,129,892,1021,-212,809,'byte_1500'
'time_20',374,-680,129,892,1021,-212,809,-122,687,'byte_1500'
'time_20',129,334,1021,-212,809,-122,687,-22,665,'byte_1000'
'time_20',1021,144,809,-122,687,-22,665,-150,515,'byte_1000'
'time_21',809,172,687,-22,665,-150,515,-73,442,'byte_1000'
'time_21',687,223,665,-150,515,-73,442,69,511,'byte_1000'
'time_21',665,4,515,-73,442,69,511,-180,331,'byte_500'
'time_21',515,111,442,69,511,-180,331,-116,215,'byte_10000'
'time_21',442,296,511,-180,331,-116,215,248,463,'byte_10000'
'time_21',511,-132,331,-116,215,248,463,-444,19,'byte_500'
'time_22',331,196,215,248,463,-444,19,545,564,'byte_10000'
'time_22',215,-101,463,-444,19,545,564,673,1237,'byte_10000'
'time_22',463,-1218,19,545,564,673,1237,-11,1226,'byte_10000'
'time_22',19,-662,564,673,1237,-11,1226,-257,969,'byte_10000'
'time_22',564,268,1237,-11,1226,-257,969,-165,804,'byte_500'
'time_23',1237,422,1226,-257,969,-165,804,-41,763,'byte_10000'
'time_23',1226,206,969,-165,804,-41,763,133,896,'byte_10000'
'time_23',969,-92,804,-41,763,133,896,-896,0,'byte_10000'
'time_23',804,763,763,133,896,-896,0,87920,87920,'byte_500'
'time_23',763,-87024,896,-896,0,87920,87920,-55642,32278,'byte_10000'
