@relation dataset_day_6_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',804,32229,32229,-32186,43,30812,30855,-36,30819,'byte_500'
'time_0',32229,-30776,43,30812,30855,-36,30819,-20416,10403,'byte_500'
'time_0',43,20452,30855,-36,30819,-20416,10403,42818,53221,'byte_10000'
'time_0',30855,-22402,30819,-20416,10403,42818,53221,5518,58739,'byte_500'
'time_0',30819,-48336,10403,42818,53221,5518,58739,-26492,32247,'byte_10000'
'time_0',10403,20974,53221,5518,58739,-26492,32247,-31987,260,'byte_500'
'time_1',53221,58479,58739,-26492,32247,-31987,260,27576,27836,'byte_500'
'time_1',58739,4411,32247,-31987,260,27576,27836,-27773,63,'byte_500'
'time_1',32247,197,260,27576,27836,-27773,63,79,142,'byte_10000'
'time_1',260,27694,27836,-27773,63,79,142,29219,29361,'byte_500'
'time_1',27836,-29298,63,79,142,29219,29361,3011,32372,'byte_500'
'time_1',63,-32230,142,29219,29361,3011,32372,-2839,29533,'byte_500'
'time_2',142,-172,29361,3011,32372,-2839,29533,2811,32344,'byte_500'
'time_2',29361,28,32372,-2839,29533,2811,32344,21440,53784,'byte_500'
'time_2',32372,-24251,29533,2811,32344,21440,53784,19429,73213,'byte_500'
'time_2',29533,-40869,32344,21440,53784,19429,73213,-40934,32279,'byte_500'
'time_2',32344,21505,53784,19429,73213,-40934,32279,-32225,54,'byte_10000'
'time_3',53784,73159,73213,-40934,32279,-32225,54,-47,7,'byte_500'
'time_3',73213,32272,32279,-32225,54,-47,7,29282,29289,'byte_500'
'time_3',32279,-29235,54,-47,7,29282,29289,-29289,0,'byte_500'
'time_3',54,7,7,29282,29289,-29289,0,64449,64449,'byte_500'
'time_3',7,-35160,29289,-29289,0,64449,64449,-64449,0,'byte_500'
'time_3',29289,0,0,64449,64449,-64449,0,0,0,'byte_500'
'time_4',0,64449,64449,-64449,0,0,0,0,0,'byte_500'
'time_4',64449,0,0,0,0,0,0,64449,64449,'byte_500'
'time_4',0,-64449,0,0,0,64449,64449,-64449,0,'byte_500'
'time_4',0,0,0,64449,64449,-64449,0,0,0,'byte_500'
'time_4',0,64449,64449,-64449,0,0,0,0,0,'byte_10000'
'time_4',64449,0,0,0,0,0,0,0,0,'byte_500'
