@relation dataset_day_15_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',917,29409,29409,-28540,869,35303,36172,-6668,29504,29140,58644,-26369,32275,'byte_10000'
'time_0',29409,-31406,869,35303,36172,-6668,29504,29140,58644,-26369,32275,-32258,17,'byte_10000'
'time_0',869,36155,36172,-6668,29504,29140,58644,-26369,32275,-32258,17,30350,30367,'byte_10000'
'time_0',36172,-863,29504,29140,58644,-26369,32275,-32258,17,30350,30367,22230,52597,'byte_500'
'time_0',29504,6047,58644,-26369,32275,-32258,17,30350,30367,22230,52597,-20299,32298,'byte_10000'
'time_0',58644,-23,32275,-32258,17,30350,30367,22230,52597,-20299,32298,-32180,118,'byte_10000'
'time_1',32275,-101,17,30350,30367,22230,52597,-20299,32298,-32180,118,58477,58595,'byte_500'
'time_1',17,-28228,30367,22230,52597,-20299,32298,-32180,118,58477,58595,-26217,32378,'byte_10000'
'time_1',30367,20219,52597,-20299,32298,-32180,118,58477,58595,-26217,32378,-3046,29332,'byte_10000'
'time_1',52597,2966,32298,-32180,118,58477,58595,-26217,32378,-3046,29332,-29260,72,'byte_500'
'time_1',32298,46,118,58477,58595,-26217,32378,-3046,29332,-29260,72,117200,117272,'byte_500'
'time_1',118,-58677,58595,-26217,32378,-3046,29332,-29260,72,117200,117272,-84972,32300,'byte_500'
'time_2',58595,78,32378,-3046,29332,-29260,72,117200,117272,-84972,32300,-32183,117,'byte_500'
'time_2',32378,29215,29332,-29260,72,117200,117272,-84972,32300,-32183,117,32162,32279,'byte_500'
'time_2',29332,-32207,72,117200,117272,-84972,32300,-32183,117,32162,32279,-3646,28633,'byte_500'
'time_2',72,88639,117272,-84972,32300,-32183,117,32162,32279,-3646,28633,-28633,0,'byte_10000'
'time_2',117272,32300,32300,-32183,117,32162,32279,-3646,28633,-28633,0,32,32,'byte_500'
'time_2',32300,85,117,32162,32279,-3646,28633,-28633,0,32,32,-32,0,'byte_500'
'time_3',117,32279,32279,-3646,28633,-28633,0,32,32,-32,0,0,0,'byte_500'
'time_3',32279,28633,28633,-28633,0,32,32,-32,0,0,0,0,0,'byte_500'
'time_3',28633,0,0,32,32,-32,0,0,0,0,0,0,0,'byte_500'
'time_3',0,32,32,-32,0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_3',32,-32224,0,0,0,0,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',0,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',32224,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_5',0,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_5',0,0,0,0,0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_5',0,0,0,29295,29295,-29295,0,0,0,0,0,32224,32224,'byte_500'
'time_6',0,-2929,29295,-29295,0,0,0,0,0,32224,32224,-32224,0,'byte_500'
'time_6',29295,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_6',0,0,0,0,0,32224,32224,-32224,0,0,0,32224,32224,'byte_500'
'time_6',0,-32224,0,32224,32224,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_6',0,32224,32224,-32224,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_6',32224,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_7',0,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_500'
'time_7',0,32224,32224,-32224,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',32224,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_8',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_8',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_8',0,0,0,0,0,0,0,0,0,0,0,42401,42401,'byte_10000'
'time_8',0,-42401,0,0,0,0,0,0,0,42401,42401,-42401,0,'byte_500'
'time_8',0,0,0,0,0,0,0,42401,42401,-42401,0,0,0,'byte_500'
'time_8',0,0,0,0,0,42401,42401,-42401,0,0,0,0,0,'byte_10000'
'time_9',0,0,0,42401,42401,-42401,0,0,0,0,0,0,0,'byte_500'
'time_9',0,42401,42401,-42401,0,0,0,0,0,0,0,64449,64449,'byte_10000'
'time_9',42401,-64449,0,0,0,0,0,0,0,64449,64449,-35154,29295,'byte_6000'
'time_9',0,-29295,0,0,0,0,0,64449,64449,-35154,29295,-29295,0,'byte_500'
'time_9',0,0,0,0,0,64449,64449,-35154,29295,-29295,0,0,0,'byte_500'
'time_9',0,0,0,64449,64449,-35154,29295,-29295,0,0,0,29295,29295,'byte_500'
'time_10',0,35154,64449,-35154,29295,-29295,0,0,0,29295,29295,-29282,13,'byte_500'
'time_10',64449,29282,29295,-29295,0,0,0,29295,29295,-29282,13,24092,24105,'byte_10000'
'time_10',29295,-24105,0,0,0,29295,29295,-29282,13,24092,24105,-18409,5696,'byte_10000'
'time_10',0,-5696,0,29295,29295,-29282,13,24092,24105,-18409,5696,-5696,0,'byte_10000'
'time_10',0,29295,29295,-29282,13,24092,24105,-18409,5696,-5696,0,32,32,'byte_500'
'time_10',29295,-19,13,24092,24105,-18409,5696,-5696,0,32,32,-32,0,'byte_500'
'time_11',13,24105,24105,-18409,5696,-5696,0,32,32,-32,0,0,0,'byte_10000'
'time_11',24105,5696,5696,-5696,0,32,32,-32,0,0,0,58561,58561,'byte_10000'
'time_11',5696,-58561,0,32,32,-32,0,0,0,58561,58561,-16133,42428,'byte_10000'
'time_11',0,-42396,32,-32,0,0,0,58561,58561,-16133,42428,-20336,22092,'byte_10000'
'time_11',32,-22092,0,0,0,58561,58561,-16133,42428,-20336,22092,-22063,29,'byte_10000'
