@relation dataset_day_6_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',247,0,0,65880,65880,-7167,58713,-26466,32247,26522,58769,-26225,32544,'byte_10000'
'time_0',0,33336,65880,-7167,58713,-26466,32247,26522,58769,-26225,32544,20282,52826,'byte_10000'
'time_0',65880,5887,58713,-26466,32247,26522,58769,-26225,32544,20282,52826,-20551,32275,'byte_500'
'time_0',58713,-28,32247,26522,58769,-26225,32544,20282,52826,-20551,32275,-32181,94,'byte_10000'
'time_0',32247,58675,58769,-26225,32544,20282,52826,-20551,32275,-32181,94,-79,15,'byte_500'
'time_0',58769,32529,32544,20282,52826,-20551,32275,-32181,94,-79,15,29348,29363,'byte_10000'
'time_1',32544,23463,52826,-20551,32275,-32181,94,-79,15,29348,29363,35330,64693,'byte_500'
'time_1',52826,-32418,32275,-32181,94,-79,15,29348,29363,35330,64693,-64233,460,'byte_500'
'time_1',32275,-366,94,-79,15,29348,29363,35330,64693,-64233,460,32083,32543,'byte_500'
'time_1',94,-32528,15,29348,29363,35330,64693,-64233,460,32083,32543,55224,87767,'byte_500'
'time_1',15,-58404,29363,35330,64693,-64233,460,32083,32543,55224,87767,-55333,32434,'byte_500'
'time_1',29363,32259,64693,-64233,460,32083,32543,55224,87767,-55333,32434,-32305,129,'byte_10000'
'time_2',64693,331,460,32083,32543,55224,87767,-55333,32434,-32305,129,57504,57633,'byte_500'
'time_2',460,-25090,32543,55224,87767,-55333,32434,-32305,129,57504,57633,-57594,39,'byte_500'
'time_2',32543,87728,87767,-55333,32434,-32305,129,57504,57633,-57594,39,29244,29283,'byte_500'
'time_2',87767,3151,32434,-32305,129,57504,57633,-57594,39,29244,29283,-29194,89,'byte_10000'
'time_2',32434,40,129,57504,57633,-57594,39,29244,29283,-29194,89,29323,29412,'byte_500'
'time_3',129,28221,57633,-57594,39,29244,29283,-29194,89,29323,29412,2594,32006,'byte_500'
'time_3',57633,-31967,39,29244,29283,-29194,89,29323,29412,2594,32006,-32006,0,'byte_500'
'time_3',39,29283,29283,-29194,89,29323,29412,2594,32006,-32006,0,29295,29295,'byte_500'
'time_3',29283,-29206,89,29323,29412,2594,32006,-32006,0,29295,29295,-29295,0,'byte_10000'
'time_3',89,29412,29412,2594,32006,-32006,0,29295,29295,-29295,0,29295,29295,'byte_500'
'time_3',29412,2711,32006,-32006,0,29295,29295,-29295,0,29295,29295,-29295,0,'byte_500'
'time_4',32006,0,0,29295,29295,-29295,0,29295,29295,-29295,0,0,0,'byte_500'
'time_4',0,29295,29295,-29295,0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_4',29295,0,0,29295,29295,-29295,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',29295,0,0,0,0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_4',0,-32224,0,0,0,0,0,0,0,32224,32224,-32224,0,'byte_500'
'time_5',0,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_5',0,0,0,32224,32224,-32224,0,0,0,0,0,32224,32224,'byte_10000'
'time_5',0,0,32224,-32224,0,0,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_5',32224,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_5',0,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_500'
'time_6',0,32224,32224,-32224,0,0,0,0,0,0,0,64449,64449,'byte_500'
'time_6',32224,-64449,0,0,0,0,0,0,0,64449,64449,-64449,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,64449,64449,-64449,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,64449,64449,-64449,0,0,0,0,0,'byte_500'
'time_6',0,0,0,64449,64449,-64449,0,0,0,0,0,0,0,'byte_500'
'time_7',0,64449,64449,-64449,0,0,0,0,0,0,0,13206,13206,'byte_10000'
'time_7',64449,-13206,0,0,0,0,0,0,0,13206,13206,-13206,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,13206,13206,-13206,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,13206,13206,-13206,0,0,0,0,0,'byte_500'
'time_7',0,0,0,13206,13206,-13206,0,0,0,0,0,29295,29295,'byte_500'
'time_8',0,-16089,13206,-13206,0,0,0,0,0,29295,29295,-29295,0,'byte_10000'
'time_8',13206,0,0,0,0,0,0,29295,29295,-29295,0,58590,58590,'byte_500'
'time_8',0,-58590,0,0,0,29295,29295,-29295,0,58590,58590,-26366,32224,'byte_10000'
'time_8',0,-32224,0,29295,29295,-29295,0,58590,58590,-26366,32224,-32224,0,'byte_10000'
'time_8',0,29295,29295,-29295,0,58590,58590,-26366,32224,-32224,0,29295,29295,'byte_10000'
'time_8',29295,-29295,0,58590,58590,-26366,32224,-32224,0,29295,29295,-29295,0,'byte_500'
'time_9',0,58590,58590,-26366,32224,-32224,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_9',58590,32224,32224,-32224,0,29295,29295,-29295,0,0,0,64449,64449,'byte_10000'
'time_9',32224,-64449,0,29295,29295,-29295,0,0,0,64449,64449,-35154,29295,'byte_10000'
'time_9',0,0,29295,-29295,0,0,0,64449,64449,-35154,29295,-29295,0,'byte_500'
'time_9',29295,0,0,0,0,64449,64449,-35154,29295,-29295,0,13,13,'byte_10000'
