@relation dataset_day_27_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',600,32292,32292,-2997,29295,-10309,18986,-6780,12206,21033,33239,-23732,9507,'byte_500'
'time_0',32292,19788,29295,-10309,18986,-6780,12206,21033,33239,-23732,9507,-4871,4636,'byte_500'
'time_0',29295,14350,18986,-6780,12206,21033,33239,-23732,9507,-4871,4636,50114,54750,'byte_10000'
'time_0',18986,-42544,12206,21033,33239,-23732,9507,-4871,4636,50114,54750,-54564,186,'byte_500'
'time_0',12206,33053,33239,-23732,9507,-4871,4636,50114,54750,-54564,186,29341,29527,'byte_500'
'time_0',33239,-20020,9507,-4871,4636,50114,54750,-54564,186,29341,29527,93067,122594,'byte_500'
'time_1',9507,-117958,4636,50114,54750,-54564,186,29341,29527,93067,122594,-63945,58649,'byte_500'
'time_1',4636,-3899,54750,-54564,186,29341,29527,93067,122594,-63945,58649,-26122,32527,'byte_500'
'time_1',54750,-32341,186,29341,29527,93067,122594,-63945,58649,-26122,32527,-3390,29137,'byte_500'
'time_1',186,390,29527,93067,122594,-63945,58649,-26122,32527,-3390,29137,13487,42624,'byte_10000'
'time_1',29527,79970,122594,-63945,58649,-26122,32527,-3390,29137,13487,42624,-13136,29488,'byte_500'
'time_1',122594,29161,58649,-26122,32527,-3390,29137,13487,42624,-13136,29488,2855,32343,'byte_500'
'time_2',58649,184,32527,-3390,29137,13487,42624,-13136,29488,2855,32343,-3036,29307,'byte_500'
'time_2',32527,-170,29137,13487,42624,-13136,29488,2855,32343,-3036,29307,-29307,0,'byte_500'
'time_2',29137,42624,42624,-13136,29488,2855,32343,-3036,29307,-29307,0,58629,58629,'byte_500'
'time_2',42624,-29141,29488,2855,32343,-3036,29307,-29307,0,58629,58629,-26411,32218,'byte_500'
'time_2',29488,125,32343,-3036,29307,-29307,0,58629,58629,-26411,32218,-32211,7,'byte_500'
'time_2',32343,29300,29307,-29307,0,58629,58629,-26411,32218,-32211,7,-7,0,'byte_500'
'time_3',29307,0,0,58629,58629,-26411,32218,-32211,7,-7,0,32224,32224,'byte_500'
'time_3',0,26405,58629,-26411,32218,-32211,7,-7,0,32224,32224,-32224,0,'byte_500'
'time_3',58629,32218,32218,-32211,7,-7,0,32224,32224,-32224,0,0,0,'byte_500'
'time_3',32218,7,7,-7,0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_3',7,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',32224,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,29289,29289,'byte_500'
'time_4',0,-29289,0,0,0,0,0,0,0,29289,29289,-29289,0,'byte_500'
'time_4',0,0,0,0,0,0,0,29289,29289,-29289,0,0,0,'byte_500'
'time_4',0,0,0,0,0,29289,29289,-29289,0,0,0,0,0,'byte_500'
'time_5',0,0,0,29289,29289,-29289,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,29289,29289,-29289,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',29289,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_5000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_10000'
'time_6',0,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_500'
'time_6',0,0,0,0,0,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,29295,29295,-29295,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',29295,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,26854,26854,'byte_10000'
'time_8',0,-26854,0,0,0,0,0,0,0,26854,26854,-26854,0,'byte_10000'
'time_8',0,0,0,0,0,0,0,26854,26854,-26854,0,58584,58584,'byte_10000'
'time_8',0,-58584,0,0,0,26854,26854,-26854,0,58584,58584,-58584,0,'byte_500'
'time_8',0,0,0,26854,26854,-26854,0,58584,58584,-58584,0,4854,4854,'byte_10000'
'time_8',0,22000,26854,-26854,0,58584,58584,-58584,0,4854,4854,54282,59136,'byte_10000'
'time_8',26854,-59136,0,58584,58584,-58584,0,4854,4854,54282,59136,5306,64442,'byte_10000'
'time_9',0,-5858,58584,-58584,0,4854,4854,54282,59136,5306,64442,-64442,0,'byte_500'
'time_9',58584,0,0,4854,4854,54282,59136,5306,64442,-64442,0,64455,64455,'byte_10000'
'time_9',0,-59601,4854,54282,59136,5306,64442,-64442,0,64455,64455,-64455,0,'byte_500'
'time_9',4854,59136,59136,5306,64442,-64442,0,64455,64455,-64455,0,64442,64442,'byte_10000'
'time_9',59136,0,64442,-64442,0,64455,64455,-64455,0,64442,64442,-12688,51754,'byte_500'
'time_9',64442,-51754,0,64455,64455,-64455,0,64442,64442,-12688,51754,-36126,15628,'byte_10000'
'time_10',0,48827,64455,-64455,0,64442,64442,-12688,51754,-36126,15628,-15628,0,'byte_10000'
'time_10',64455,0,0,64442,64442,-12688,51754,-36126,15628,-15628,0,32,32,'byte_500'
'time_10',0,64410,64442,-12688,51754,-36126,15628,-15628,0,32,32,-32,0,'byte_10000'
'time_10',64442,51754,51754,-36126,15628,-15628,0,32,32,-32,0,58584,58584,'byte_10000'
'time_10',51754,-42956,15628,-15628,0,32,32,-32,0,58584,58584,-26360,32224,'byte_10000'
'time_10',15628,-32224,0,32,32,-32,0,58584,58584,-26360,32224,-2935,29289,'byte_500'
'time_11',0,-29257,32,-32,0,58584,58584,-26360,32224,-2935,29289,-29289,0,'byte_500'
'time_11',32,0,0,58584,58584,-26360,32224,-2935,29289,-29289,0,83408,83408,'byte_500'
'time_11',0,-24824,58584,-26360,32224,-2935,29289,-29289,0,83408,83408,-71348,12060,'byte_500'
'time_11',58584,20164,32224,-2935,29289,-29289,0,83408,83408,-71348,12060,20158,32218,'byte_500'
'time_11',32224,-2929,29289,-29289,0,83408,83408,-71348,12060,20158,32218,-32154,64,'byte_500'
'time_12',29289,-64,0,83408,83408,-71348,12060,20158,32218,-32154,64,128736,128800,'byte_500'
'time_12',0,-45392,83408,-71348,12060,20158,32218,-32154,64,128736,128800,-128765,35,'byte_500'
'time_12',83408,12025,12060,20158,32218,-32154,64,128736,128800,-128765,35,64401,64436,'byte_500'
'time_12',12060,-32218,32218,-32154,64,128736,128800,-128765,35,64401,64436,-64401,35,'byte_500'
'time_12',32218,29,64,128736,128800,-128765,35,64401,64436,-64401,35,64369,64404,'byte_500'
'time_12',64,64396,128800,-128765,35,64401,64436,-64401,35,64369,64404,-35086,29318,'byte_500'
'time_13',128800,-29283,35,64401,64436,-64401,35,64369,64404,-35086,29318,-29055,263,'byte_500'
'time_13',35,64173,64436,-64401,35,64369,64404,-35086,29318,-29055,263,31744,32007,'byte_500'
'time_13',64436,-31972,35,64369,64404,-35086,29318,-29055,263,31744,32007,-2234,29773,'byte_500'
'time_13',35,34631,64404,-35086,29318,-29055,263,31744,32007,-2234,29773,2736,32509,'byte_500'
'time_13',64404,-3191,29318,-29055,263,31744,32007,-2234,29773,2736,32509,-32224,285,'byte_500'
'time_13',29318,-22,263,31744,32007,-2234,29773,2736,32509,-32224,285,-255,30,'byte_500'
'time_14',263,31977,32007,-2234,29773,2736,32509,-32224,285,-255,30,154,184,'byte_1000'
'time_14',32007,29589,29773,2736,32509,-32224,285,-255,30,154,184,-162,22,'byte_500'
'time_14',29773,32487,32509,-32224,285,-255,30,154,184,-162,22,123,145,'byte_500'
'time_14',32509,140,285,-255,30,154,184,-162,22,123,145,-51,94,'byte_500'
'time_14',285,-64,30,154,184,-162,22,123,145,-51,94,46,140,'byte_1000'
'time_14',30,44,184,-162,22,123,145,-51,94,46,140,66,206,'byte_1000'
'time_15',184,-184,22,123,145,-51,94,46,140,66,206,49,255,'byte_500'
'time_15',22,-110,145,-51,94,46,140,66,206,49,255,-112,143,'byte_500'
'time_15',145,-49,94,46,140,66,206,49,255,-112,143,169,312,'byte_500'
'time_15',94,-172,140,66,206,49,255,-112,143,169,312,-49,263,'byte_500'
'time_15',140,-57,206,49,255,-112,143,169,312,-49,263,-223,40,'byte_500'
'time_16',206,215,255,-112,143,169,312,-49,263,-223,40,375,415,'byte_1000'
'time_16',255,-272,143,169,312,-49,263,-223,40,375,415,84,499,'byte_1000'
'time_16',143,-187,312,-49,263,-223,40,375,415,84,499,-490,9,'byte_500'
'time_16',312,254,263,-223,40,375,415,84,499,-490,9,368,377,'byte_500'
'time_16',263,-337,40,375,415,84,499,-490,9,368,377,12,389,'byte_1000'
'time_16',40,26,415,84,499,-490,9,368,377,12,389,458,847,'byte_500'
'time_17',415,-348,499,-490,9,368,377,12,389,458,847,-361,486,'byte_1000'
'time_17',499,-477,9,368,377,12,389,458,847,-361,486,-461,25,'byte_500'
'time_17',9,352,377,12,389,458,847,-361,486,-461,25,341,366,'byte_1000'
'time_17',377,23,389,458,847,-361,486,-461,25,341,366,348,714,'byte_500'
'time_17',389,133,847,-361,486,-461,25,341,366,348,714,-95,619,'byte_500'
'time_18',847,-133,486,-461,25,341,366,348,714,-95,619,-158,461,'byte_500'
'time_18',486,-436,25,341,366,348,714,-95,619,-158,461,-318,143,'byte_1000'
'time_18',25,223,366,348,714,-95,619,-158,461,-318,143,150,293,'byte_1000'
'time_18',366,421,714,-95,619,-158,461,-318,143,150,293,77,370,'byte_500'
'time_18',714,249,619,-158,461,-318,143,150,293,77,370,17,387,'byte_1000'
'time_18',619,74,461,-318,143,150,293,77,370,17,387,459,846,'byte_1000'
'time_19',461,-703,143,150,293,77,370,17,387,459,846,-323,523,'byte_500'
'time_19',143,-230,293,77,370,17,387,459,846,-323,523,-143,380,'byte_1000'
'time_19',293,-10,370,17,387,459,846,-323,523,-143,380,-259,121,'byte_500'
'time_19',370,266,387,459,846,-323,523,-143,380,-259,121,471,592,'byte_500'
'time_19',387,254,846,-323,523,-143,380,-259,121,471,592,-439,153,'byte_500'
'time_20',846,370,523,-143,380,-259,121,471,592,-439,153,514,667,'byte_1000'
'time_20',523,-287,380,-259,121,471,592,-439,153,514,667,-442,225,'byte_10000'
'time_20',380,-104,121,471,592,-439,153,514,667,-442,225,344,569,'byte_10000'
'time_20',121,23,592,-439,153,514,667,-442,225,344,569,-494,75,'byte_10000'
'time_20',592,78,153,514,667,-442,225,344,569,-494,75,16,91,'byte_10000'
'time_20',153,576,667,-442,225,344,569,-494,75,16,91,206,297,'byte_10000'
'time_21',667,-72,225,344,569,-494,75,16,91,206,297,641,938,'byte_10000'
'time_21',225,-369,569,-494,75,16,91,206,297,641,938,-136,802,'byte_5000'
'time_21',569,-727,75,16,91,206,297,641,938,-136,802,-574,228,'byte_10000'
'time_21',75,-137,91,206,297,641,938,-136,802,-574,228,304,532,'byte_500'
'time_21',91,-235,297,641,938,-136,802,-574,228,304,532,356,888,'byte_10000'
'time_22',297,50,938,-136,802,-574,228,304,532,356,888,-654,234,'byte_10000'
'time_22',938,568,802,-574,228,304,532,356,888,-654,234,597,831,'byte_10000'
'time_22',802,-603,228,304,532,356,888,-654,234,597,831,-500,331,'byte_10000'
'time_22',228,201,532,356,888,-654,234,597,831,-500,331,-329,2,'byte_10000'
'time_22',532,886,888,-654,234,597,831,-500,331,-329,2,235,237,'byte_10000'
'time_22',888,-3,234,597,831,-500,331,-329,2,235,237,363,600,'byte_10000'
'time_23',234,231,831,-500,331,-329,2,235,237,363,600,31692,32292,'byte_10000'
'time_23',831,-31961,331,-329,2,235,237,363,600,31692,32292,-2997,29295,'byte_10000'
'time_23',331,-29293,2,235,237,363,600,31692,32292,-2997,29295,-10309,18986,'byte_500'
'time_23',2,-18749,237,363,600,31692,32292,-2997,29295,-10309,18986,-6780,12206,'byte_10000'
'time_23',237,-11606,600,31692,32292,-2997,29295,-10309,18986,-6780,12206,21033,33239,'byte_10000'
