@relation dataset_day_23_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',595,32265,32265,-32174,91,32143,32234,19534,51768,-51268,500,87577,88077,'byte_10000'
'time_0',32265,-87986,91,32143,32234,19534,51768,-51268,500,87577,88077,8925,97002,'byte_500'
'time_0',91,-64768,32234,19534,51768,-51268,500,87577,88077,8925,97002,-67539,29463,'byte_9500'
'time_0',32234,22305,51768,-51268,500,87577,88077,8925,97002,-67539,29463,-8377,21086,'byte_500'
'time_0',51768,-20586,500,87577,88077,8925,97002,-67539,29463,-8377,21086,8556,29642,'byte_500'
'time_0',500,58435,88077,8925,97002,-67539,29463,-8377,21086,8556,29642,-2448,27194,'byte_500'
'time_1',88077,69808,97002,-67539,29463,-8377,21086,8556,29642,-2448,27194,11526,38720,'byte_10000'
'time_1',97002,-9257,29463,-8377,21086,8556,29642,-2448,27194,11526,38720,-9065,29655,'byte_500'
'time_1',29463,-8569,21086,8556,29642,-2448,27194,11526,38720,-9065,29655,-28837,818,'byte_500'
'time_1',21086,28824,29642,-2448,27194,11526,38720,-9065,29655,-28837,818,30242,31060,'byte_500'
'time_1',29642,-3866,27194,11526,38720,-9065,29655,-28837,818,30242,31060,-31025,35,'byte_500'
'time_1',27194,38685,38720,-9065,29655,-28837,818,30242,31060,-31025,35,-34,1,'byte_10000'
'time_2',38720,29654,29655,-28837,818,30242,31060,-31025,35,-34,1,194,195,'byte_500'
'time_2',29655,623,818,30242,31060,-31025,35,-34,1,194,195,32251,32446,'byte_500'
