@relation dataset_day_9_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1080,63323,63323,-62300,1023,31273,32296,-1619,30677,1586,32263,-32087,176,'byte_500'
'time_0',63323,847,1023,31273,32296,-1619,30677,1586,32263,-32087,176,32146,32322,'byte_10000'
'time_0',1023,-26,32296,-1619,30677,1586,32263,-32087,176,32146,32322,-3640,28682,'byte_500'
'time_0',32296,1995,30677,1586,32263,-32087,176,32146,32322,-3640,28682,-27665,1017,'byte_500'
'time_0',30677,31246,32263,-32087,176,32146,32322,-3640,28682,-27665,1017,56738,57755,'byte_500'
'time_0',32263,-57579,176,32146,32322,-3640,28682,-27665,1017,56738,57755,-25518,32237,'byte_500'
'time_1',176,85,32322,-3640,28682,-27665,1017,56738,57755,-25518,32237,-32111,126,'byte_500'
'time_1',32322,28556,28682,-27665,1017,56738,57755,-25518,32237,-32111,126,32158,32284,'byte_10000'
'time_1',28682,-31267,1017,56738,57755,-25518,32237,-32111,126,32158,32284,-32167,117,'byte_10000'
'time_1',1017,57638,57755,-25518,32237,-32111,126,32158,32284,-32167,117,-21,96,'byte_500'
'time_1',57755,32141,32237,-32111,126,32158,32284,-32167,117,-21,96,29111,29207,'byte_500'
'time_1',32237,-29081,126,32158,32284,-32167,117,-21,96,29111,29207,-29146,61,'byte_500'
'time_2',126,32223,32284,-32167,117,-21,96,29111,29207,-29146,61,-61,0,'byte_500'
'time_2',32284,117,117,-21,96,29111,29207,-29146,61,-61,0,32,32,'byte_500'
'time_2',117,64,96,29111,29207,-29146,61,-61,0,32,32,29228,29260,'byte_500'
'time_2',96,-53,29207,-29146,61,-61,0,32,32,29228,29260,-29260,0,'byte_500'
'time_2',29207,61,61,-61,0,32,32,29228,29260,-29260,0,0,0,'byte_500'
'time_2',61,0,0,32,32,29228,29260,-29260,0,0,0,0,0,'byte_10000'
'time_3',0,32,32,29228,29260,-29260,0,0,0,0,0,0,0,'byte_500'
'time_3',32,29260,29260,-29260,0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_3',29260,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_500'
'time_3',0,0,0,0,0,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_3',0,0,0,0,0,29295,29295,-29295,0,0,0,29289,29289,'byte_500'
'time_4',0,-29289,0,29295,29295,-29295,0,0,0,29289,29289,-29289,0,'byte_10000'
'time_4',0,29295,29295,-29295,0,0,0,29289,29289,-29289,0,0,0,'byte_1500'
'time_4',29295,0,0,0,0,29289,29289,-29289,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,29289,29289,-29289,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,29289,29289,-29289,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',29289,0,0,0,0,0,0,0,0,0,0,64449,64449,'byte_500'
'time_5',0,-64449,0,0,0,0,0,0,0,64449,64449,-32225,32224,'byte_500'
'time_5',0,-32224,0,0,0,0,0,64449,64449,-32225,32224,-32224,0,'byte_500'
'time_5',0,0,0,0,0,64449,64449,-32225,32224,-32224,0,0,0,'byte_10000'
'time_5',0,0,0,64449,64449,-32225,32224,-32224,0,0,0,0,0,'byte_500'
'time_5',0,64449,64449,-32225,32224,-32224,0,0,0,0,0,0,0,'byte_500'
'time_5',64449,32224,32224,-32224,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',32224,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_6',0,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_7',0,0,0,29295,29295,-29295,0,0,0,0,0,32218,32218,'byte_10000'
'time_7',0,-2923,29295,-29295,0,0,0,0,0,32218,32218,-32218,0,'byte_500'
'time_7',29295,0,0,0,0,0,0,32218,32218,-32218,0,95513,95513,'byte_500'
'time_7',0,-95513,0,0,0,32218,32218,-32218,0,95513,95513,-94359,1154,'byte_500'
'time_8',0,-1154,0,32218,32218,-32218,0,95513,95513,-94359,1154,28141,29295,'byte_500'
'time_8',0,2923,32218,-32218,0,95513,95513,-94359,1154,28141,29295,2923,32218,'byte_10000'
'time_8',32218,-32218,0,95513,95513,-94359,1154,28141,29295,2923,32218,-2929,29289,'byte_10000'
'time_8',0,66224,95513,-94359,1154,28141,29295,2923,32218,-2929,29289,-29289,0,'byte_500'
'time_8',95513,1154,1154,28141,29295,2923,32218,-2929,29289,-29289,0,0,0,'byte_10000'
'time_8',1154,29295,29295,2923,32218,-2929,29289,-29289,0,0,0,0,0,'byte_500'
'time_9',29295,32218,32218,-2929,29289,-29289,0,0,0,0,0,96667,96667,'byte_500'
'time_9',32218,-67378,29289,-29289,0,0,0,0,0,96667,96667,-96667,0,'byte_10000'
'time_9',29289,0,0,0,0,0,0,96667,96667,-96667,0,0,0,'byte_9000'
'time_9',0,0,0,0,0,96667,96667,-96667,0,0,0,58607,58607,'byte_10000'
'time_9',0,-58607,0,96667,96667,-96667,0,0,0,58607,58607,-4119,54488,'byte_1000'
'time_9',0,42179,96667,-96667,0,0,0,58607,58607,-4119,54488,-54488,0,'byte_500'
'time_10',96667,0,0,0,0,58607,58607,-4119,54488,-54488,0,29295,29295,'byte_500'
'time_10',0,-29295,0,58607,58607,-4119,54488,-54488,0,29295,29295,-29295,0,'byte_500'
'time_10',0,58607,58607,-4119,54488,-54488,0,29295,29295,-29295,0,58584,58584,'byte_1000'
'time_10',58607,-4096,54488,-54488,0,29295,29295,-29295,0,58584,58584,-26313,32271,'byte_1000'
'time_10',54488,-32271,0,29295,29295,-29295,0,58584,58584,-26313,32271,-32271,0,'byte_500'
'time_10',0,29295,29295,-29295,0,58584,58584,-26313,32271,-32271,0,32224,32224,'byte_500'
'time_11',29295,-32224,0,58584,58584,-26313,32271,-32271,0,32224,32224,-32195,29,'byte_500'
'time_11',0,58555,58584,-26313,32271,-32271,0,32224,32224,-32195,29,-29,0,'byte_500'
'time_11',58584,32271,32271,-32271,0,32224,32224,-32195,29,-29,0,0,0,'byte_500'
