@relation dataset_random20_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',54,58606,58606,-26367,32239,35038,67277,-67277,0,58914,58914,-4948,53966,'byte_10000'
'time_0',58606,-21727,32239,35038,67277,-67277,0,58914,58914,-4948,53966,-16308,37658,'byte_10000'
'time_0',32239,29619,67277,-67277,0,58914,58914,-4948,53966,-16308,37658,39831,77489,'byte_10000'
'time_0',67277,-77489,0,58914,58914,-4948,53966,-16308,37658,39831,77489,-28955,48534,'byte_500'
'time_0',0,10380,58914,-4948,53966,-16308,37658,39831,77489,-28955,48534,-19245,29289,'byte_10000'
'time_0',58914,24677,53966,-16308,37658,39831,77489,-28955,48534,-19245,29289,3130,32419,'byte_500'
'time_1',53966,5239,37658,39831,77489,-28955,48534,-19245,29289,3130,32419,26317,58736,'byte_10000'
'time_1',37658,18753,77489,-28955,48534,-19245,29289,3130,32419,26317,58736,-21047,37689,'byte_500'
'time_1',77489,10845,48534,-19245,29289,3130,32419,26317,58736,-21047,37689,-37405,284,'byte_500'
'time_1',48534,29005,29289,3130,32419,26317,58736,-21047,37689,-37405,284,96146,96430,'byte_10000'
'time_1',29289,-64011,32419,26317,58736,-21047,37689,-37405,284,96146,96430,-96355,75,'byte_500'
'time_1',32419,58661,58736,-21047,37689,-37405,284,96146,96430,-96355,75,58452,58527,'byte_10000'
'time_2',58736,-20838,37689,-37405,284,96146,96430,-96355,75,58452,58527,5902,64429,'byte_500'
'time_2',37689,-64145,284,96146,96430,-96355,75,58452,58527,5902,64429,-35134,29295,'byte_500'
'time_2',284,67135,96430,-96355,75,58452,58527,5902,64429,-35134,29295,-29263,32,'byte_10000'
'time_2',96430,43,75,58452,58527,5902,64429,-35134,29295,-29263,32,29263,29295,'byte_10000'
'time_2',75,29232,58527,5902,64429,-35134,29295,-29263,32,29263,29295,-29295,0,'byte_500'
'time_2',58527,64429,64429,-35134,29295,-29263,32,29263,29295,-29295,0,29295,29295,'byte_500'
'time_3',64429,0,29295,-29263,32,29263,29295,-29295,0,29295,29295,-29295,0,'byte_500'
'time_3',29295,32,32,29263,29295,-29295,0,29295,29295,-29295,0,0,0,'byte_500'
'time_3',32,29295,29295,-29295,0,29295,29295,-29295,0,0,0,29295,29295,'byte_500'
'time_3',29295,-29295,0,29295,29295,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_3',0,29295,29295,-29295,0,0,0,29295,29295,-29295,0,29295,29295,'byte_500'
'time_4',29295,-29295,0,0,0,29295,29295,-29295,0,29295,29295,-29295,0,'byte_500'
'time_4',0,0,0,29295,29295,-29295,0,29295,29295,-29295,0,0,0,'byte_500'
'time_4',0,29295,29295,-29295,0,29295,29295,-29295,0,0,0,32224,32224,'byte_10000'
'time_4',29295,-32224,0,29295,29295,-29295,0,0,0,32224,32224,-2929,29295,'byte_500'
'time_4',0,0,29295,-29295,0,0,0,32224,32224,-2929,29295,-29295,0,'byte_500'
'time_4',29295,0,0,0,0,32224,32224,-2929,29295,-29295,0,0,0,'byte_500'
'time_5',0,0,0,32224,32224,-2929,29295,-29295,0,0,0,0,0,'byte_500'
'time_5',0,32224,32224,-2929,29295,-29295,0,0,0,0,0,0,0,'byte_10000'
'time_5',32224,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_1000'
'time_5',29295,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_6',0,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_10000'
