@relation dataset_normal_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',341,115331,115331,-86036,29295,-29155,140,29129,29269,'byte_10000'
'time_0',115331,26,29295,-29155,140,29129,29269,-29026,243,'byte_10000'
'time_0',29295,-103,140,29129,29269,-29026,243,87626,87869,'byte_1000'
'time_0',140,-58600,29269,-29026,243,87626,87869,-55347,32522,'byte_500'
'time_0',29269,-32279,243,87626,87869,-55347,32522,-32441,81,'byte_10000'
'time_0',243,87788,87869,-55347,32522,-32441,81,23692,23773,'byte_500'
'time_1',87869,8749,32522,-32441,81,23692,23773,13177,36950,'byte_500'
'time_1',32522,-36869,81,23692,23773,13177,36950,-7655,29295,'byte_10000'
'time_1',81,-5522,23773,13177,36950,-7655,29295,-28610,685,'byte_10000'
'time_1',23773,36265,36950,-7655,29295,-28610,685,-672,13,'byte_500'
'time_1',36950,29282,29295,-28610,685,-672,13,32179,32192,'byte_10000'
'time_1',29295,-31507,685,-672,13,32179,32192,-32017,175,'byte_4500'
'time_2',685,-162,13,32179,32192,-32017,175,-175,0,'byte_500'
'time_2',13,32192,32192,-32017,175,-175,0,32281,32281,'byte_10000'
'time_2',32192,-32106,175,-175,0,32281,32281,-2986,29295,'byte_500'
'time_2',175,-29295,0,32281,32281,-2986,29295,-29295,0,'byte_500'
'time_2',0,32281,32281,-2986,29295,-29295,0,25230,25230,'byte_500'
'time_2',32281,4065,29295,-29295,0,25230,25230,-20759,4471,'byte_500'
'time_3',29295,-4471,0,25230,25230,-20759,4471,-4471,0,'byte_500'
'time_3',0,25230,25230,-20759,4471,-4471,0,32224,32224,'byte_10000'
'time_3',25230,-27753,4471,-4471,0,32224,32224,-32224,0,'byte_500'
'time_3',4471,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_3',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_4',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_4',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_5',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_6',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_7',0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_7',0,32224,32224,-32224,0,0,0,32224,32224,'byte_10000'
'time_7',32224,-32224,0,0,0,32224,32224,-32195,29,'byte_500'
'time_7',0,-29,0,32224,32224,-32195,29,32163,32192,'byte_10000'
'time_7',0,32,32224,-32195,29,32163,32192,-1424,30768,'byte_500'
'time_8',32224,-30739,29,32163,32192,-1424,30768,-30768,0,'byte_500'
'time_8',29,32192,32192,-1424,30768,-30768,0,38169,38169,'byte_500'
'time_8',32192,-7401,30768,-30768,0,38169,38169,-8874,29295,'byte_10000'
'time_8',30768,-29295,0,38169,38169,-8874,29295,-29295,0,'byte_10000'
'time_8',0,38169,38169,-8874,29295,-29295,0,32224,32224,'byte_500'
'time_8',38169,-2929,29295,-29295,0,32224,32224,-32224,0,'byte_500'
'time_9',29295,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_9',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_9',32224,0,0,0,0,0,0,96686,96686,'byte_10000'
'time_9',0,-96686,0,0,0,96686,96686,-67391,29295,'byte_500'
'time_9',0,-29295,0,96686,96686,-67391,29295,-29295,0,'byte_10000'
'time_9',0,96686,96686,-67391,29295,-29295,0,32,32,'byte_500'
'time_10',96686,29263,29295,-29295,0,32,32,58529,58561,'byte_500'
'time_10',29295,-58561,0,32,32,58529,58561,-58561,0,'byte_10000'
'time_10',0,32,32,58529,58561,-58561,0,29295,29295,'byte_10000'
'time_10',32,29266,58561,-58561,0,29295,29295,-29295,0,'byte_500'
'time_10',58561,0,0,29295,29295,-29295,0,29289,29289,'byte_10000'
'time_10',0,6,29295,-29295,0,29289,29289,-29269,20,'byte_10000'
'time_11',29295,-20,0,29289,29289,-29269,20,-20,0,'byte_10000'
'time_11',0,29289,29289,-29269,20,-20,0,29307,29307,'byte_10000'
'time_11',29289,-29287,20,-20,0,29307,29307,-3983,25324,'byte_10000'
'time_11',20,-25324,0,29307,29307,-3983,25324,-25324,0,'byte_500'
'time_11',0,29307,29307,-3983,25324,-25324,0,32270,32270,'byte_10000'
'time_11',29307,-6946,25324,-25324,0,32270,32270,-46,32224,'byte_10000'
'time_12',25324,-32224,0,32270,32270,-46,32224,55661,87885,'byte_500'
'time_12',0,-55615,32270,-46,32224,55661,87885,-55661,32224,'byte_10000'
'time_12',32270,0,32224,55661,87885,-55661,32224,-2882,29342,'byte_500'
'time_12',32224,58543,87885,-55661,32224,-2882,29342,-29303,39,'byte_10000'
'time_12',87885,32185,32224,-2882,29342,-29303,39,29302,29341,'byte_10000'
'time_13',32224,1,29342,-29303,39,29302,29341,43273,72614,'byte_1000'
'time_13',29342,-72575,39,29302,29341,43273,72614,-72575,39,'byte_500'
'time_13',39,29302,29341,43273,72614,-72575,39,29250,29289,'byte_500'
'time_13',29341,43325,72614,-72575,39,29250,29289,-29166,123,'byte_500'
'time_13',72614,-84,39,29250,29289,-29166,123,31060,31183,'byte_500'
'time_13',39,-1894,29289,-29166,123,31060,31183,26714,57897,'byte_500'
'time_14',29289,-57774,123,31060,31183,26714,57897,-57341,556,'byte_1000'
'time_14',123,30627,31183,26714,57897,-57341,556,-499,57,'byte_500'
'time_14',31183,57840,57897,-57341,556,-499,57,251,308,'byte_500'
'time_14',57897,248,556,-499,57,251,308,-2,306,'byte_500'
'time_14',556,-249,57,251,308,-2,306,-123,183,'byte_500'
'time_14',57,125,308,-2,306,-123,183,285,468,'byte_500'
'time_15',308,-162,306,-123,183,285,468,45,513,'byte_500'
'time_15',306,-330,183,285,468,45,513,-154,359,'byte_500'
'time_15',183,109,468,45,513,-154,359,-210,149,'byte_500'
'time_15',468,364,513,-154,359,-210,149,1,150,'byte_500'
'time_15',513,209,359,-210,149,1,150,221,371,'byte_500'
'time_16',359,-222,149,1,150,221,371,-261,110,'byte_1000'
'time_16',149,40,150,221,371,-261,110,190,300,'byte_1500'
'time_16',150,71,371,-261,110,190,300,169,469,'byte_500'
'time_16',371,-359,110,190,300,169,469,-188,281,'byte_500'
'time_16',110,19,300,169,469,-188,281,-207,74,'byte_500'
'time_16',300,395,469,-188,281,-207,74,169,243,'byte_1000'
'time_17',469,38,281,-207,74,169,243,360,603,'byte_1000'
'time_17',281,-529,74,169,243,360,603,518,1121,'byte_500'
'time_17',74,-878,243,360,603,518,1121,-693,428,'byte_500'
'time_17',243,175,603,518,1121,-693,428,-345,83,'byte_1000'
'time_17',603,1038,1121,-693,428,-345,83,185,268,'byte_500'
'time_17',1121,160,428,-345,83,185,268,413,681,'byte_500'
'time_18',428,-598,83,185,268,413,681,-175,506,'byte_500'
'time_18',83,-238,268,413,681,-175,506,-46,460,'byte_500'
'time_18',268,221,681,-175,506,-46,460,-294,166,'byte_500'
'time_18',681,340,506,-46,460,-294,166,434,600,'byte_500'
'time_18',506,-140,460,-294,166,434,600,-576,24,'byte_500'
'time_19',460,142,166,434,600,-576,24,432,456,'byte_1000'
'time_19',166,144,600,-576,24,432,456,-349,107,'byte_500'
'time_19',600,-83,24,432,456,-349,107,187,294,'byte_500'
'time_19',24,162,456,-349,107,187,294,90,384,'byte_500'
'time_19',456,-277,107,187,294,90,384,-333,51,'byte_500'
'time_19',107,243,294,90,384,-333,51,320,371,'byte_500'
'time_20',294,13,384,-333,51,320,371,342,713,'byte_500'
'time_20',384,-662,51,320,371,342,713,-657,56,'byte_500'
'time_20',51,315,371,342,713,-657,56,392,448,'byte_500'
'time_20',371,265,713,-657,56,392,448,-36,412,'byte_500'
'time_20',713,-356,56,392,448,-36,412,54,466,'byte_500'
'time_21',56,-18,448,-36,412,54,466,-282,184,'byte_500'
'time_21',448,228,412,54,466,-282,184,169,353,'byte_1000'
'time_21',412,113,466,-282,184,169,353,-253,100,'byte_500'
'time_21',466,84,184,169,353,-253,100,332,432,'byte_500'
'time_21',184,-79,353,-253,100,332,432,-48,384,'byte_500'
'time_21',353,-284,100,332,432,-48,384,-282,102,'byte_500'
'time_22',100,330,432,-48,384,-282,102,170,272,'byte_500'
'time_22',432,112,384,-282,102,170,272,316,588,'byte_10000'
'time_22',384,-486,102,170,272,316,588,-410,178,'byte_10000'
'time_22',102,94,272,316,588,-410,178,116,294,'byte_500'
'time_22',272,294,588,-410,178,116,294,180,474,'byte_10000'
'time_23',588,-296,178,116,294,180,474,0,474,'byte_500'
'time_23',178,-180,294,180,474,0,474,-133,341,'byte_10000'
'time_23',294,133,474,0,474,-133,341,114990,115331,'byte_10000'
'time_23',474,-114857,474,-133,341,114990,115331,-86036,29295,'byte_500'
'time_23',474,-28954,341,114990,115331,-86036,29295,-29155,140,'byte_10000'

'time_0',326,29299,29299,-29232,67,33,100,64433,64533,'byte_10000'
'time_0',29299,-64466,67,33,100,64433,64533,-64259,274,'byte_10000'
'time_0',67,-174,100,64433,64533,-64259,274,31986,32260,'byte_10000'
'time_0',100,32273,64533,-64259,274,31986,32260,26379,58639,'byte_500'
'time_0',64533,-58365,274,31986,32260,26379,58639,-58530,109,'byte_10000'
'time_0',274,32151,32260,26379,58639,-58530,109,-87,22,'byte_500'
'time_1',32260,58617,58639,-58530,109,-87,22,31485,31507,'byte_10000'
'time_1',58639,-31398,109,-87,22,31485,31507,-1451,30056,'byte_500'
'time_1',109,-30034,22,31485,31507,-1451,30056,2064,32120,'byte_500'
'time_1',22,-613,31507,-1451,30056,2064,32120,-32065,55,'byte_10000'
'time_1',31507,30001,30056,2064,32120,-32065,55,96965,97020,'byte_500'
'time_1',30056,-64900,32120,-32065,55,96965,97020,-96924,96,'byte_10000'
'time_2',32120,-41,55,96965,97020,-96924,96,59394,59490,'byte_500'
'time_2',55,37530,97020,-96924,96,59394,59490,-59490,0,'byte_500'
'time_2',97020,96,96,59394,59490,-59490,0,13,13,'byte_10000'
'time_2',96,59477,59490,-59490,0,13,13,29316,29329,'byte_500'
'time_2',59490,-29329,0,13,13,29316,29329,-29198,131,'byte_500'
'time_2',0,-118,13,29316,29329,-29198,131,31216,31347,'byte_500'
'time_3',13,-2018,29329,-29198,131,31216,31347,-31347,0,'byte_10000'
'time_3',29329,131,131,31216,31347,-31347,0,0,0,'byte_500'
