@relation dataset_normal_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',50,32265,32265,-32208,57,33,90,1239,1329,'byte_10000'
'time_0',32265,-1272,57,33,90,1239,1329,-1219,110,'byte_500'
'time_0',57,-20,90,1239,1329,-1219,110,-30,80,'byte_10000'
'time_0',90,1249,1329,-1219,110,-30,80,28609,28689,'byte_500'
'time_0',1329,-28579,110,-30,80,28609,28689,-4251,24438,'byte_500'
'time_0',110,-24358,80,28609,28689,-4251,24438,13340,37778,'byte_10000'
'time_1',80,-9089,28689,-4251,24438,13340,37778,-8368,29410,'byte_500'
'time_1',28689,-4972,24438,13340,37778,-8368,29410,58526,87936,'byte_500'
'time_1',24438,-50158,37778,-8368,29410,58526,87936,-55449,32487,'byte_500'
'time_1',37778,-3077,29410,58526,87936,-55449,32487,-31742,745,'byte_500'
'time_1',29410,87191,87936,-55449,32487,-31742,745,62934,63679,'byte_500'
'time_1',87936,-31192,32487,-31742,745,62934,63679,-7594,56085,'byte_500'
'time_2',32487,-55340,745,62934,63679,-7594,56085,-53329,2756,'byte_10000'
'time_2',745,60923,63679,-7594,56085,-53329,2756,61693,64449,'byte_500'
'time_2',63679,-8364,56085,-53329,2756,61693,64449,-64449,0,'byte_500'
'time_2',56085,2756,2756,61693,64449,-64449,0,0,0,'byte_500'
'time_2',2756,64449,64449,-64449,0,0,0,29295,29295,'byte_500'
'time_2',64449,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_3',0,0,0,29295,29295,-29295,0,29295,29295,'byte_500'
'time_3',0,0,29295,-29295,0,29295,29295,-29295,0,'byte_500'
'time_3',29295,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_3',0,29295,29295,-29295,0,0,0,29295,29295,'byte_500'
'time_3',29295,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_4',0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_4',0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_4',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,32224,32224,'byte_1000'
'time_5',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_5',0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_5',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_5',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,28618,28618,'byte_10000'
'time_7',0,-28618,0,0,0,28618,28618,-27874,744,'byte_500'
'time_7',0,-744,0,28618,28618,-27874,744,-744,0,'byte_10000'
'time_8',0,28618,28618,-27874,744,-744,0,29295,29295,'byte_10000'
'time_8',28618,-28551,744,-744,0,29295,29295,-29295,0,'byte_500'
'time_8',744,0,0,29295,29295,-29295,0,29295,29295,'byte_10000'
'time_8',0,0,29295,-29295,0,29295,29295,-29295,0,'byte_500'
'time_8',29295,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_8',0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_9',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_9',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_9',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_9',0,-32224,0,0,0,32224,32224,-2929,29295,'byte_10000'
'time_9',0,-29295,0,32224,32224,-2929,29295,2929,32224,'byte_500'
'time_9',0,0,32224,-2929,29295,2929,32224,-32224,0,'byte_500'
'time_10',32224,29295,29295,2929,32224,-32224,0,0,0,'byte_10000'
'time_10',29295,32224,32224,-32224,0,0,0,32224,32224,'byte_10000'
'time_10',32224,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_10',0,0,0,32224,32224,-32224,0,96718,96718,'byte_500'
'time_10',0,-64494,32224,-32224,0,96718,96718,-8804,87914,'byte_10000'
'time_10',32224,-87914,0,96718,96718,-8804,87914,-87914,0,'byte_10000'
'time_11',0,96718,96718,-8804,87914,-87914,0,64449,64449,'byte_10000'
'time_11',96718,23465,87914,-87914,0,64449,64449,-64449,0,'byte_500'
'time_11',87914,0,0,64449,64449,-64449,0,0,0,'byte_500'
'time_11',0,64449,64449,-64449,0,0,0,58602,58602,'byte_500'
'time_11',64449,-58602,0,0,0,58602,58602,-58602,0,'byte_500'
'time_11',0,0,0,58602,58602,-58602,0,32276,32276,'byte_500'
'time_12',0,26326,58602,-58602,0,32276,32276,-2981,29295,'byte_500'
'time_12',58602,-29295,0,32276,32276,-2981,29295,35167,64462,'byte_500'
'time_12',0,-32186,32276,-2981,29295,35167,64462,-64462,0,'byte_500'
'time_12',32276,29295,29295,35167,64462,-64462,0,0,0,'byte_500'
'time_12',29295,64462,64462,-64462,0,0,0,47683,47683,'byte_1000'
'time_13',64462,-47683,0,0,0,47683,47683,-15371,32312,'byte_1000'
'time_13',0,-32312,0,47683,47683,-15371,32312,96585,128897,'byte_500'
'time_13',0,-81214,47683,-15371,32312,96585,128897,-128809,88,'byte_500'
'time_13',47683,32224,32312,96585,128897,-128809,88,60884,60972,'byte_1000'
'time_13',32312,67925,128897,-128809,88,60884,60972,-28426,32546,'byte_500'
'time_13',128897,-32458,88,60884,60972,-28426,32546,-3168,29378,'byte_500'
'time_14',88,31594,60972,-28426,32546,-3168,29378,-29238,140,'byte_1000'
'time_14',60972,32406,32546,-3168,29378,-29238,140,57,197,'byte_500'
'time_14',32546,29181,29378,-29238,140,57,197,-25,172,'byte_1000'
'time_14',29378,-32,140,57,197,-25,172,-84,88,'byte_1000'
'time_14',140,109,197,-25,172,-84,88,136,224,'byte_500'
'time_14',197,-52,172,-84,88,136,224,113,337,'byte_500'
'time_15',172,-249,88,136,224,113,337,-205,132,'byte_500'
'time_15',88,92,224,113,337,-205,132,79,211,'byte_500'
'time_15',224,126,337,-205,132,79,211,-76,135,'byte_500'
'time_15',337,-3,132,79,211,-76,135,556,691,'byte_1000'
'time_15',132,-480,211,-76,135,556,691,-155,536,'byte_500'
'time_16',211,-401,135,556,691,-155,536,-517,19,'byte_500'
'time_16',135,672,691,-155,536,-517,19,259,278,'byte_500'
'time_16',691,258,536,-517,19,259,278,513,791,'byte_1000'
'time_16',536,-772,19,259,278,513,791,-326,465,'byte_1000'
'time_16',19,-187,278,513,791,-326,465,-267,198,'byte_1000'
'time_16',278,593,791,-326,465,-267,198,371,569,'byte_1500'
'time_17',791,-104,465,-267,198,371,569,-79,490,'byte_1000'
'time_17',465,-292,198,371,569,-79,490,242,732,'byte_500'
'time_17',198,-163,569,-79,490,242,732,-117,615,'byte_500'
'time_17',569,-125,490,242,732,-117,615,-204,411,'byte_500'
'time_17',490,321,732,-117,615,-204,411,-305,106,'byte_500'
'time_17',732,509,615,-204,411,-305,106,180,286,'byte_1000'
'time_18',615,125,411,-305,106,180,286,-235,51,'byte_1000'
'time_18',411,55,106,180,286,-235,51,342,393,'byte_1500'
'time_18',106,-107,286,-235,51,342,393,304,697,'byte_1000'
'time_18',286,-646,51,342,393,304,697,-376,321,'byte_500'
'time_18',51,72,393,304,697,-376,321,30,351,'byte_500'
'time_19',393,346,697,-376,321,30,351,-290,61,'byte_1000'
'time_19',697,260,321,30,351,-290,61,765,826,'byte_1000'
'time_19',321,-475,351,-290,61,765,826,-266,560,'byte_1500'
'time_19',351,-499,61,765,826,-266,560,280,840,'byte_500'
'time_19',61,-14,826,-266,560,280,840,205,1045,'byte_500'
'time_19',826,-485,560,280,840,205,1045,-154,891,'byte_2000'
'time_20',560,-51,840,205,1045,-154,891,-468,423,'byte_1500'
'time_20',840,622,1045,-154,891,-468,423,-372,51,'byte_500'
'time_20',1045,840,891,-468,423,-372,51,138,189,'byte_10000'
'time_20',891,234,423,-372,51,138,189,270,459,'byte_500'
'time_20',423,-408,51,138,189,270,459,156,615,'byte_500'
'time_21',51,-426,189,270,459,156,615,38,653,'byte_1500'
'time_21',189,-194,459,156,615,38,653,386,1039,'byte_500'
'time_21',459,-424,615,38,653,386,1039,-77,962,'byte_500'
'time_21',615,-309,653,386,1039,-77,962,-940,22,'byte_10000'
