@relation dataset_normal_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',362,31614,31614,-30956,658,63945,64603,11117,75720,'byte_500'
'time_0',31614,-75062,658,63945,64603,11117,75720,-62162,13558,'byte_10000'
'time_0',658,51045,64603,11117,75720,-62162,13558,15887,29445,'byte_500'
'time_0',64603,46275,75720,-62162,13558,15887,29445,-24981,4464,'byte_10000'
'time_0',75720,9094,13558,15887,29445,-24981,4464,20589,25053,'byte_500'
'time_0',13558,4392,29445,-24981,4464,20589,25053,-24845,208,'byte_500'
'time_1',29445,4256,4464,20589,25053,-24845,208,39411,39619,'byte_500'
'time_1',4464,-14566,25053,-24845,208,39411,39619,-38670,949,'byte_10000'
'time_1',25053,-741,208,39411,39619,-38670,949,-929,20,'byte_500'
'time_1',208,39599,39619,-38670,949,-929,20,87917,87937,'byte_500'
'time_1',39619,-86988,949,-929,20,87917,87937,-23166,64771,'byte_500'
'time_1',949,-64751,20,87917,87937,-23166,64771,-60465,4306,'byte_500'
'time_2',20,83631,87937,-23166,64771,-60465,4306,23195,27501,'byte_500'
'time_2',87937,37270,64771,-60465,4306,23195,27501,-27400,101,'byte_500'
'time_2',64771,4205,4306,23195,27501,-27400,101,29194,29295,'byte_500'
'time_2',4306,-1794,27501,-27400,101,29194,29295,-3977,25318,'byte_10000'
'time_2',27501,-25217,101,29194,29295,-3977,25318,-25318,0,'byte_500'
'time_2',101,29295,29295,-3977,25318,-25318,0,33621,33621,'byte_500'
'time_3',29295,-8303,25318,-25318,0,33621,33621,-33621,0,'byte_500'
'time_3',25318,0,0,33621,33621,-33621,0,64449,64449,'byte_500'
'time_3',0,-30828,33621,-33621,0,64449,64449,-64449,0,'byte_500'
'time_3',33621,0,0,64449,64449,-64449,0,0,0,'byte_500'
'time_3',0,64449,64449,-64449,0,0,0,0,0,'byte_500'
'time_4',64449,0,0,0,0,0,0,32224,32224,'byte_500'
'time_4',0,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_4',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_4',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,13,13,'byte_500'
'time_5',0,-13,0,0,0,13,13,-13,0,'byte_3000'
'time_5',0,0,0,13,13,-13,0,32224,32224,'byte_500'
'time_5',0,-32211,13,-13,0,32224,32224,-32224,0,'byte_10000'
'time_5',13,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_5',0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_6',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,32,32,'byte_500'
'time_6',0,-32,0,0,0,32,32,-32,0,'byte_10000'
'time_6',0,0,0,32,32,-32,0,29295,29295,'byte_500'
'time_7',0,-29263,32,-32,0,29295,29295,-29295,0,'byte_10000'
'time_7',32,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_7',0,29295,29295,-29295,0,0,0,29295,29295,'byte_10000'
'time_7',29295,-29295,0,0,0,29295,29295,-29295,0,'byte_10000'
'time_7',0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_8',0,29295,29295,-29295,0,0,0,2950,2950,'byte_500'
'time_8',29295,-2950,0,0,0,2950,2950,-2950,0,'byte_500'
'time_8',0,0,0,2950,2950,-2950,0,29295,29295,'byte_500'
'time_8',0,-26345,2950,-2950,0,29295,29295,-29295,0,'byte_10000'
'time_8',2950,0,0,29295,29295,-29295,0,111394,111394,'byte_500'
'time_8',0,-82099,29295,-29295,0,111394,111394,-82099,29295,'byte_500'
'time_9',29295,-29295,0,111394,111394,-82099,29295,-29295,0,'byte_10000'
'time_9',0,111394,111394,-82099,29295,-29295,0,0,0,'byte_10000'
'time_9',111394,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_9',29295,0,0,0,0,0,0,29295,29295,'byte_10000'
'time_9',0,-29295,0,0,0,29295,29295,-29263,32,'byte_500'
'time_9',0,-32,0,29295,29295,-29263,32,32192,32224,'byte_500'
'time_10',0,-2929,29295,-29263,32,32192,32224,-32224,0,'byte_10000'
'time_10',29295,32,32,32192,32224,-32224,0,32224,32224,'byte_10000'
'time_10',32,0,32224,-32224,0,32224,32224,-2900,29324,'byte_500'
'time_10',32224,-29324,0,32224,32224,-2900,29324,-29324,0,'byte_10000'
'time_10',0,32224,32224,-2900,29324,-29324,0,0,0,'byte_10000'
'time_10',32224,29324,29324,-29324,0,0,0,32,32,'byte_500'
'time_11',29324,-32,0,0,0,32,32,-32,0,'byte_10000'
'time_11',0,0,0,32,32,-32,0,58590,58590,'byte_500'
'time_11',0,-58558,32,-32,0,58590,58590,-58589,1,'byte_500'
'time_11',32,-1,0,58590,58590,-58589,1,-1,0,'byte_500'
'time_11',0,58590,58590,-58589,1,-1,0,10203,10203,'byte_500'
'time_11',58590,-10202,1,-1,0,10203,10203,55682,65885,'byte_500'
'time_12',1,-65885,0,10203,10203,55682,65885,-7283,58602,'byte_500'
'time_12',0,-48399,10203,55682,65885,-7283,58602,5847,64449,'byte_500'
'time_12',10203,1436,65885,-7283,58602,5847,64449,-64420,29,'byte_500'
'time_12',65885,58573,58602,5847,64449,-64420,29,3,32,'byte_500'
'time_12',58602,64417,64449,-64420,29,3,32,29234,29266,'byte_500'
'time_13',64449,-29237,29,3,32,29234,29266,-13270,15996,'byte_500'
'time_13',29,-15964,32,29234,29266,-13270,15996,-15895,101,'byte_500'
'time_13',32,29165,29266,-13270,15996,-15895,101,58605,58706,'byte_500'
'time_13',29266,-42710,15996,-15895,101,58605,58706,-38,58668,'byte_500'
'time_13',15996,-58567,101,58605,58706,-38,58668,-58482,186,'byte_500'
'time_13',101,58520,58706,-38,58668,-58482,186,58336,58522,'byte_500'
'time_14',58706,146,58668,-58482,186,58336,58522,-58127,395,'byte_500'
'time_14',58668,-209,186,58336,58522,-58127,395,-300,95,'byte_500'
'time_14',186,58427,58522,-58127,395,-300,95,386,481,'byte_1000'
'time_14',58522,-86,395,-300,95,386,481,-464,17,'byte_1000'
'time_14',395,78,95,386,481,-464,17,273,290,'byte_500'
'time_14',95,191,481,-464,17,273,290,-15,275,'byte_500'
'time_15',481,-258,17,273,290,-15,275,-44,231,'byte_1000'
