@relation dataset_random10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1749,0,0,29299,29299,-29145,154,94874,95028,'byte_10000'
'time_0',0,-65729,29299,-29145,154,94874,95028,-94869,159,'byte_2000'
'time_0',29299,-5,154,94874,95028,-94869,159,64568,64727,'byte_10000'
'time_0',154,30301,95028,-94869,159,64568,64727,-32408,32319,'byte_500'
'time_0',95028,-32160,159,64568,64727,-32408,32319,-29806,2513,'byte_500'
'time_0',159,62214,64727,-32408,32319,-29806,2513,50792,53305,'byte_500'
'time_1',64727,-20986,32319,-29806,2513,50792,53305,-21035,32270,'byte_500'
'time_1',32319,-29757,2513,50792,53305,-21035,32270,42094,74364,'byte_500'
'time_1',2513,-21059,53305,-21035,32270,42094,74364,-74259,105,'byte_500'
'time_1',53305,32165,32270,42094,74364,-74259,105,27,132,'byte_500'
'time_1',32270,74232,74364,-74259,105,27,132,32018,32150,'byte_10000'
'time_1',74364,-32045,105,27,132,32018,32150,-2739,29411,'byte_500'
'time_2',105,-29279,132,32018,32150,-2739,29411,3291,32702,'byte_500'
'time_2',132,-552,32150,-2739,29411,3291,32702,-3754,28948,'byte_500'
'time_2',32150,463,29411,3291,32702,-3754,28948,-28948,0,'byte_500'
'time_2',29411,32702,32702,-3754,28948,-28948,0,62495,62495,'byte_500'
'time_2',32702,-33547,28948,-28948,0,62495,62495,-30269,32226,'byte_500'
'time_2',28948,-32226,0,62495,62495,-30269,32226,-30394,1832,'byte_500'
'time_3',0,60663,62495,-30269,32226,-30394,1832,28378,30210,'byte_500'
'time_3',62495,2016,32226,-30394,1832,28378,30210,-30210,0,'byte_10000'
'time_3',32226,1832,1832,28378,30210,-30210,0,0,0,'byte_500'
'time_3',1832,30210,30210,-30210,0,0,0,0,0,'byte_500'
'time_3',30210,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_4',0,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_4',0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_5',0,29295,29295,-29295,0,0,0,29,29,'byte_500'
'time_5',29295,-29,0,0,0,29,29,-29,0,'byte_10000'
'time_5',0,0,0,29,29,-29,0,0,0,'byte_500'
'time_5',0,29,29,-29,0,0,0,0,0,'byte_500'
'time_5',29,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,32238,32238,'byte_500'
'time_6',0,-32238,0,0,0,32238,32238,-32238,0,'byte_10000'
'time_6',0,0,0,32238,32238,-32238,0,0,0,'byte_10000'
'time_6',0,32238,32238,-32238,0,0,0,0,0,'byte_500'
'time_6',32238,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_1500'
'time_7',0,0,0,0,0,0,0,32,32,'byte_500'
'time_7',0,-32,0,0,0,32,32,-32,0,'byte_10000'
'time_7',0,0,0,32,32,-32,0,0,0,'byte_10000'
'time_7',0,32,32,-32,0,0,0,0,0,'byte_500'
'time_7',32,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_8',0,-29295,0,0,0,29295,29295,-29295,0,'byte_10000'
'time_8',0,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_8',0,29295,29295,-29295,0,0,0,32224,32224,'byte_10000'
'time_8',29295,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_8',0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
