@relation dataset_day_1
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',595,29311,96699,58639,328,'byte_10000'
'time_0',29311,96699,58639,328,58216,'byte_500'
'time_0',96699,58639,328,58216,81,'byte_10000'
'time_0',58639,328,58216,81,59123,'byte_10000'
'time_0',328,58216,81,59123,30240,'byte_10000'
'time_0',58216,81,59123,30240,63798,'byte_10000'
'time_1',81,59123,30240,63798,58774,'byte_0'
'time_1',59123,30240,63798,58774,0,'byte_10000'
'time_1',30240,63798,58774,0,29295,'byte_500'
'time_1',63798,58774,0,29295,118,'byte_500'
'time_1',58774,0,29295,118,37,'byte_10000'
'time_1',0,29295,118,37,29550,'byte_500'
'time_2',29295,118,37,29550,196,'byte_10000'
'time_2',118,37,29550,196,28896,'byte_500'
'time_2',37,29550,196,28896,375,'byte_10000'
'time_2',29550,196,28896,375,32275,'byte_10000'
'time_2',196,28896,375,32275,29278,'byte_10000'
'time_2',28896,375,32275,29278,19262,'byte_0'
'time_3',375,32275,29278,19262,0,'byte_0'
'time_3',32275,29278,19262,0,0,'byte_0'
'time_3',29278,19262,0,0,0,'byte_0'
'time_3',19262,0,0,0,0,'byte_0'
'time_3',0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,29289,'byte_0'
'time_4',0,0,0,29289,0,'byte_0'
'time_4',0,0,29289,0,0,'byte_0'
'time_4',0,29289,0,0,0,'byte_0'
'time_4',29289,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,29289,'byte_0'
'time_5',0,0,0,29289,0,'byte_0'
'time_5',0,0,29289,0,0,'byte_0'
'time_5',0,29289,0,0,0,'byte_0'
'time_5',29289,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,29289,'byte_0'
'time_5',0,0,0,29289,0,'byte_0'
'time_6',0,0,29289,0,0,'byte_10000'
'time_6',0,29289,0,0,29289,'byte_0'
'time_6',29289,0,0,29289,0,'byte_0'
'time_6',0,0,29289,0,0,'byte_500'
'time_6',0,29289,0,0,32,'byte_0'
'time_6',29289,0,0,32,0,'byte_10000'
'time_7',0,0,32,0,29289,'byte_0'
'time_7',0,32,0,29289,0,'byte_0'
'time_7',32,0,29289,0,0,'byte_0'
'time_7',0,29289,0,0,0,'byte_10000'
