@relation dataset_day_15
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',608,58594,32224,180,30029,'byte_500'
'time_0',58594,32224,180,30029,29383,'byte_10000'
'time_0',32224,180,30029,29383,1745,'byte_500'
'time_0',180,30029,29383,1745,29587,'byte_10000'
'time_0',30029,29383,1745,29587,16,'byte_10000'
'time_0',29383,1745,29587,16,29418,'byte_500'
'time_1',1745,29587,16,29418,26,'byte_10000'
'time_1',29587,16,29418,26,29358,'byte_500'
'time_1',16,29418,26,29358,38,'byte_10000'
'time_1',29418,26,29358,38,64499,'byte_6000'
'time_1',26,29358,38,64499,56971,'byte_10000'
'time_1',29358,38,64499,56971,97,'byte_10000'
'time_2',38,64499,56971,97,29395,'byte_0'
'time_2',64499,56971,97,29395,167,'byte_10000'
'time_2',56971,97,29395,167,29468,'byte_0'
'time_2',97,29395,167,29468,5607,'byte_10000'
'time_2',29395,167,29468,5607,24322,'byte_0'
'time_2',167,29468,5607,24322,32224,'byte_10000'
'time_3',29468,5607,24322,32224,0,'byte_0'
'time_3',5607,24322,32224,0,29295,'byte_0'
'time_3',24322,32224,0,29295,0,'byte_0'
'time_3',32224,0,29295,0,32224,'byte_0'
'time_3',0,29295,0,32224,0,'byte_0'
'time_4',29295,0,32224,0,32224,'byte_0'
'time_4',0,32224,0,32224,0,'byte_0'
'time_4',32224,0,32224,0,0,'byte_0'
'time_4',0,32224,0,0,0,'byte_0'
'time_4',32224,0,0,0,0,'byte_0'
'time_4',0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,32224,'byte_0'
'time_6',0,0,0,32224,0,'byte_0'
'time_6',0,0,32224,0,0,'byte_0'
'time_6',0,32224,0,0,29295,'byte_0'
'time_6',32224,0,0,29295,0,'byte_0'
'time_6',0,0,29295,0,0,'byte_10000'
'time_6',0,29295,0,0,0,'byte_10000'
'time_7',29295,0,0,0,0,'byte_0'
'time_7',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,29295,'byte_0'
'time_8',0,0,0,29295,32238,'byte_10000'
'time_8',0,0,29295,32238,0,'byte_10000'
'time_8',0,29295,32238,0,0,'byte_10000'
'time_8',29295,32238,0,0,0,'byte_10000'
'time_8',32238,0,0,0,0,'byte_0'
'time_8',0,0,0,0,0,'byte_0'
'time_9',0,0,0,0,58602,'byte_0'
'time_9',0,0,0,58602,32224,'byte_10000'
'time_9',0,0,58602,32224,29295,'byte_0'
'time_9',0,58602,32224,29295,32224,'byte_10000'
'time_9',58602,32224,29295,32224,0,'byte_10000'
'time_9',32224,29295,32224,0,0,'byte_0'
'time_10',29295,32224,0,0,0,'byte_0'
'time_10',32224,0,0,0,29295,'byte_0'
'time_10',0,0,0,29295,0,'byte_0'
'time_10',0,0,29295,0,29295,'byte_10000'
'time_10',0,29295,0,29295,32224,'byte_10000'
'time_10',29295,0,29295,32224,0,'byte_10000'
'time_11',0,29295,32224,0,0,'byte_0'
'time_11',29295,32224,0,0,0,'byte_500'
'time_11',32224,0,0,0,0,'byte_500'
'time_11',0,0,0,0,58625,'byte_10000'
'time_11',0,0,0,58625,32186,'byte_500'
'time_12',0,0,58625,32186,32224,'byte_10000'
'time_12',0,58625,32186,32224,0,'byte_500'
'time_12',58625,32186,32224,0,94,'byte_10000'
'time_12',32186,32224,0,94,15,'byte_10000'
'time_12',32224,0,94,15,96660,'byte_500'
'time_12',0,94,15,96660,56,'byte_500'
'time_13',94,15,96660,56,64506,'byte_500'
'time_13',15,96660,56,64506,100,'byte_500'
'time_13',96660,56,64506,100,33043,'byte_500'
'time_13',56,64506,100,33043,29532,'byte_500'
'time_13',64506,100,33043,29532,57,'byte_500'
'time_13',100,33043,29532,57,61,'byte_500'
'time_14',33043,29532,57,61,221,'byte_500'
'time_14',29532,57,61,221,0,'byte_500'
'time_14',57,61,221,0,140,'byte_1000'
'time_14',61,221,0,140,359,'byte_500'
'time_14',221,0,140,359,57,'byte_1000'
'time_14',0,140,359,57,17,'byte_500'
'time_15',140,359,57,17,166,'byte_500'
'time_15',359,57,17,166,122,'byte_500'
'time_15',57,17,166,122,565,'byte_1000'
'time_15',17,166,122,565,120,'byte_1000'
'time_15',166,122,565,120,504,'byte_500'
'time_16',122,565,120,504,440,'byte_500'
'time_16',565,120,504,440,152,'byte_500'
'time_16',120,504,440,152,228,'byte_500'
'time_16',504,440,152,228,718,'byte_500'
'time_16',440,152,228,718,503,'byte_1000'
'time_16',152,228,718,503,428,'byte_500'
'time_17',228,718,503,428,124,'byte_500'
'time_17',718,503,428,124,94,'byte_1000'
'time_17',503,428,124,94,49,'byte_500'
'time_17',428,124,94,49,402,'byte_500'
'time_17',124,94,49,402,598,'byte_1000'
'time_18',94,49,402,598,303,'byte_1000'
'time_18',49,402,598,303,106,'byte_1000'
'time_18',402,598,303,106,586,'byte_500'
'time_18',598,303,106,586,326,'byte_500'
'time_18',303,106,586,326,285,'byte_500'
'time_18',106,586,326,285,778,'byte_1000'
'time_19',586,326,285,778,785,'byte_500'
'time_19',326,285,778,785,504,'byte_1000'
'time_19',285,778,785,504,269,'byte_500'
'time_19',778,785,504,269,194,'byte_1000'
'time_19',785,504,269,194,62,'byte_500'
'time_19',504,269,194,62,565,'byte_1000'
'time_20',269,194,62,565,188,'byte_500'
'time_20',194,62,565,188,689,'byte_500'
'time_20',62,565,188,689,385,'byte_500'
'time_20',565,188,689,385,823,'byte_500'
'time_20',188,689,385,823,100,'byte_500'
'time_21',689,385,823,100,581,'byte_500'
'time_21',385,823,100,581,165,'byte_1000'
'time_21',823,100,581,165,298,'byte_1000'
'time_21',100,581,165,298,415,'byte_1000'
'time_21',581,165,298,415,426,'byte_1000'
'time_21',165,298,415,426,405,'byte_1000'
'time_22',298,415,426,405,77,'byte_1000'
'time_22',415,426,405,77,553,'byte_10000'
'time_22',426,405,77,553,717,'byte_10000'
'time_22',405,77,553,717,878,'byte_500'
'time_22',77,553,717,878,995,'byte_10000'
'time_23',553,717,878,995,666,'byte_10000'
'time_23',717,878,995,666,608,'byte_2000'
'time_23',878,995,666,608,58594,'byte_10000'
'time_23',995,666,608,58594,32224,'byte_500'
'time_23',666,608,58594,32224,180,'byte_10000'
