@relation dataset_day_13
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1194,29299,0,17194,45951,'byte_10000'
'time_0',29299,0,17194,45951,28440,'byte_10000'
'time_0',0,17194,45951,28440,64664,'byte_500'
'time_0',17194,45951,28440,64664,108,'byte_10000'
'time_0',45951,28440,64664,108,64414,'byte_10000'
'time_0',28440,64664,108,64414,174,'byte_10000'
'time_1',64664,108,64414,174,10362,'byte_10000'
'time_1',108,64414,174,10362,20039,'byte_0'
'time_1',64414,174,10362,20039,246,'byte_10000'
'time_1',174,10362,20039,246,133516,'byte_10000'
'time_1',10362,20039,246,133516,29399,'byte_500'
'time_1',20039,246,133516,29399,32286,'byte_10000'
'time_2',246,133516,29399,32286,29314,'byte_10000'
'time_2',133516,29399,32286,29314,0,'byte_10000'
'time_2',29399,32286,29314,0,101639,'byte_0'
'time_2',32286,29314,0,101639,64513,'byte_10000'
'time_2',29314,0,101639,64513,29,'byte_0'
'time_2',0,101639,64513,29,96815,'byte_0'
'time_3',101639,64513,29,96815,29422,'byte_10000'
'time_3',64513,29,96815,29422,64404,'byte_10000'
'time_3',29,96815,29422,64404,0,'byte_0'
'time_3',96815,29422,64404,0,29295,'byte_0'
'time_3',29422,64404,0,29295,0,'byte_0'
'time_4',64404,0,29295,0,0,'byte_10000'
'time_4',0,29295,0,0,32224,'byte_0'
'time_4',29295,0,0,32224,31480,'byte_0'
'time_4',0,0,32224,31480,0,'byte_0'
'time_4',0,32224,31480,0,0,'byte_0'
'time_4',32224,31480,0,0,0,'byte_0'
'time_5',31480,0,0,0,58584,'byte_0'
'time_5',0,0,0,58584,0,'byte_0'
'time_5',0,0,58584,0,0,'byte_0'
'time_5',0,58584,0,0,0,'byte_0'
'time_5',58584,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,32224,'byte_500'
'time_7',0,0,0,32224,0,'byte_10000'
'time_7',0,0,32224,0,32256,'byte_0'
'time_7',0,32224,0,32256,0,'byte_10000'
'time_7',32224,0,32256,0,0,'byte_10000'
'time_8',0,32256,0,0,0,'byte_500'
'time_8',32256,0,0,0,29,'byte_0'
'time_8',0,0,0,29,128859,'byte_10000'
'time_8',0,0,29,128859,0,'byte_0'
'time_8',0,29,128859,0,64449,'byte_10000'
'time_8',29,128859,0,64449,32218,'byte_10000'
'time_9',128859,0,64449,32218,6,'byte_0'
'time_9',0,64449,32218,6,0,'byte_10000'
'time_9',64449,32218,6,0,58584,'byte_10000'
'time_9',32218,6,0,58584,0,'byte_10000'
'time_9',6,0,58584,0,32218,'byte_10000'
'time_9',0,58584,0,32218,58584,'byte_10000'
'time_10',58584,0,32218,58584,0,'byte_0'
'time_10',0,32218,58584,0,29295,'byte_10000'
'time_10',32218,58584,0,29295,32238,'byte_10000'
'time_10',58584,0,29295,32238,58584,'byte_10000'
'time_10',0,29295,32238,58584,32224,'byte_0'
'time_10',29295,32238,58584,32224,29307,'byte_10000'
'time_11',32238,58584,32224,29307,0,'byte_500'
'time_11',58584,32224,29307,0,32270,'byte_10000'
'time_11',32224,29307,0,32270,29248,'byte_0'
'time_11',29307,0,32270,29248,32295,'byte_10000'
'time_11',0,32270,29248,32295,0,'byte_9500'
'time_12',32270,29248,32295,0,32224,'byte_10000'
'time_12',29248,32295,0,32224,104,'byte_500'
'time_12',32295,0,32224,104,22683,'byte_10000'
'time_12',0,32224,104,22683,0,'byte_10000'
'time_12',32224,104,22683,0,32424,'byte_500'
'time_12',104,22683,0,32424,9336,'byte_500'
'time_13',22683,0,32424,9336,32721,'byte_500'
'time_13',0,32424,9336,32721,105,'byte_500'
'time_13',32424,9336,32721,105,64428,'byte_1000'
'time_13',9336,32721,105,64428,32224,'byte_500'
'time_13',32721,105,64428,32224,277,'byte_1000'
'time_13',105,64428,32224,277,85,'byte_1000'
'time_14',64428,32224,277,85,255,'byte_1000'
'time_14',32224,277,85,255,421,'byte_500'
'time_14',277,85,255,421,742,'byte_500'
'time_14',85,255,421,742,90,'byte_500'
'time_14',255,421,742,90,836,'byte_500'
'time_14',421,742,90,836,648,'byte_500'
'time_15',742,90,836,648,568,'byte_500'
'time_15',90,836,648,568,408,'byte_500'
'time_15',836,648,568,408,177,'byte_1000'
'time_15',648,568,408,177,387,'byte_1000'
'time_15',568,408,177,387,273,'byte_500'
'time_16',408,177,387,273,353,'byte_500'
'time_16',177,387,273,353,284,'byte_500'
'time_16',387,273,353,284,109,'byte_500'
'time_16',273,353,284,109,818,'byte_500'
'time_16',353,284,109,818,625,'byte_1000'
'time_16',284,109,818,625,142,'byte_1000'
'time_17',109,818,625,142,427,'byte_500'
'time_17',818,625,142,427,135,'byte_500'
'time_17',625,142,427,135,129,'byte_500'
'time_17',142,427,135,129,421,'byte_500'
'time_17',427,135,129,421,691,'byte_1000'
'time_17',135,129,421,691,665,'byte_1000'
'time_18',129,421,691,665,125,'byte_1000'
'time_18',421,691,665,125,80,'byte_1500'
'time_18',691,665,125,80,276,'byte_1000'
'time_18',665,125,80,276,426,'byte_1000'
'time_18',125,80,276,426,831,'byte_500'
'time_19',80,276,426,831,904,'byte_500'
'time_19',276,426,831,904,512,'byte_1000'
'time_19',426,831,904,512,1049,'byte_500'
'time_19',831,904,512,1049,971,'byte_1500'
'time_19',904,512,1049,971,578,'byte_1500'
'time_19',512,1049,971,578,335,'byte_1000'
'time_20',1049,971,578,335,191,'byte_1000'
'time_20',971,578,335,191,565,'byte_1000'
'time_20',578,335,191,565,265,'byte_1000'
'time_20',335,191,565,265,1136,'byte_1500'
'time_20',191,565,265,1136,1056,'byte_1500'
'time_21',565,265,1136,1056,671,'byte_2000'
'time_21',265,1136,1056,671,612,'byte_1000'
'time_21',1136,1056,671,612,504,'byte_500'
'time_21',1056,671,612,504,747,'byte_1000'
'time_21',671,612,504,747,1250,'byte_500'
'time_21',612,504,747,1250,1364,'byte_1000'
'time_22',504,747,1250,1364,1517,'byte_1500'
'time_22',747,1250,1364,1517,950,'byte_10000'
'time_22',1250,1364,1517,950,296,'byte_0'
'time_22',1364,1517,950,296,593,'byte_10000'
'time_22',1517,950,296,593,150,'byte_10000'
'time_23',950,296,593,150,595,'byte_10000'
'time_23',296,593,150,595,1194,'byte_10000'
'time_23',593,150,595,1194,29299,'byte_500'
'time_23',150,595,1194,29299,0,'byte_10000'
'time_23',595,1194,29299,0,17194,'byte_500'
