@relation dataset_day_27
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1549,36,29353,32376,29952,'byte_0'
'time_0',36,29353,32376,29952,32309,'byte_500'
'time_0',29353,32376,29952,32309,29477,'byte_10000'
'time_0',32376,29952,32309,29477,32372,'byte_500'
'time_0',29952,32309,29477,32372,147,'byte_10000'
'time_0',32309,29477,32372,147,60180,'byte_10000'
'time_1',29477,32372,147,60180,29466,'byte_0'
'time_1',32372,147,60180,29466,186,'byte_0'
'time_1',147,60180,29466,186,57756,'byte_0'
'time_1',60180,29466,186,57756,32224,'byte_0'
'time_1',29466,186,57756,32224,30180,'byte_10000'
'time_1',186,57756,32224,30180,0,'byte_0'
'time_2',57756,32224,30180,0,7,'byte_0'
'time_2',32224,30180,0,7,32172,'byte_10000'
'time_2',30180,0,7,32172,103,'byte_0'
'time_2',0,7,32172,103,32242,'byte_0'
'time_2',7,32172,103,32242,29308,'byte_0'
'time_2',32172,103,32242,29308,0,'byte_0'
'time_3',103,32242,29308,0,0,'byte_0'
'time_3',32242,29308,0,0,0,'byte_0'
'time_3',29308,0,0,0,0,'byte_0'
'time_3',0,0,0,0,32224,'byte_0'
'time_3',0,0,0,32224,0,'byte_0'
'time_4',0,0,32224,0,0,'byte_0'
'time_4',0,32224,0,0,29295,'byte_0'
'time_4',32224,0,0,29295,0,'byte_0'
'time_4',0,0,29295,0,0,'byte_0'
'time_4',0,29295,0,0,0,'byte_0'
'time_4',29295,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,'byte_9500'
'time_5',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,32,'byte_10000'
'time_7',0,0,0,32,0,'byte_0'
'time_7',0,0,32,0,29295,'byte_0'
'time_7',0,32,0,29295,22290,'byte_0'
'time_7',32,0,29295,22290,9032,'byte_10000'
'time_7',0,29295,22290,9032,0,'byte_0'
'time_8',29295,22290,9032,0,32224,'byte_10000'
'time_8',22290,9032,0,32224,0,'byte_0'
'time_8',9032,0,32224,0,13,'byte_10000'
'time_8',0,32224,0,13,29295,'byte_0'
'time_8',32224,0,13,29295,32224,'byte_10000'
'time_8',0,13,29295,32224,29295,'byte_10000'
'time_9',13,29295,32224,29295,0,'byte_0'
'time_9',29295,32224,29295,0,0,'byte_0'
'time_9',32224,29295,0,0,0,'byte_10000'
'time_9',29295,0,0,0,32224,'byte_500'
'time_9',0,0,0,32224,0,'byte_10000'
'time_9',0,0,32224,0,32224,'byte_0'
'time_10',0,32224,0,32224,0,'byte_10000'
'time_10',32224,0,32224,0,32224,'byte_10000'
'time_10',0,32224,0,32224,0,'byte_10000'
'time_10',32224,0,32224,0,14423,'byte_10000'
'time_10',0,32224,0,14423,32224,'byte_10000'
'time_10',32224,0,14423,32224,0,'byte_10000'
'time_11',0,14423,32224,0,0,'byte_9500'
'time_11',14423,32224,0,0,58590,'byte_500'
'time_11',32224,0,0,58590,26,'byte_10000'
'time_11',0,0,58590,26,64449,'byte_500'
'time_11',0,58590,26,64449,0,'byte_10000'
'time_12',58590,26,64449,0,96673,'byte_500'
'time_12',26,64449,0,96673,65921,'byte_500'
'time_12',64449,0,96673,65921,32256,'byte_500'
'time_12',0,96673,65921,32256,30559,'byte_500'
'time_12',96673,65921,32256,30559,18560,'byte_500'
'time_12',65921,32256,30559,18560,50115,'byte_500'
'time_13',32256,30559,18560,50115,9341,'byte_500'
'time_13',30559,18560,50115,9341,130,'byte_500'
'time_13',18560,50115,9341,130,32353,'byte_500'
'time_13',50115,9341,130,32353,161,'byte_1000'
'time_13',9341,130,32353,161,10660,'byte_500'
'time_13',130,32353,161,10660,344,'byte_500'
'time_14',32353,161,10660,344,239,'byte_500'
'time_14',161,10660,344,239,84,'byte_500'
'time_14',10660,344,239,84,244,'byte_500'
'time_14',344,239,84,244,51,'byte_500'
'time_14',239,84,244,51,451,'byte_500'
'time_14',84,244,51,451,63,'byte_1000'
'time_15',244,51,451,63,56,'byte_500'
'time_15',51,451,63,56,209,'byte_1000'
'time_15',451,63,56,209,616,'byte_500'
'time_15',63,56,209,616,98,'byte_500'
'time_15',56,209,616,98,345,'byte_500'
'time_16',209,616,98,345,224,'byte_1000'
'time_16',616,98,345,224,90,'byte_500'
'time_16',98,345,224,90,233,'byte_500'
'time_16',345,224,90,233,179,'byte_1500'
'time_16',224,90,233,179,336,'byte_500'
'time_16',90,233,179,336,618,'byte_500'
'time_17',233,179,336,618,175,'byte_500'
'time_17',179,336,618,175,678,'byte_1000'
'time_17',336,618,175,678,171,'byte_500'
'time_17',618,175,678,171,21,'byte_500'
'time_17',175,678,171,21,394,'byte_1000'
'time_18',678,171,21,394,694,'byte_1500'
'time_18',171,21,394,694,294,'byte_1000'
'time_18',21,394,694,294,274,'byte_500'
'time_18',394,694,294,274,1144,'byte_500'
'time_18',694,294,274,1144,463,'byte_1000'
'time_18',294,274,1144,463,69,'byte_1000'
'time_19',274,1144,463,69,123,'byte_500'
'time_19',1144,463,69,123,599,'byte_1000'
'time_19',463,69,123,599,171,'byte_500'
'time_19',69,123,599,171,4,'byte_500'
'time_19',123,599,171,4,900,'byte_1000'
'time_20',599,171,4,900,1353,'byte_500'
'time_20',171,4,900,1353,718,'byte_1000'
'time_20',4,900,1353,718,207,'byte_1000'
'time_20',900,1353,718,207,346,'byte_1500'
'time_20',1353,718,207,346,926,'byte_1000'
'time_20',718,207,346,926,836,'byte_500'
'time_21',207,346,926,836,255,'byte_2000'
'time_21',346,926,836,255,807,'byte_2000'
'time_21',926,836,255,807,40,'byte_500'
'time_21',836,255,807,40,480,'byte_10000'
'time_21',255,807,40,480,560,'byte_10000'
'time_22',807,40,480,560,158,'byte_10000'
'time_22',40,480,560,158,815,'byte_10000'
'time_22',480,560,158,815,952,'byte_10000'
'time_22',560,158,815,952,1171,'byte_10000'
'time_22',158,815,952,1171,607,'byte_500'
'time_22',815,952,1171,607,26,'byte_10000'
'time_23',952,1171,607,26,1722,'byte_10000'
'time_23',1171,607,26,1722,1549,'byte_500'
'time_23',607,26,1722,1549,36,'byte_10000'
'time_23',26,1722,1549,36,29353,'byte_10000'
'time_23',1722,1549,36,29353,32376,'byte_10000'
