@relation dataset_day_5
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',492,49433,42945,89,29228,'byte_10000'
'time_0',49433,42945,89,29228,48665,'byte_10000'
'time_0',42945,89,29228,48665,8901,'byte_0'
'time_0',89,29228,48665,8901,40914,'byte_10000'
'time_0',29228,48665,8901,40914,32496,'byte_0'
'time_0',48665,8901,40914,32496,29488,'byte_0'
'time_1',8901,40914,32496,29488,64,'byte_0'
'time_1',40914,32496,29488,64,273,'byte_10000'
'time_1',32496,29488,64,273,102468,'byte_0'
'time_1',29488,64,273,102468,32456,'byte_0'
'time_1',64,273,102468,32456,29193,'byte_10000'
'time_1',273,102468,32456,29193,32520,'byte_0'
'time_2',102468,32456,29193,32520,29529,'byte_0'
'time_2',32456,29193,32520,29529,22256,'byte_0'
'time_2',29193,32520,29529,22256,5,'byte_10000'
'time_2',32520,29529,22256,5,129590,'byte_0'
'time_2',29529,22256,5,129590,29337,'byte_0'
'time_3',22256,5,129590,29337,32224,'byte_0'
'time_3',5,129590,29337,32224,0,'byte_0'
'time_3',129590,29337,32224,0,32224,'byte_0'
'time_3',29337,32224,0,32224,0,'byte_0'
'time_3',32224,0,32224,0,0,'byte_0'
'time_3',0,32224,0,0,0,'byte_0'
'time_4',32224,0,0,0,58596,'byte_0'
'time_4',0,0,0,58596,0,'byte_0'
'time_4',0,0,58596,0,0,'byte_0'
'time_4',0,58596,0,0,23291,'byte_0'
'time_4',58596,0,0,23291,0,'byte_10000'
'time_4',0,0,23291,0,0,'byte_500'
'time_5',0,23291,0,0,0,'byte_0'
'time_5',23291,0,0,0,31480,'byte_10000'
'time_5',0,0,0,31480,0,'byte_10000'
'time_5',0,0,31480,0,0,'byte_10000'
'time_5',0,31480,0,0,0,'byte_10000'
'time_5',31480,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,32218,'byte_10000'
'time_7',0,0,0,32218,6,'byte_0'
'time_7',0,0,32218,6,0,'byte_10000'
'time_8',0,32218,6,0,29289,'byte_0'
'time_8',32218,6,0,29289,63705,'byte_0'
'time_8',6,0,29289,63705,29295,'byte_10000'
'time_8',0,29289,63705,29295,15924,'byte_10000'
'time_8',29289,63705,29295,15924,0,'byte_10000'
'time_8',63705,29295,15924,0,0,'byte_10000'
'time_9',29295,15924,0,0,29289,'byte_0'
'time_9',15924,0,0,29289,7,'byte_10000'
'time_9',0,0,29289,7,0,'byte_10000'
