@relation dataset_day_1
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',696,9313,22052,46,165,'byte_0'
'time_0',9313,22052,46,165,29426,'byte_10000'
'time_0',22052,46,165,29426,192,'byte_0'
'time_0',46,165,29426,192,29633,'byte_0'
'time_0',165,29426,192,29633,29453,'byte_0'
'time_0',29426,192,29633,29453,32673,'byte_0'
'time_1',192,29633,29453,32673,58870,'byte_10000'
'time_1',29633,29453,32673,58870,64707,'byte_0'
'time_1',29453,32673,58870,64707,29433,'byte_2500'
'time_1',32673,58870,64707,29433,62521,'byte_10000'
'time_1',58870,64707,29433,62521,122,'byte_0'
'time_1',64707,29433,62521,122,58752,'byte_0'
'time_2',29433,62521,122,58752,32326,'byte_10000'
'time_2',62521,122,58752,32326,29342,'byte_0'
'time_2',122,58752,32326,29342,129915,'byte_0'
'time_2',58752,32326,29342,129915,11692,'byte_10000'
'time_2',32326,29342,129915,11692,0,'byte_0'
'time_2',29342,129915,11692,0,32218,'byte_0'
'time_3',129915,11692,0,32218,0,'byte_0'
'time_3',11692,0,32218,0,0,'byte_0'
'time_3',0,32218,0,0,0,'byte_0'
'time_3',32218,0,0,0,0,'byte_0'
'time_3',0,0,0,0,32218,'byte_0'
'time_4',0,0,0,32218,0,'byte_0'
'time_4',0,0,32218,0,2015,'byte_0'
'time_4',0,32218,0,2015,56752,'byte_0'
'time_4',32218,0,2015,56752,0,'byte_500'
'time_4',0,2015,56752,0,0,'byte_10000'
'time_4',2015,56752,0,0,15596,'byte_10000'
'time_5',56752,0,0,15596,0,'byte_0'
'time_5',0,0,15596,0,0,'byte_0'
'time_5',0,15596,0,0,29295,'byte_10000'
'time_5',15596,0,0,29295,0,'byte_10000'
'time_5',0,0,29295,0,0,'byte_0'
'time_5',0,29295,0,0,0,'byte_500'
'time_6',29295,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,32,'byte_10000'
'time_7',0,0,0,32,64417,'byte_10000'
'time_7',0,0,32,64417,29295,'byte_0'
'time_7',0,32,64417,29295,0,'byte_500'
'time_8',32,64417,29295,0,0,'byte_10000'
'time_8',64417,29295,0,0,32231,'byte_10000'
'time_8',29295,0,0,32231,32224,'byte_10000'
'time_8',0,0,32231,32224,0,'byte_0'
'time_8',0,32231,32224,0,32,'byte_10000'
'time_8',32231,32224,0,32,64410,'byte_0'
'time_9',32224,0,32,64410,0,'byte_500'
'time_9',0,32,64410,0,32218,'byte_10000'
'time_9',32,64410,0,32218,0,'byte_10000'
'time_9',64410,0,32218,0,0,'byte_10000'
'time_9',0,32218,0,0,29289,'byte_5500'
'time_9',32218,0,0,29289,0,'byte_500'
'time_10',0,0,29289,0,64455,'byte_500'
'time_10',0,29289,0,64455,29289,'byte_10000'
'time_10',29289,0,64455,29289,0,'byte_10000'
'time_10',0,64455,29289,0,18,'byte_10000'
'time_10',64455,29289,0,18,96660,'byte_10000'
'time_10',29289,0,18,96660,37853,'byte_10000'
'time_11',0,18,96660,37853,24178,'byte_500'
'time_11',18,96660,37853,24178,0,'byte_500'
