@relation dataset_day_2
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',414,29379,36,260,95925,'byte_500'
'time_0',29379,36,260,95925,175,'byte_10000'
'time_0',36,260,95925,175,32472,'byte_10000'
'time_0',260,95925,175,32472,29326,'byte_0'
'time_0',95925,175,32472,29326,31817,'byte_10000'
'time_0',175,32472,29326,31817,156,'byte_0'
'time_1',32472,29326,31817,156,2276,'byte_0'
'time_1',29326,31817,156,2276,119,'byte_0'
'time_1',31817,156,2276,119,96845,'byte_0'
'time_1',156,2276,119,96845,193,'byte_0'
'time_1',2276,119,96845,193,96703,'byte_0'
'time_1',119,96845,193,96703,29474,'byte_10000'
'time_2',96845,193,96703,29474,175,'byte_0'
'time_2',193,96703,29474,175,29141,'byte_0'
'time_2',96703,29474,175,29141,9406,'byte_0'
'time_2',29474,175,29141,9406,20857,'byte_0'
'time_2',175,29141,9406,20857,16,'byte_0'
'time_2',29141,9406,20857,16,64449,'byte_0'
'time_3',9406,20857,16,64449,58578,'byte_0'
'time_3',20857,16,64449,58578,0,'byte_0'
'time_3',16,64449,58578,0,29289,'byte_0'
'time_3',64449,58578,0,29289,0,'byte_0'
'time_3',58578,0,29289,0,0,'byte_0'
'time_4',0,29289,0,0,0,'byte_10000'
'time_4',29289,0,0,0,0,'byte_0'
'time_4',0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,'byte_0'
'time_4',0,0,0,0,32218,'byte_500'
'time_4',0,0,0,32218,0,'byte_0'
'time_5',0,0,32218,0,0,'byte_10000'
'time_5',0,32218,0,0,0,'byte_500'
'time_5',32218,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
