@relation dataset_day_1
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1064,58597,43687,11666,40690,'byte_0'
'time_0',58597,43687,11666,40690,367,'byte_10000'
'time_0',43687,11666,40690,367,33048,'byte_0'
'time_0',11666,40690,367,33048,57567,'byte_0'
'time_0',40690,367,33048,57567,29966,'byte_0'
'time_0',367,33048,57567,29966,3197,'byte_0'
'time_1',33048,57567,29966,3197,55502,'byte_10000'
'time_1',57567,29966,3197,55502,64876,'byte_0'
'time_1',29966,3197,55502,64876,254,'byte_0'
'time_1',3197,55502,64876,254,28741,'byte_10000'
'time_1',55502,64876,254,28741,84,'byte_0'
'time_1',64876,254,28741,84,68077,'byte_0'
'time_2',254,28741,84,68077,32372,'byte_0'
'time_2',28741,84,68077,32372,29348,'byte_0'
'time_2',84,68077,32372,29348,64512,'byte_0'
'time_2',68077,32372,29348,64512,32218,'byte_0'
'time_2',32372,29348,64512,32218,7,'byte_10000'
'time_2',29348,64512,32218,7,0,'byte_0'
'time_3',64512,32218,7,0,29289,'byte_0'
'time_3',32218,7,0,29289,7,'byte_0'
'time_3',7,0,29289,7,0,'byte_10000'
'time_3',0,29289,7,0,0,'byte_0'
'time_3',29289,7,0,0,32218,'byte_0'
'time_4',7,0,0,32218,0,'byte_10000'
'time_4',0,0,32218,0,0,'byte_0'
'time_4',0,32218,0,0,0,'byte_500'
'time_4',32218,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,64442,'byte_0'
'time_4',0,0,0,64442,0,'byte_0'
'time_5',0,0,64442,0,0,'byte_0'
'time_5',0,64442,0,0,32218,'byte_10000'
'time_5',64442,0,0,32218,0,'byte_0'
'time_5',0,0,32218,0,0,'byte_10000'
'time_5',0,32218,0,0,0,'byte_10000'
'time_5',32218,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,64455,'byte_0'
'time_6',0,0,0,64455,0,'byte_10000'
'time_6',0,0,64455,0,0,'byte_0'
'time_6',0,64455,0,0,0,'byte_0'
'time_7',64455,0,0,0,29295,'byte_500'
'time_7',0,0,0,29295,0,'byte_500'
'time_7',0,0,29295,0,0,'byte_10000'
'time_7',0,29295,0,0,29289,'byte_10000'
'time_7',29295,0,0,29289,0,'byte_10000'
'time_8',0,0,29289,0,29,'byte_10000'
'time_8',0,29289,0,29,32186,'byte_0'
'time_8',29289,0,29,32186,0,'byte_500'
'time_8',0,29,32186,0,0,'byte_10000'
'time_8',29,32186,0,0,0,'byte_10000'
'time_8',32186,0,0,0,32224,'byte_10000'
'time_9',0,0,0,32224,0,'byte_10000'
'time_9',0,0,32224,0,32224,'byte_500'
'time_9',0,32224,0,32224,29318,'byte_10000'
'time_9',32224,0,32224,29318,64442,'byte_500'
'time_9',0,32224,29318,64442,0,'byte_10000'
'time_9',32224,29318,64442,0,32256,'byte_10000'
'time_10',29318,64442,0,32256,0,'byte_500'
'time_10',64442,0,32256,0,29289,'byte_500'
'time_10',0,32256,0,29289,0,'byte_500'
'time_10',32256,0,29289,0,0,'byte_1000'
'time_10',0,29289,0,0,7,'byte_1000'
'time_10',29289,0,0,7,1,'byte_500'
'time_11',0,0,7,1,27138,'byte_500'
'time_11',0,7,1,27138,29347,'byte_500'
'time_11',7,1,27138,29347,32224,'byte_500'
'time_11',1,27138,29347,32224,83394,'byte_500'
'time_11',27138,29347,32224,83394,0,'byte_500'
'time_12',29347,32224,83394,0,39,'byte_500'
'time_12',32224,83394,0,39,29307,'byte_500'
'time_12',83394,0,39,29307,59314,'byte_500'
'time_12',0,39,29307,59314,64474,'byte_500'
'time_12',39,29307,59314,64474,29324,'byte_500'
'time_12',29307,59314,64474,29324,32,'byte_500'
'time_13',59314,64474,29324,32,29383,'byte_500'
'time_13',64474,29324,32,29383,79,'byte_1000'
'time_13',29324,32,29383,79,67338,'byte_1000'
'time_13',32,29383,79,67338,32476,'byte_500'
'time_13',29383,79,67338,32476,141,'byte_1000'
'time_13',79,67338,32476,141,397,'byte_500'
'time_14',67338,32476,141,397,276,'byte_500'
'time_14',32476,141,397,276,551,'byte_500'
'time_14',141,397,276,551,533,'byte_1500'
