@relation dataset_p2p5_19_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7325,6465,6465,-3974,2491,9683,12174,-4927,7247,'byte_500'
'time_0',6465,-4756,2491,9683,12174,-4927,7247,-7242,5,'byte_4000'
'time_0',2491,12169,12174,-4927,7247,-7242,5,3657,3662,'byte_4500'
'time_0',12174,3585,7247,-7242,5,3657,3662,373,4035,'byte_4000'
'time_0',7247,-4030,5,3657,3662,373,4035,-294,3741,'byte_10000'
'time_1',5,-79,3662,373,4035,-294,3741,8298,12039,'byte_1500'
'time_1',3662,-8004,4035,-294,3741,8298,12039,-10914,1125,'byte_6500'
'time_1',4035,2616,3741,8298,12039,-10914,1125,5138,6263,'byte_8500'
'time_1',3741,5776,12039,-10914,1125,5138,6263,1795,8058,'byte_4000'
'time_1',12039,-6933,1125,5138,6263,1795,8058,-4398,3660,'byte_4500'
'time_1',1125,2603,6263,1795,8058,-4398,3660,370,4030,'byte_500'
'time_2',6263,4028,8058,-4398,3660,370,4030,-4026,4,'byte_10000'
'time_2',8058,3656,3660,370,4030,-4026,4,10979,10983,'byte_500'
'time_2',3660,-6953,4030,-4026,4,10979,10983,-10941,42,'byte_4000'
'time_2',4030,-38,4,10979,10983,-10941,42,3942,3984,'byte_500'
'time_2',4,6999,10983,-10941,42,3942,3984,-3984,0,'byte_8500'
'time_2',10983,42,42,3942,3984,-3984,0,8059,8059,'byte_500'
'time_3',42,-4075,3984,-3984,0,8059,8059,-8059,0,'byte_500'
'time_3',3984,0,0,8059,8059,-8059,0,0,0,'byte_500'
'time_3',0,8059,8059,-8059,0,0,0,0,0,'byte_500'
'time_3',8059,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,0,0,'byte_4500'
'time_3',0,0,0,0,0,0,0,4030,4030,'byte_4000'
'time_4',0,-4030,0,0,0,4030,4030,-370,3660,'byte_4500'
'time_4',0,-3660,0,4030,4030,-370,3660,368,4028,'byte_500'
'time_4',0,2,4030,-370,3660,368,4028,-4028,0,'byte_4000'
'time_4',4030,3660,3660,368,4028,-4028,0,3662,3662,'byte_500'
'time_4',3660,366,4028,-4028,0,3662,3662,-3662,0,'byte_500'
'time_5',4028,0,0,3662,3662,-3662,0,0,0,'byte_4500'
'time_5',0,3662,3662,-3662,0,0,0,4030,4030,'byte_500'
'time_5',3662,-4030,0,0,0,4030,4030,-4030,0,'byte_500'
'time_5',0,0,0,4030,4030,-4030,0,0,0,'byte_500'
'time_5',0,4030,4030,-4030,0,0,0,0,0,'byte_500'
'time_5',4030,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_4000'
'time_6',0,0,0,0,0,0,0,3662,3662,'byte_4500'
'time_6',0,-3662,0,0,0,3662,3662,368,4030,'byte_500'
'time_7',0,-4030,0,3662,3662,368,4030,-4030,0,'byte_4500'
'time_7',0,3662,3662,368,4030,-4030,0,4030,4030,'byte_4000'
'time_7',3662,0,4030,-4030,0,4030,4030,-369,3661,'byte_500'
'time_7',4030,-3661,0,4030,4030,-369,3661,-3659,2,'byte_500'
'time_7',0,4028,4030,-369,3661,-3659,2,-2,0,'byte_4500'
'time_8',4030,3661,3661,-3659,2,-2,0,4030,4030,'byte_4000'
'time_8',3661,-4028,2,-2,0,4030,4030,-367,3663,'byte_500'
'time_8',2,-3663,0,4030,4030,-367,3663,-3663,0,'byte_4000'
'time_8',0,4030,4030,-367,3663,-3663,0,3663,3663,'byte_4000'
'time_8',4030,0,3663,-3663,0,3663,3663,-81,3582,'byte_500'
'time_8',3663,-3582,0,3663,3663,-81,3582,-3500,82,'byte_8500'
'time_9',0,3581,3663,-81,3582,-3500,82,7974,8056,'byte_7500'
'time_9',3663,-4474,3582,-3500,82,7974,8056,-732,7324,'byte_500'
'time_9',3582,-7242,82,7974,8056,-732,7324,-7324,0,'byte_4500'
'time_9',82,8056,8056,-732,7324,-7324,0,4032,4032,'byte_4000'
'time_9',8056,3292,7324,-7324,0,4032,4032,-369,3663,'byte_7500'
'time_9',7324,-3663,0,4032,4032,-369,3663,3662,7325,'byte_4500'
'time_10',0,-3293,4032,-369,3663,3662,7325,-3297,4028,'byte_500'
'time_10',4032,-365,3663,3662,7325,-3297,4028,-4027,1,'byte_4000'
'time_10',3663,7324,7325,-3297,4028,-4027,1,3804,3805,'byte_4500'
'time_10',7325,223,4028,-4027,1,3804,3805,225,4030,'byte_500'
'time_10',4028,-4029,1,3804,3805,225,4030,-4030,0,'byte_10000'
'time_11',1,3805,3805,225,4030,-4030,0,10988,10988,'byte_8500'
'time_11',3805,-6958,4030,-4030,0,10988,10988,-2930,8058,'byte_4000'
'time_11',4030,-8058,0,10988,10988,-2930,8058,-4397,3661,'byte_4500'
'time_11',0,7327,10988,-2930,8058,-4397,3661,398,4059,'byte_1500'
'time_11',10988,3999,8058,-4397,3661,398,4059,-2780,1279,'byte_4000'
'time_11',8058,2382,3661,398,4059,-2780,1279,2426,3705,'byte_500'
'time_12',3661,354,4059,-2780,1279,2426,3705,-3682,23,'byte_7000'
'time_12',4059,1256,1279,2426,3705,-3682,23,6779,6802,'byte_4500'
'time_12',1279,-3097,3705,-3682,23,6779,6802,-2772,4030,'byte_4000'
'time_12',3705,-4007,23,6779,6802,-2772,4030,-368,3662,'byte_4000'
'time_12',23,3140,6802,-2772,4030,-368,3662,1,3663,'byte_8500'
'time_13',6802,367,4030,-368,3662,1,3663,4433,8096,'byte_10000'
'time_13',4030,-4434,3662,1,3663,4433,8096,6486,14582,'byte_4000'
'time_13',3662,-10919,3663,4433,8096,6486,14582,-10854,3728,'byte_8500'
'time_13',3663,4368,8096,6486,14582,-10854,3728,4328,8056,'byte_500'
'time_13',8096,6526,14582,-10854,3728,4328,8056,-8056,0,'byte_4500'
'time_13',14582,3728,3728,4328,8056,-8056,0,4027,4027,'byte_10000'
