@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',13168,0,0,14653,14653,-2530,12123,2526,14649,'byte_500'
'time_0',0,4,14653,-2530,12123,2526,14649,-14649,0,'byte_10000'
'time_0',14653,12123,12123,2526,14649,-14649,0,14647,14647,'byte_500'
'time_0',12123,2,14649,-14649,0,14647,14647,-14637,10,'byte_10000'
'time_0',14649,-10,0,14647,14647,-14637,10,10975,10985,'byte_4500'
'time_0',0,3662,14647,-14637,10,10975,10985,-6957,4028,'byte_4500'
'time_1',14647,-4018,10,10975,10985,-6957,4028,0,4028,'byte_7500'
'time_1',10,6957,10985,-6957,4028,0,4028,3296,7324,'byte_10000'
'time_1',10985,-3296,4028,0,4028,3296,7324,8787,16111,'byte_4000'
'time_1',4028,-12083,4028,3296,7324,8787,16111,-12448,3663,'byte_4500'
'time_1',4028,3661,7324,8787,16111,-12448,3663,365,4028,'byte_500'
'time_1',7324,12083,16111,-12448,3663,365,4028,-4028,0,'byte_8500'
'time_2',16111,3663,3663,365,4028,-4028,0,8056,8056,'byte_8500'
'time_2',3663,-4028,4028,-4028,0,8056,8056,-1,8055,'byte_500'
'time_2',4028,-8055,0,8056,8056,-1,8055,-8055,0,'byte_4500'
'time_2',0,8056,8056,-1,8055,-8055,0,4031,4031,'byte_500'
'time_2',8056,4024,8055,-8055,0,4031,4031,-4027,4,'byte_4000'
'time_2',8055,-4,0,4031,4031,-4027,4,3654,3658,'byte_500'
'time_3',0,373,4031,-4027,4,3654,3658,-3658,0,'byte_7500'
'time_3',4031,4,4,3654,3658,-3658,0,7323,7323,'byte_8500'
'time_3',4,-3665,3658,-3658,0,7323,7323,731,8054,'byte_4500'
'time_3',3658,-8054,0,7323,7323,731,8054,-4027,4027,'byte_500'
'time_3',0,3296,7323,731,8054,-4027,4027,-4027,0,'byte_500'
'time_4',7323,8054,8054,-4027,4027,-4027,0,0,0,'byte_4500'
'time_4',8054,4027,4027,-4027,0,0,0,4027,4027,'byte_500'
'time_4',4027,-4027,0,0,0,4027,4027,-4027,0,'byte_500'
'time_4',0,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_4',0,4027,4027,-4027,0,0,0,0,0,'byte_500'
'time_4',4027,0,0,0,0,0,0,401,401,'byte_500'
