@relation dataset_p2p5_26_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',3662,0,0,7367,7367,695,8062,-4400,3662,'byte_4500'
'time_0',0,3705,7367,695,8062,-4400,3662,359,4021,'byte_4000'
'time_0',7367,4041,8062,-4400,3662,359,4021,-354,3667,'byte_4500'
'time_0',8062,-5,3662,359,4021,-354,3667,406,4073,'byte_4000'
'time_0',3662,-52,4021,-354,3667,406,4073,-427,3646,'byte_4500'
'time_0',4021,21,3667,406,4073,-427,3646,382,4028,'byte_7500'
'time_1',3667,45,4073,-427,3646,382,4028,3295,7323,'byte_500'
'time_1',4073,-3677,3646,382,4028,3295,7323,-7321,2,'byte_500'
'time_1',3646,4026,4028,3295,7323,-7321,2,0,2,'byte_4000'
'time_1',4028,7321,7323,-7321,2,0,2,3661,3663,'byte_4500'
'time_1',7323,-3661,2,0,2,3661,3663,366,4029,'byte_4000'
'time_1',2,-4027,2,3661,3663,366,4029,-368,3661,'byte_4500'
'time_2',2,2,3663,366,4029,-368,3661,369,4030,'byte_4500'
'time_2',3663,-1,4029,-368,3661,369,4030,-2,4028,'byte_10000'
'time_2',4029,-367,3661,369,4030,-2,4028,14278,18306,'byte_4500'
'time_2',3661,-14276,4030,-2,4028,14278,18306,-14275,4031,'byte_500'
'time_2',4030,-3,4028,14278,18306,-14275,4031,-4031,0,'byte_500'
'time_2',4028,18306,18306,-14275,4031,-4031,0,0,0,'byte_8500'
'time_3',18306,4031,4031,-4031,0,0,0,8057,8057,'byte_500'
'time_3',4031,-8057,0,0,0,8057,8057,-8057,0,'byte_500'
'time_3',0,0,0,8057,8057,-8057,0,0,0,'byte_4000'
'time_3',0,8057,8057,-8057,0,0,0,3661,3661,'byte_10000'
'time_3',8057,-3661,0,0,0,3661,3661,8425,12086,'byte_500'
'time_4',0,-12086,0,3661,3661,8425,12086,-12086,0,'byte_500'
'time_4',0,3661,3661,8425,12086,-12086,0,0,0,'byte_500'
'time_4',3661,12086,12086,-12086,0,0,0,0,0,'byte_4500'
'time_4',12086,0,0,0,0,0,0,4027,4027,'byte_500'
'time_4',0,-4027,0,0,0,4027,4027,-4027,0,'byte_4500'
'time_4',0,0,0,4027,4027,-4027,0,4027,4027,'byte_500'
'time_5',0,0,4027,-4027,0,4027,4027,-4027,0,'byte_500'
'time_5',4027,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_5',0,4027,4027,-4027,0,0,0,0,0,'byte_500'
'time_5',4027,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_4500'
'time_5',0,0,0,0,0,0,0,4028,4028,'byte_500'
'time_6',0,-4028,0,0,0,4028,4028,-4028,0,'byte_4500'
'time_6',0,0,0,4028,4028,-4028,0,4028,4028,'byte_500'
'time_6',0,0,4028,-4028,0,4028,4028,-4028,0,'byte_500'
'time_6',4028,0,0,4028,4028,-4028,0,0,0,'byte_3500'
'time_6',0,4028,4028,-4028,0,0,0,3089,3089,'byte_500'
'time_6',4028,-3089,0,0,0,3089,3089,-3089,0,'byte_500'
'time_7',0,0,0,3089,3089,-3089,0,0,0,'byte_500'
'time_7',0,3089,3089,-3089,0,0,0,0,0,'byte_500'
'time_7',3089,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_7500'
'time_8',0,0,0,0,0,0,0,7323,7323,'byte_500'
'time_8',0,-7323,0,0,0,7323,7323,-7323,0,'byte_4500'
'time_8',0,0,0,7323,7323,-7323,0,4031,4031,'byte_4000'
'time_8',0,3292,7323,-7323,0,4031,4031,-370,3661,'byte_500'
'time_8',7323,-3661,0,4031,4031,-370,3661,-3661,0,'byte_500'
'time_8',0,4031,4031,-370,3661,-3661,0,0,0,'byte_4500'
'time_9',4031,3661,3661,-3661,0,0,0,4028,4028,'byte_4500'
'time_9',3661,-4028,0,0,0,4028,4028,-1,4027,'byte_1500'
'time_9',0,-4027,0,4028,4028,-1,4027,-2870,1157,'byte_500'
'time_9',0,2871,4028,-1,4027,-2870,1157,-1155,2,'byte_10000'
'time_9',4028,4025,4027,-2870,1157,-1155,2,12346,12348,'byte_500'
'time_9',4027,-11191,1157,-1155,2,12346,12348,-12348,0,'byte_500'
'time_10',1157,2,2,12346,12348,-12348,0,0,0,'byte_8500'
'time_10',2,12348,12348,-12348,0,0,0,8054,8054,'byte_5500'
'time_10',12348,-8054,0,0,0,8054,8054,-2636,5418,'byte_6500'
'time_10',0,-5418,0,8054,8054,-2636,5418,641,6059,'byte_1500'
'time_10',0,1995,8054,-2636,5418,641,6059,-4756,1303,'byte_10000'
'time_10',8054,4115,5418,641,6059,-4756,1303,8501,9804,'byte_4500'
'time_11',5418,-3745,6059,-4756,1303,8501,9804,-5778,4026,'byte_8500'
'time_11',6059,-2723,1303,8501,9804,-5778,4026,4031,8057,'byte_500'
'time_11',1303,1747,9804,-5778,4026,4031,8057,-8057,0,'byte_5000'
'time_11',9804,4026,4026,4031,8057,-8057,0,4922,4922,'byte_7500'
'time_11',4026,3135,8057,-8057,0,4922,4922,2408,7330,'byte_8500'
'time_12',8057,-7330,0,4922,4922,2408,7330,719,8049,'byte_4000'
'time_12',0,-3127,4922,2408,7330,719,8049,-4347,3702,'byte_8500'
'time_12',4922,3628,7330,719,8049,-4347,3702,4313,8015,'byte_4500'
'time_12',7330,34,8049,-4347,3702,4313,8015,-3988,4027,'byte_500'
'time_12',8049,-325,3702,4313,8015,-3988,4027,-3990,37,'byte_10000'
'time_12',3702,7978,8015,-3988,4027,-3990,37,12007,12044,'byte_7500'
'time_13',8015,-8017,4027,-3990,37,12007,12044,-4721,7323,'byte_500'
'time_13',4027,-7286,37,12007,12044,-4721,7323,-7323,0,'byte_4000'
'time_13',37,12044,12044,-4721,7323,-7323,0,3663,3663,'byte_4500'
'time_13',12044,3660,7323,-7323,0,3663,3663,364,4027,'byte_4500'
'time_13',7323,-4027,0,3663,3663,364,4027,3,4030,'byte_5500'
'time_13',0,-367,3663,364,4027,3,4030,1091,5121,'byte_10000'
'time_14',3663,-1094,4027,3,4030,1091,5121,7839,12960,'byte_7500'
'time_14',4027,-8930,4030,1091,5121,7839,12960,-5721,7239,'byte_8000'
'time_14',4030,-2118,5121,7839,12960,-5721,7239,273,7512,'byte_4500'
'time_14',5121,5448,12960,-5721,7239,273,7512,-3485,4027,'byte_4000'
'time_14',12960,3212,7239,273,7512,-3485,4027,-365,3662,'byte_500'
'time_14',7239,3850,7512,-3485,4027,-365,3662,-3660,2,'byte_4000'
'time_15',7512,4025,4027,-365,3662,-3660,2,3664,3666,'byte_4500'
'time_15',4027,-4,3662,-3660,2,3664,3666,360,4026,'byte_4500'
'time_15',3662,-4024,2,3664,3666,360,4026,0,4026,'byte_4000'
'time_15',2,-360,3666,360,4026,0,4026,-364,3662,'byte_8500'
'time_15',3666,364,4026,0,4026,-364,3662,4395,8057,'byte_4000'
'time_15',4026,-4031,4026,-364,3662,4395,8057,-4395,3662,'byte_500'
'time_16',4026,0,3662,4395,8057,-4395,3662,-3659,3,'byte_10000'
'time_16',3662,8054,8057,-4395,3662,-3659,3,12723,12726,'byte_8500'
'time_16',8057,-9064,3662,-3659,3,12723,12726,-4670,8056,'byte_4500'
'time_16',3662,-8053,3,12723,12726,-4670,8056,-4030,4026,'byte_3000'
'time_16',3,8700,12726,-4670,8056,-4030,4026,-1300,2726,'byte_8500'
'time_17',12726,5330,8056,-4030,4026,-1300,2726,5334,8060,'byte_10000'
'time_17',8056,-4034,4026,-1300,2726,5334,8060,7081,15141,'byte_10000'
'time_17',4026,-12415,2726,5334,8060,7081,15141,970,16111,'byte_8500'
'time_17',2726,-8051,8060,7081,15141,970,16111,-8055,8056,'byte_1000'
'time_17',8060,7085,15141,970,16111,-8055,8056,-7348,708,'byte_4000'
'time_17',15141,15403,16111,-8055,8056,-7348,708,2955,3663,'byte_4500'
'time_18',16111,4393,8056,-7348,708,2955,3663,363,4026,'byte_500'
'time_18',8056,-3318,708,2955,3663,363,4026,-4026,0,'byte_4000'
'time_18',708,3663,3663,363,4026,-4026,0,3662,3662,'byte_4500'
'time_18',3663,364,4026,-4026,0,3662,3662,366,4028,'byte_4000'
'time_18',4026,-4028,0,3662,3662,366,4028,-367,3661,'byte_1500'
'time_18',0,1,3662,366,4028,-367,3661,-2472,1189,'byte_3000'
'time_19',3662,2839,4028,-367,3661,-2472,1189,1392,2581,'byte_4500'
'time_19',4028,1080,3661,-2472,1189,1392,2581,1447,4028,'byte_10000'
'time_19',3661,-2839,1189,1392,2581,1447,4028,6957,10985,'byte_8500'
'time_19',1189,-8404,2581,1447,4028,6957,10985,-2929,8056,'byte_4500'
'time_19',2581,-4028,4028,6957,10985,-2929,8056,-4028,4028,'byte_4000'
'time_20',4028,6957,10985,-2929,8056,-4028,4028,-362,3666,'byte_4500'
'time_20',10985,4390,8056,-4028,4028,-362,3666,364,4030,'byte_4000'
'time_20',8056,-2,4028,-362,3666,364,4030,-370,3660,'byte_4500'
'time_20',4028,6,3666,364,4030,-370,3660,369,4029,'byte_8500'
'time_20',3666,1,4030,-370,3660,369,4029,4026,8055,'byte_7500'
'time_20',4030,-4395,3660,369,4029,4026,8055,-731,7324,'byte_8500'
'time_21',3660,-3295,4029,4026,8055,-731,7324,742,8066,'byte_6000'
'time_21',4029,-11,8055,-731,7324,742,8066,-2275,5791,'byte_4500'
'time_21',8055,1533,7324,742,8066,-2275,5791,-1760,4031,'byte_4500'
'time_21',7324,4035,8066,-2275,5791,-1760,4031,-4,4027,'byte_4000'
'time_21',8066,1764,5791,-1760,4031,-4,4027,-367,3660,'byte_9000'
'time_21',5791,371,4031,-4,4027,-367,3660,4956,8616,'byte_7500'
'time_22',4031,-4589,4027,-367,3660,4956,8616,-1289,7327,'byte_500'
'time_22',4027,-3667,3660,4956,8616,-1289,7327,-7327,0,'byte_7500'
'time_22',3660,8616,8616,-1289,7327,-7327,0,7110,7110,'byte_9500'
'time_22',8616,217,7327,-7327,0,7110,7110,2332,9442,'byte_8500'
'time_22',7327,-9442,0,7110,7110,2332,9442,-1388,8054,'byte_7000'
'time_22',0,-944,7110,2332,9442,-1388,8054,-1342,6712,'byte_5000'
'time_23',7110,2730,9442,-1388,8054,-1342,6712,-2009,4703,'byte_10000'
'time_23',9442,3351,8054,-1342,6712,-2009,4703,7382,12085,'byte_4000'
'time_23',8054,-5373,6712,-2009,4703,7382,12085,-8423,3662,'byte_500'
'time_23',6712,1041,4703,7382,12085,-8423,3662,-3662,0,'byte_7500'
'time_23',4703,12085,12085,-8423,3662,-3662,0,7367,7367,'byte_8500'
'time_23',12085,-3705,3662,-3662,0,7367,7367,695,8062,'byte_4000'
