@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',25635,0,0,29356,29356,-1958,27398,-26663,735,'byte_4500'
'time_0',0,28621,29356,-1958,27398,-26663,735,23493,24228,'byte_10000'
'time_0',29356,3170,27398,-26663,735,23493,24228,-20619,3609,'byte_10000'
'time_0',27398,-2874,735,23493,24228,-20619,3609,450,4059,'byte_10000'
'time_0',735,20169,24228,-20619,3609,450,4059,21493,25552,'byte_5500'
'time_0',24228,-21943,3609,450,4059,21493,25552,-5405,20147,'byte_10000'
'time_1',3609,-16088,4059,21493,25552,-5405,20147,-16126,4021,'byte_10000'
'time_1',4059,21531,25552,-5405,20147,-16126,4021,6517,10538,'byte_500'
'time_1',25552,9609,20147,-16126,4021,6517,10538,2710,13248,'byte_7500'
'time_1',20147,-9227,4021,6517,10538,2710,13248,7669,20917,'byte_10000'
'time_1',4021,-10379,10538,2710,13248,7669,20917,-15734,5183,'byte_4500'
'time_1',10538,8065,13248,7669,20917,-15734,5183,16900,22083,'byte_500'
'time_2',13248,-1166,20917,-15734,5183,16900,22083,-9998,12085,'byte_500'
'time_2',20917,-6902,5183,16900,22083,-9998,12085,-12080,5,'byte_4000'
'time_2',5183,22078,22083,-9998,12085,-12080,5,7230,7235,'byte_8500'
'time_2',22083,4850,12085,-12080,5,7230,7235,4866,12101,'byte_500'
'time_2',12085,-12096,5,7230,7235,4866,12101,-8074,4027,'byte_4000'
'time_2',5,3208,7235,4866,12101,-8074,4027,-4027,0,'byte_4500'
'time_3',7235,12101,12101,-8074,4027,-4027,0,0,0,'byte_500'
'time_3',12101,4027,4027,-4027,0,0,0,3577,3577,'byte_7500'
