@relation dataset_p2p5_9_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',4026,0,0,4999,4999,5109,10108,-6028,4080,'byte_500'
'time_0',0,919,4999,5109,10108,-6028,4080,-466,3614,'byte_2000'
'time_0',4999,6494,10108,-6028,4080,-466,3614,-3611,3,'byte_4500'
'time_0',10108,4077,4080,-466,3614,-3611,3,3661,3664,'byte_500'
'time_0',4080,-50,3614,-3611,3,3661,3664,17324,20988,'byte_4000'
'time_0',3614,-20985,3,3661,3664,17324,20988,-6342,14646,'byte_500'
'time_1',3,-10982,3664,17324,20988,-6342,14646,-14644,2,'byte_4000'
'time_1',3664,20986,20988,-6342,14646,-14644,2,1876,1878,'byte_8500'
'time_1',20988,12768,14646,-14644,2,1876,1878,2150,4028,'byte_10000'
'time_1',14646,-4026,2,1876,1878,2150,4028,-3982,46,'byte_7500'
'time_1',2,1832,1878,2150,4028,-3982,46,3573,3619,'byte_3500'
'time_1',1878,409,4028,-3982,46,3573,3619,-3619,0,'byte_1000'
'time_2',4028,46,46,3573,3619,-3619,0,3663,3663,'byte_500'
'time_2',46,-44,3619,-3619,0,3663,3663,4394,8057,'byte_500'
'time_2',3619,-8057,0,3663,3663,4394,8057,4026,12083,'byte_8500'
'time_2',0,-8420,3663,4394,8057,4026,12083,-4753,7330,'byte_500'
'time_2',3663,727,8057,4026,12083,-4753,7330,-4251,3079,'byte_500'
'time_2',8057,9004,12083,-4753,7330,-4251,3079,-2217,862,'byte_4500'
'time_3',12083,6468,7330,-4251,3079,-2217,862,-862,0,'byte_500'
'time_3',7330,3079,3079,-2217,862,-862,0,0,0,'byte_4000'
'time_3',3079,862,862,-862,0,0,0,8031,8031,'byte_500'
'time_3',862,-8031,0,0,0,8031,8031,-8031,0,'byte_500'
'time_3',0,0,0,8031,8031,-8031,0,0,0,'byte_4000'
'time_4',0,8031,8031,-8031,0,0,0,4027,4027,'byte_500'
'time_4',8031,-4027,0,0,0,4027,4027,-4027,0,'byte_500'
'time_4',0,0,0,4027,4027,-4027,0,3662,3662,'byte_500'
'time_4',0,365,4027,-4027,0,3662,3662,-3662,0,'byte_500'
'time_4',4027,0,0,3662,3662,-3662,0,0,0,'byte_500'
'time_4',0,3662,3662,-3662,0,0,0,3661,3661,'byte_500'
'time_5',3662,-3661,0,0,0,3661,3661,-3661,0,'byte_500'
'time_5',0,0,0,3661,3661,-3661,0,4,4,'byte_4000'
'time_5',0,3657,3661,-3661,0,4,4,-4,0,'byte_500'
'time_5',3661,0,0,4,4,-4,0,0,0,'byte_4500'
'time_5',0,4,4,-4,0,0,0,0,0,'byte_4000'
'time_5',4,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,3661,3661,'byte_4000'
'time_6',0,-3661,0,0,0,3661,3661,-3661,0,'byte_500'
'time_6',0,0,0,3661,3661,-3661,0,4027,4027,'byte_500'
'time_6',0,-366,3661,-3661,0,4027,4027,-366,3661,'byte_500'
'time_6',3661,-3661,0,4027,4027,-366,3661,-3661,0,'byte_8500'
'time_7',0,4027,4027,-366,3661,-3661,0,0,0,'byte_500'
'time_7',4027,3661,3661,-3661,0,0,0,3662,3662,'byte_4000'
'time_7',3661,-3662,0,0,0,3662,3662,-3662,0,'byte_4500'
'time_7',0,0,0,3662,3662,-3662,0,0,0,'byte_4000'
'time_7',0,3662,3662,-3662,0,0,0,0,0,'byte_500'
'time_7',3662,0,0,0,0,0,0,8056,8056,'byte_4000'
'time_8',0,-8056,0,0,0,8056,8056,-8056,0,'byte_4500'
'time_8',0,0,0,8056,8056,-8056,0,3663,3663,'byte_500'
'time_8',0,4393,8056,-8056,0,3663,3663,366,4029,'byte_4000'
'time_8',8056,-4029,0,3663,3663,366,4029,-360,3669,'byte_500'
'time_8',0,-6,3663,366,4029,-360,3669,-3669,0,'byte_10000'
'time_9',3663,4029,4029,-360,3669,-3669,0,3662,3662,'byte_4000'
'time_9',4029,7,3669,-3669,0,3662,3662,365,4027,'byte_500'
'time_9',3669,-4027,0,3662,3662,365,4027,-4027,0,'byte_4000'
'time_9',0,3662,3662,365,4027,-4027,0,3663,3663,'byte_500'
'time_9',3662,364,4027,-4027,0,3663,3663,-3663,0,'byte_4000'
'time_9',4027,0,0,3663,3663,-3663,0,12083,12083,'byte_500'
'time_10',0,-8420,3663,-3663,0,12083,12083,-8418,3665,'byte_10000'
'time_10',3663,-3665,0,12083,12083,-8418,3665,-3665,0,'byte_4500'
'time_10',0,12083,12083,-8418,3665,-3665,0,3663,3663,'byte_4500'
'time_10',12083,2,3665,-3665,0,3663,3663,-3663,0,'byte_10000'
'time_10',3665,0,0,3663,3663,-3663,0,3663,3663,'byte_10000'
'time_10',0,0,3663,-3663,0,3663,3663,-3663,0,'byte_1000'
'time_11',3663,0,0,3663,3663,-3663,0,10984,10984,'byte_8500'
'time_11',0,-7321,3663,-3663,0,10984,10984,-6954,4030,'byte_10000'
'time_11',3663,-4030,0,10984,10984,-6954,4030,-4,4026,'byte_10000'
'time_11',0,6958,10984,-6954,4030,-4,4026,6961,10987,'byte_4500'
'time_11',10984,-6957,4030,-4,4026,6961,10987,4301,15288,'byte_7500'
'time_11',4030,-11262,4026,6961,10987,4301,15288,-14484,804,'byte_500'
'time_12',4026,10183,10987,4301,15288,-14484,804,7252,8056,'byte_10000'
'time_12',10987,7232,15288,-14484,804,7252,8056,8059,16115,'byte_4500'
'time_12',15288,-15311,804,7252,8056,8059,16115,-5129,10986,'byte_10000'
'time_12',804,-2930,8056,8059,16115,-5129,10986,-6959,4027,'byte_10000'
'time_12',8056,12088,16115,-5129,10986,-6959,4027,3214,7241,'byte_10000'
'time_13',16115,3745,10986,-6959,4027,3214,7241,-7147,94,'byte_10000'
'time_13',10986,3933,4027,3214,7241,-7147,94,10889,10983,'byte_10000'
'time_13',4027,-3742,7241,-7147,94,10889,10983,-6953,4030,'byte_4500'
'time_13',7241,-3936,94,10889,10983,-6953,4030,11443,15473,'byte_10000'
'time_13',94,-4490,10983,-6953,4030,11443,15473,-4496,10977,'byte_8500'
'time_13',10983,-6947,4030,11443,15473,-4496,10977,445,11422,'byte_7500'
'time_14',4030,4051,15473,-4496,10977,445,11422,98,11520,'byte_500'
'time_14',15473,-543,10977,445,11422,98,11520,566,12086,'byte_4000'
'time_14',10977,-664,11422,98,11520,566,12086,-8058,4028,'byte_4500'
'time_14',11422,7492,11520,566,12086,-8058,4028,6961,10989,'byte_8500'
