@relation dataset_day_3_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1025,58641,58641,-24886,33755,-33371,384,16053,16437,'byte_500'
'time_0',58641,17318,33755,-33371,384,16053,16437,-16037,400,'byte_10000'
'time_0',33755,-16,384,16053,16437,-16037,400,-307,93,'byte_2000'
'time_0',384,16344,16437,-16037,400,-307,93,-39,54,'byte_10000'
'time_0',16437,346,400,-307,93,-39,54,29426,29480,'byte_10000'
'time_0',400,-29387,93,-39,54,29426,29480,-21784,7696,'byte_500'
'time_1',93,-7642,54,29426,29480,-21784,7696,-7585,111,'byte_10000'
'time_1',54,29369,29480,-21784,7696,-7585,111,64160,64271,'byte_10000'
'time_1',29480,-56575,7696,-7585,111,64160,64271,-62616,1655,'byte_7000'
'time_1',7696,-1544,111,64160,64271,-62616,1655,30903,32558,'byte_10000'
'time_1',111,31713,64271,-62616,1655,30903,32558,33917,66475,'byte_10000'
'time_1',64271,-64820,1655,30903,32558,33917,66475,-66062,413,'byte_500'
'time_2',1655,32145,32558,33917,66475,-66062,413,65176,65589,'byte_500'
'time_2',32558,886,66475,-66062,413,65176,65589,-8238,57351,'byte_500'
'time_2',66475,-56938,413,65176,65589,-8238,57351,-50819,6532,'byte_500'
'time_2',413,59057,65589,-8238,57351,-50819,6532,25573,32105,'byte_500'
'time_2',65589,25246,57351,-50819,6532,25573,32105,25808,57913,'byte_500'
'time_2',57351,-51381,6532,25573,32105,25808,57913,-57913,0,'byte_6000'
'time_3',6532,32105,32105,25808,57913,-57913,0,0,0,'byte_500'
'time_3',32105,57913,57913,-57913,0,0,0,0,0,'byte_10000'
'time_3',57913,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,5938,5938,'byte_500'
'time_4',0,-5938,0,0,0,5938,5938,-5938,0,'byte_500'
'time_4',0,0,0,5938,5938,-5938,0,32224,32224,'byte_500'
'time_4',0,-26286,5938,-5938,0,32224,32224,-32224,0,'byte_500'
'time_4',5938,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_5',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,29,29,'byte_10000'
'time_7',0,-29,0,0,0,29,29,32163,32192,'byte_500'
'time_7',0,-32192,0,29,29,32163,32192,-32192,0,'byte_10000'
'time_7',0,29,29,32163,32192,-32192,0,0,0,'byte_500'
'time_7',29,32192,32192,-32192,0,0,0,32,32,'byte_500'
'time_7',32192,-32,0,0,0,32,32,64385,64417,'byte_500'
'time_8',0,-64417,0,32,32,64385,64417,-35122,29295,'byte_500'
'time_8',0,-29263,32,64385,64417,-35122,29295,-29263,32,'byte_10000'
'time_8',32,64385,64417,-35122,29295,-29263,32,32192,32224,'byte_500'
'time_8',64417,-2929,29295,-29263,32,32192,32224,-32224,0,'byte_10000'
'time_8',29295,32,32,32192,32224,-32224,0,0,0,'byte_10000'
'time_9',32,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_9',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_9',0,0,0,0,0,0,0,29295,29295,'byte_10000'
'time_9',0,-29295,0,0,0,29295,29295,-29263,32,'byte_500'
'time_9',0,-32,0,29295,29295,-29263,32,32192,32224,'byte_10000'
