@relation dataset_day_13_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1194,29299,29299,-29299,0,17194,17194,28757,45951,'byte_10000'
'time_0',29299,-45951,0,17194,17194,28757,45951,-17511,28440,'byte_10000'
'time_0',0,-11246,17194,28757,45951,-17511,28440,36224,64664,'byte_500'
'time_0',17194,-18713,45951,-17511,28440,36224,64664,-64556,108,'byte_10000'
'time_0',45951,28332,28440,36224,64664,-64556,108,64306,64414,'byte_10000'
'time_0',28440,250,64664,-64556,108,64306,64414,-64240,174,'byte_10000'
'time_1',64664,-66,108,64306,64414,-64240,174,10188,10362,'byte_10000'
'time_1',108,54052,64414,-64240,174,10188,10362,9677,20039,'byte_500'
'time_1',64414,-19865,174,10188,10362,9677,20039,-19793,246,'byte_10000'
'time_1',174,10116,10362,9677,20039,-19793,246,133270,133516,'byte_10000'
'time_1',10362,-113477,20039,-19793,246,133270,133516,-104117,29399,'byte_500'
'time_1',20039,-29153,246,133270,133516,-104117,29399,2887,32286,'byte_10000'
'time_2',246,101230,133516,-104117,29399,2887,32286,-2972,29314,'byte_10000'
'time_2',133516,85,29399,2887,32286,-2972,29314,-29314,0,'byte_10000'
'time_2',29399,32286,32286,-2972,29314,-29314,0,101639,101639,'byte_500'
'time_2',32286,-72325,29314,-29314,0,101639,101639,-37126,64513,'byte_10000'
