@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',539,29299,29299,67402,96701,-67202,29499,2623,32122,'byte_500'
'time_0',29299,64579,96701,-67202,29499,2623,32122,-30962,1160,'byte_10000'
'time_0',96701,28339,29499,2623,32122,-30962,1160,-997,163,'byte_500'
'time_0',29499,31959,32122,-30962,1160,-997,163,58769,58932,'byte_10000'
'time_0',32122,-57772,1160,-997,163,58769,58932,5901,64833,'byte_10000'
'time_0',1160,-64670,163,58769,58932,5901,64833,-35407,29426,'byte_10000'
'time_1',163,29506,58932,5901,64833,-35407,29426,-29338,88,'byte_500'
'time_1',58932,64745,64833,-35407,29426,-29338,88,29060,29148,'byte_10000'
'time_1',64833,278,29426,-29338,88,29060,29148,-29148,0,'byte_500'
'time_1',29426,88,88,29060,29148,-29148,0,57962,57962,'byte_500'
'time_1',88,-28814,29148,-29148,0,57962,57962,-29318,28644,'byte_500'
'time_1',29148,-28644,0,57962,57962,-29318,28644,15183,43827,'byte_500'
'time_2',0,14135,57962,-29318,28644,15183,43827,-43795,32,'byte_500'
'time_2',57962,28612,28644,15183,43827,-43795,32,58629,58661,'byte_10000'
'time_2',28644,-14834,43827,-43795,32,58629,58661,-58369,292,'byte_500'
'time_2',43827,-260,32,58629,58661,-58369,292,-179,113,'byte_500'
'time_2',32,58548,58661,-58369,292,-179,113,-113,0,'byte_500'
'time_2',58661,292,292,-179,113,-113,0,0,0,'byte_500'
'time_3',292,113,113,-113,0,0,0,0,0,'byte_10000'
'time_3',113,0,0,0,0,0,0,32224,32224,'byte_500'
'time_3',0,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_3',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_3',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_4',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_4',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',0,0,0,32224,32224,-32224,0,32224,32224,'byte_500'
'time_4',0,0,32224,-32224,0,32224,32224,-32224,0,'byte_500'
'time_4',32224,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_5',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_5',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_7',0,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_8',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_8',0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_8',32224,0,0,0,0,0,0,32224,32224,'byte_500'
'time_8',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_8',0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_9',0,32224,32224,-32224,0,0,0,32224,32224,'byte_500'
'time_9',32224,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_9',0,0,0,32224,32224,-32224,0,64462,64462,'byte_10000'
'time_9',0,-32238,32224,-32224,0,64462,64462,-64462,0,'byte_10000'
'time_9',32224,0,0,64462,64462,-64462,0,0,0,'byte_500'
'time_9',0,64462,64462,-64462,0,0,0,29295,29295,'byte_10000'
'time_10',64462,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_10',0,0,0,29295,29295,-29295,0,29295,29295,'byte_10000'
'time_10',0,0,29295,-29295,0,29295,29295,2961,32256,'byte_10000'
'time_10',29295,-32256,0,29295,29295,2961,32256,0,32256,'byte_500'
'time_10',0,-2961,29295,2961,32256,0,32256,-32256,0,'byte_10000'
'time_10',29295,32256,32256,0,32256,-32256,0,32224,32224,'byte_500'
'time_11',32256,32,32256,-32256,0,32224,32224,-32224,0,'byte_10000'
'time_11',32256,0,0,32224,32224,-32224,0,32224,32224,'byte_10000'
'time_11',0,0,32224,-32224,0,32224,32224,-2929,29295,'byte_10000'
'time_11',32224,-29295,0,32224,32224,-2929,29295,-29295,0,'byte_500'
'time_11',0,32224,32224,-2929,29295,-29295,0,58619,58619,'byte_10000'
'time_12',32224,-29324,29295,-29295,0,58619,58619,-58612,7,'byte_10000'
'time_12',29295,-7,0,58619,58619,-58612,7,31620,31627,'byte_1000'
'time_12',0,26992,58619,-58612,7,31620,31627,-1752,29875,'byte_10000'
'time_12',58619,-29868,7,31620,31627,-1752,29875,2358,32233,'byte_10000'
'time_12',7,-606,31627,-1752,29875,2358,32233,-32213,20,'byte_10000'
'time_12',31627,29855,29875,2358,32233,-32213,20,64734,64754,'byte_500'
