@relation dataset_p2p5_3_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1759,8060,8060,-4031,4029,6956,10985,-2925,8060,'byte_8500'
'time_0',8060,-4031,4029,6956,10985,-2925,8060,8060,16120,'byte_4500'
'time_0',4029,-5135,10985,-2925,8060,8060,16120,-8792,7328,'byte_10000'
'time_0',10985,732,8060,8060,16120,-8792,7328,-4562,2766,'byte_10000'
'time_0',8060,13354,16120,-8792,7328,-4562,2766,5295,8061,'byte_500'
'time_0',16120,-733,7328,-4562,2766,5295,8061,-734,7327,'byte_7500'
'time_1',7328,-4561,2766,5295,8061,-734,7327,799,8126,'byte_8500'
'time_1',2766,-65,8061,-734,7327,799,8126,-4098,4028,'byte_500'
'time_1',8061,3299,7327,799,8126,-4098,4028,10619,14647,'byte_4500'
'time_1',7327,-6521,8126,-4098,4028,10619,14647,-2564,12083,'byte_500'
'time_1',8126,-8055,4028,10619,14647,-2564,12083,-12083,0,'byte_4500'
'time_1',4028,14647,14647,-2564,12083,-12083,0,7326,7326,'byte_500'
'time_2',14647,4757,12083,-12083,0,7326,7326,730,8056,'byte_500'
'time_2',12083,-8056,0,7326,7326,730,8056,-8056,0,'byte_8500'
'time_2',0,7326,7326,730,8056,-8056,0,4027,4027,'byte_8500'
'time_2',7326,4029,8056,-8056,0,4027,4027,-4027,0,'byte_500'
'time_2',8056,0,0,4027,4027,-4027,0,4034,4034,'byte_500'
'time_2',0,-7,4027,-4027,0,4034,4034,-4034,0,'byte_4500'
'time_3',4027,0,0,4034,4034,-4034,0,0,0,'byte_4500'
'time_3',0,4034,4034,-4034,0,0,0,8058,8058,'byte_500'
'time_3',4034,-8058,0,0,0,8058,8058,-4,8054,'byte_4500'
'time_3',0,-8054,0,8058,8058,-4,8054,-8051,3,'byte_500'
'time_3',0,8055,8058,-4,8054,-8051,3,-1,2,'byte_500'
'time_3',8058,8052,8054,-8051,3,-1,2,4023,4025,'byte_500'
'time_4',8054,-4022,3,-1,2,4023,4025,3,4028,'byte_500'
'time_4',3,-4026,2,4023,4025,3,4028,-4027,1,'byte_500'
'time_4',2,4024,4025,3,4028,-4027,1,4027,4028,'byte_500'
'time_4',4025,0,4028,-4027,1,4027,4028,-4028,0,'byte_500'
