@relation dataset_p2p5_6_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',2782,10993,10993,-1441,9552,-2225,7327,6706,14033,'byte_4500'
'time_0',10993,-4481,9552,-2225,7327,6706,14033,-12233,1800,'byte_10000'
'time_0',9552,5527,7327,6706,14033,-12233,1800,18525,20325,'byte_7500'
'time_0',7327,-6292,14033,-12233,1800,18525,20325,-13002,7323,'byte_4500'
'time_0',14033,-5523,1800,18525,20325,-13002,7323,-3294,4029,'byte_4000'
'time_0',1800,16296,20325,-13002,7323,-3294,4029,-4029,0,'byte_500'
'time_1',20325,7323,7323,-3294,4029,-4029,0,4027,4027,'byte_8500'
'time_1',7323,2,4029,-4029,0,4027,4027,8055,12082,'byte_4000'
'time_1',4029,-12082,0,4027,4027,8055,12082,-4769,7313,'byte_500'
'time_1',0,-3286,4027,8055,12082,-4769,7313,-3286,4027,'byte_4500'
'time_1',4027,8055,12082,-4769,7313,-3286,4027,-366,3661,'byte_500'
'time_1',12082,3652,7313,-3286,4027,-366,3661,-3661,0,'byte_4500'
'time_2',7313,4027,4027,-366,3661,-3661,0,8055,8055,'byte_4000'
'time_2',4027,-4394,3661,-3661,0,8055,8055,-4394,3661,'byte_500'
'time_2',3661,-3661,0,8055,8055,-4394,3661,-3659,2,'byte_500'
'time_2',0,8053,8055,-4394,3661,-3659,2,4026,4028,'byte_500'
'time_2',8055,-367,3661,-3659,2,4026,4028,-4028,0,'byte_500'
'time_2',3661,2,2,4026,4028,-4028,0,4028,4028,'byte_500'
'time_3',2,0,4028,-4028,0,4028,4028,-367,3661,'byte_4000'
'time_3',4028,-3661,0,4028,4028,-367,3661,-3661,0,'byte_500'
'time_3',0,4028,4028,-367,3661,-3661,0,0,0,'byte_500'
'time_3',4028,3661,3661,-3661,0,0,0,0,0,'byte_4500'
'time_3',3661,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,0,0,'byte_4000'
'time_4',0,0,0,0,0,0,0,3661,3661,'byte_500'
'time_4',0,-3661,0,0,0,3661,3661,-3661,0,'byte_4500'
'time_4',0,0,0,3661,3661,-3661,0,0,0,'byte_500'
'time_4',0,3661,3661,-3661,0,0,0,4027,4027,'byte_500'
'time_4',3661,-4027,0,0,0,4027,4027,-4027,0,'byte_500'
'time_5',0,0,0,4027,4027,-4027,0,3661,3661,'byte_500'
'time_5',0,366,4027,-4027,0,3661,3661,-3661,0,'byte_500'
'time_5',4027,0,0,3661,3661,-3661,0,4027,4027,'byte_500'
'time_5',0,-366,3661,-3661,0,4027,4027,-4027,0,'byte_4000'
'time_5',3661,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_5',0,4027,4027,-4027,0,0,0,0,0,'byte_4500'
'time_6',4027,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,3661,3661,'byte_10000'
'time_6',0,-3661,0,0,0,3661,3661,-3661,0,'byte_4500'
'time_6',0,0,0,3661,3661,-3661,0,4027,4027,'byte_500'
'time_7',0,-366,3661,-3661,0,4027,4027,-4027,0,'byte_500'
'time_7',3661,0,0,4027,4027,-4027,0,0,0,'byte_8500'
'time_7',0,4027,4027,-4027,0,0,0,0,0,'byte_500'
'time_7',4027,0,0,0,0,0,0,10988,10988,'byte_500'
'time_7',0,-10988,0,0,0,10988,10988,-6960,4028,'byte_500'
'time_7',0,-4028,0,10988,10988,-6960,4028,-4028,0,'byte_4500'
'time_8',0,10988,10988,-6960,4028,-4028,0,0,0,'byte_500'
'time_8',10988,4028,4028,-4028,0,0,0,8054,8054,'byte_500'
'time_8',4028,-8054,0,0,0,8054,8054,-8054,0,'byte_500'
'time_8',0,0,0,8054,8054,-8054,0,4,4,'byte_8000'
'time_8',0,8050,8054,-8054,0,4,4,-4,0,'byte_2500'
'time_9',8054,0,0,4,4,-4,0,4028,4028,'byte_5000'
'time_9',0,-4024,4,-4,0,4028,4028,-4028,0,'byte_3500'
'time_9',4,0,0,4028,4028,-4028,0,0,0,'byte_4000'
'time_9',0,4028,4028,-4028,0,0,0,4,4,'byte_4000'
'time_9',4028,-4,0,0,0,4,4,7934,7938,'byte_4500'
'time_9',0,-7938,0,4,4,7934,7938,-5890,2048,'byte_500'
'time_10',0,-2044,4,7934,7938,-5890,2048,2533,4581,'byte_10000'
'time_10',4,3357,7938,-5890,2048,2533,4581,-1107,3474,'byte_8500'
'time_10',7938,-1426,2048,2533,4581,-1107,3474,194,3668,'byte_7500'
'time_10',2048,913,4581,-1107,3474,194,3668,-5,3663,'byte_4000'
'time_10',4581,-189,3474,194,3668,-5,3663,363,4026,'byte_7500'
'time_10',3474,-358,3668,-5,3663,363,4026,-4024,2,'byte_3500'
'time_11',3668,3661,3663,363,4026,-4024,2,10983,10985,'byte_4500'
'time_11',3663,-6959,4026,-4024,2,10983,10985,-2930,8055,'byte_10000'
'time_11',4026,-8053,2,10983,10985,-2930,8055,-569,7486,'byte_4000'
'time_11',2,3499,10985,-2930,8055,-569,7486,-3580,3906,'byte_4500'
'time_11',10985,4149,8055,-569,7486,-3580,3906,3426,7332,'byte_4500'
'time_11',8055,154,7486,-3580,3906,3426,7332,-3873,3459,'byte_500'
'time_12',7486,447,3906,3426,7332,-3873,3459,714,4173,'byte_10000'
'time_12',3906,3159,7332,-3873,3459,714,4173,7910,12083,'byte_7500'
'time_12',7332,-8624,3459,714,4173,7910,12083,-8259,3824,'byte_500'
'time_12',3459,349,4173,7910,12083,-8259,3824,210,4034,'byte_4500'
'time_12',4173,8049,12083,-8259,3824,210,4034,-6,4028,'byte_10000'
'time_13',12083,-204,3824,210,4034,-6,4028,-4028,0,'byte_4500'
'time_13',3824,4034,4034,-6,4028,-4028,0,16113,16113,'byte_6500'
'time_13',4034,-12085,4028,-4028,0,16113,16113,-8786,7327,'byte_7500'
'time_13',4028,-7327,0,16113,16113,-8786,7327,-7327,0,'byte_8500'
'time_13',0,16113,16113,-8786,7327,-7327,0,4028,4028,'byte_500'
'time_13',16113,3299,7327,-7327,0,4028,4028,6956,10984,'byte_10000'
'time_14',7327,-10984,0,4028,4028,6956,10984,-6953,4031,'byte_500'
'time_14',0,-3,4028,6956,10984,-6953,4031,2282,6313,'byte_8500'
'time_14',4028,4671,10984,-6953,4031,2282,6313,1012,7325,'byte_4500'
'time_14',10984,-3294,4031,2282,6313,1012,7325,732,8057,'byte_4000'
'time_14',4031,-1744,6313,1012,7325,732,8057,-8057,0,'byte_8500'
'time_14',6313,7325,7325,732,8057,-8057,0,16112,16112,'byte_4000'
'time_15',7325,-8055,8057,-8057,0,16112,16112,-16111,1,'byte_8500'
'time_15',8057,-1,0,16112,16112,-16111,1,8055,8056,'byte_8500'
'time_15',0,8056,16112,-16111,1,8055,8056,-4024,4032,'byte_500'
'time_15',16112,-4031,1,8055,8056,-4024,4032,-373,3659,'byte_4500'
'time_15',1,4397,8056,-4024,4032,-373,3659,4397,8056,'byte_4500'
'time_15',8056,-4024,4032,-373,3659,4397,8056,-4395,3661,'byte_7500'
'time_16',4032,-2,3659,4397,8056,-4395,3661,4395,8056,'byte_500'
'time_16',3659,0,8056,-4395,3661,4395,8056,0,8056,'byte_7500'
'time_16',8056,-4395,3661,4395,8056,0,8056,-8056,0,'byte_500'
'time_16',3661,8056,8056,0,8056,-8056,0,4031,4031,'byte_500'
'time_16',8056,4025,8056,-8056,0,4031,4031,-6,4025,'byte_5000'
'time_17',8056,-4025,0,4031,4031,-6,4025,3299,7324,'byte_7500'
'time_17',0,-3293,4031,-6,4025,3299,7324,-7324,0,'byte_7500'
'time_17',4031,4025,4025,3299,7324,-7324,0,7323,7323,'byte_4500'
'time_17',4025,1,7324,-7324,0,7323,7323,-7322,1,'byte_500'
'time_17',7324,-1,0,7323,7323,-7322,1,0,1,'byte_8500'
'time_17',0,7322,7323,-7322,1,0,1,4700,4701,'byte_500'
'time_18',7323,-4700,1,0,1,4700,4701,2681,7382,'byte_10000'
'time_18',1,-7381,1,4700,4701,2681,7382,-55,7327,'byte_500'
'time_18',1,-2626,4701,2681,7382,-55,7327,-3299,4028,'byte_7500'
'time_18',4701,3354,7382,-55,7327,-3299,4028,-4022,6,'byte_3500'
'time_18',7382,7321,7327,-3299,4028,-4022,6,8055,8061,'byte_4500'
'time_18',7327,-4033,4028,-4022,6,8055,8061,-8061,0,'byte_7500'
'time_19',4028,6,6,8055,8061,-8061,0,12091,12091,'byte_1000'
'time_19',6,-4030,8061,-8061,0,12091,12091,-12049,42,'byte_500'
'time_19',8061,-42,0,12091,12091,-12049,42,7283,7325,'byte_6000'
'time_19',0,4766,12091,-12049,42,7283,7325,-3862,3463,'byte_2500'
'time_19',12091,-3421,42,7283,7325,-3862,3463,714,4177,'byte_4500'
'time_19',42,3148,7325,-3862,3463,714,4177,3087,7264,'byte_4000'
'time_20',7325,-3801,3463,714,4177,3087,7264,-6472,792,'byte_500'
'time_20',3463,3385,4177,3087,7264,-6472,792,-792,0,'byte_7500'
'time_20',4177,7264,7264,-6472,792,-792,0,5565,5565,'byte_8500'
'time_20',7264,-4773,792,-792,0,5565,5565,-3291,2274,'byte_10000'
'time_20',792,-2274,0,5565,5565,-3291,2274,1757,4031,'byte_5000'
'time_20',0,1534,5565,-3291,2274,1757,4031,-371,3660,'byte_4500'
'time_21',5565,-1386,2274,1757,4031,-371,3660,-3657,3,'byte_7500'
'time_21',2274,4028,4031,-371,3660,-3657,3,7321,7324,'byte_8500'
'time_21',4031,-3664,3660,-3657,3,7321,7324,735,8059,'byte_4500'
'time_21',3660,-8056,3,7321,7324,735,8059,6998,15057,'byte_7500'
'time_21',3,-7733,7324,735,8059,6998,15057,-10434,4623,'byte_10000'
