@relation dataset_p2p5_13_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',3662,20306,20306,-14100,6206,-943,5263,2797,8060,'byte_6000'
'time_0',20306,-1854,6206,-943,5263,2797,8060,-4403,3657,'byte_4500'
'time_0',6206,1606,5263,2797,8060,-4403,3657,4402,8059,'byte_4000'
'time_0',5263,1,8060,-4403,3657,4402,8059,2476,10535,'byte_4500'
'time_0',8060,-6878,3657,4402,8059,2476,10535,-2485,8050,'byte_4500'
'time_0',3657,9,8059,2476,10535,-2485,8050,-4022,4028,'byte_4000'
'time_1',8059,6507,10535,-2485,8050,-4022,4028,-4027,1,'byte_500'
'time_1',10535,8049,8050,-4022,4028,-4027,1,998,999,'byte_4000'
'time_1',8050,3029,4028,-4027,1,998,999,6061,7060,'byte_500'
'time_1',4028,-7059,1,998,999,6061,7060,-7060,0,'byte_4500'
'time_1',1,999,999,6061,7060,-7060,0,5750,5750,'byte_4000'
'time_1',999,1310,7060,-7060,0,5750,5750,83,5833,'byte_500'
'time_2',7060,-5833,0,5750,5750,83,5833,-1806,4027,'byte_500'
'time_2',0,1723,5750,83,5833,-1806,4027,-365,3662,'byte_500'
'time_2',5750,2171,5833,-1806,4027,-365,3662,414,4076,'byte_8500'
'time_2',5833,-49,4027,-365,3662,414,4076,-47,4029,'byte_500'
'time_2',4027,-367,3662,414,4076,-47,4029,-369,3660,'byte_500'
'time_2',3662,416,4076,-47,4029,-369,3660,-3660,0,'byte_500'
'time_3',4076,4029,4029,-369,3660,-3660,0,3661,3661,'byte_4500'
'time_3',4029,-1,3660,-3660,0,3661,3661,-3658,3,'byte_500'
'time_3',3660,-3,0,3661,3661,-3658,3,4024,4027,'byte_500'
'time_3',0,-366,3661,-3658,3,4024,4027,-366,3661,'byte_500'
'time_3',3661,-3658,3,4024,4027,-366,3661,-3661,0,'byte_500'
'time_4',3,4027,4027,-366,3661,-3661,0,2,2,'byte_500'
'time_4',4027,3659,3661,-3661,0,2,2,-2,0,'byte_500'
'time_4',3661,0,0,2,2,-2,0,8054,8054,'byte_500'
'time_4',0,-8052,2,-2,0,8054,8054,-8054,0,'byte_500'
'time_4',2,0,0,8054,8054,-8054,0,0,0,'byte_500'
'time_4',0,8054,8054,-8054,0,0,0,0,0,'byte_500'
'time_5',8054,0,0,0,0,0,0,4027,4027,'byte_500'
'time_5',0,-4027,0,0,0,4027,4027,-4027,0,'byte_4000'
'time_5',0,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_5',0,4027,4027,-4027,0,0,0,0,0,'byte_4500'
'time_5',4027,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_4000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_7500'
'time_7',0,0,0,0,0,0,0,3662,3662,'byte_4500'
'time_7',0,-3662,0,0,0,3662,3662,-3662,0,'byte_10000'
'time_7',0,0,0,3662,3662,-3662,0,4027,4027,'byte_4500'
'time_7',0,-365,3662,-3662,0,4027,4027,-4026,1,'byte_7500'
'time_7',3662,-1,0,4027,4027,-4026,1,4025,4026,'byte_8500'
'time_7',0,1,4027,-4026,1,4025,4026,-4026,0,'byte_4000'
'time_8',4027,1,1,4025,4026,-4026,0,4027,4027,'byte_8500'
'time_8',1,-1,4026,-4026,0,4027,4027,-4027,0,'byte_4000'
'time_8',4026,0,0,4027,4027,-4027,0,3663,3663,'byte_4500'
'time_8',0,364,4027,-4027,0,3663,3663,-3663,0,'byte_500'
'time_8',4027,0,0,3663,3663,-3663,0,7323,7323,'byte_8500'
'time_9',0,-3660,3663,-3663,0,7323,7323,-3005,4318,'byte_4000'
'time_9',3663,-4318,0,7323,7323,-3005,4318,6403,10721,'byte_10000'
'time_9',0,-3398,7323,-3005,4318,6403,10721,-6694,4027,'byte_7500'
'time_9',7323,291,4318,6403,10721,-6694,4027,3304,7331,'byte_500'
'time_9',4318,3390,10721,-6694,4027,3304,7331,726,8057,'byte_8500'
'time_9',10721,-4030,4027,3304,7331,726,8057,-4395,3662,'byte_10000'
'time_10',4027,3669,7331,726,8057,-4395,3662,4392,8054,'byte_4500'
'time_10',7331,3,8057,-4395,3662,4392,8054,-4392,3662,'byte_3500'
'time_10',8057,0,3662,4392,8054,-4392,3662,365,4027,'byte_8500'
'time_10',3662,4027,8054,-4392,3662,365,4027,-4025,2,'byte_8500'
'time_10',8054,3660,3662,365,4027,-4025,2,8052,8054,'byte_4000'
'time_10',3662,-4027,4027,-4025,2,8052,8054,-4393,3661,'byte_8500'
'time_11',4027,-3659,2,8052,8054,-4393,3661,8424,12085,'byte_500'
'time_11',2,-4031,8054,-4393,3661,8424,12085,-4761,7324,'byte_10000'
'time_11',8054,-3663,3661,8424,12085,-4761,7324,-7317,7,'byte_500'
'time_11',3661,12078,12085,-4761,7324,-7317,7,8054,8061,'byte_10000'
'time_11',12085,-737,7324,-7317,7,8054,8061,2928,10989,'byte_10000'
'time_11',7324,-10982,7,8054,8061,2928,10989,-6962,4027,'byte_8500'
'time_12',7,4034,8061,2928,10989,-6962,4027,-670,3357,'byte_5000'
'time_12',8061,7632,10989,-6962,4027,-670,3357,4701,8058,'byte_9500'
'time_12',10989,-4031,4027,-670,3357,4701,8058,-3,8055,'byte_10000'
'time_12',4027,-4698,3357,4701,8058,-3,8055,-4392,3663,'byte_7500'
'time_12',3357,4395,8058,-3,8055,-4392,3663,4398,8061,'byte_10000'
'time_13',8058,-6,8055,-4392,3663,4398,8061,-8061,0,'byte_10000'
'time_13',8055,3663,3663,4398,8061,-8061,0,24165,24165,'byte_10000'
'time_13',3663,-16104,8061,-8061,0,24165,24165,-24165,0,'byte_8500'
'time_13',8061,0,0,24165,24165,-24165,0,28200,28200,'byte_4000'
'time_13',0,-4035,24165,-24165,0,28200,28200,-12086,16114,'byte_500'
'time_13',24165,-16114,0,28200,28200,-12086,16114,-7943,8171,'byte_10000'
'time_14',0,20029,28200,-12086,16114,-7943,8171,-3203,4968,'byte_8500'
'time_14',28200,11146,16114,-7943,8171,-3203,4968,4316,9284,'byte_4000'
'time_14',16114,-1113,8171,-3203,4968,4316,9284,2806,12090,'byte_4000'
'time_14',8171,-7122,4968,4316,9284,2806,12090,-4773,7317,'byte_10000'
'time_14',4968,1967,9284,2806,12090,-4773,7317,4767,12084,'byte_10000'
'time_14',9284,6,12090,-4773,7317,4767,12084,-1088,10996,'byte_10000'
'time_15',12090,-3679,7317,4767,12084,-1088,10996,7316,18312,'byte_10000'
'time_15',7317,-6228,12084,-1088,10996,7316,18312,-10257,8055,'byte_4500'
'time_15',12084,2941,10996,7316,18312,-10257,8055,-4392,3663,'byte_500'
'time_15',10996,14649,18312,-10257,8055,-4392,3663,-3655,8,'byte_500'
'time_15',18312,8047,8055,-4392,3663,-3655,8,10977,10985,'byte_4000'
'time_16',8055,-7322,3663,-3655,8,10977,10985,-2926,8059,'byte_9000'
'time_16',3663,-8051,8,10977,10985,-2926,8059,-4126,3933,'byte_6500'
'time_16',8,7052,10985,-2926,8059,-4126,3933,-271,3662,'byte_500'
'time_16',10985,4397,8059,-4126,3933,-271,3662,8422,12084,'byte_4000'
'time_16',8059,-8151,3933,-271,3662,8422,12084,-1098,10986,'byte_10000'
'time_16',3933,-7324,3662,8422,12084,-1098,10986,14116,25102,'byte_10000'
'time_17',3662,-13018,12084,-1098,10986,14116,25102,-14116,10986,'byte_8500'
'time_17',12084,0,10986,14116,25102,-14116,10986,-6958,4028,'byte_7500'
'time_17',10986,21074,25102,-14116,10986,-6958,4028,-4027,1,'byte_8500'
'time_17',25102,10985,10986,-6958,4028,-4027,1,0,1,'byte_4500'
'time_17',10986,4027,4028,-4027,1,0,1,3662,3663,'byte_10000'
'time_17',4028,-3662,1,0,1,3662,3663,5318,8981,'byte_500'
'time_18',1,-8980,1,3662,3663,5318,8981,-2498,6483,'byte_4500'
'time_18',1,-2820,3663,5318,8981,-2498,6483,-6483,0,'byte_500'
'time_18',3663,8981,8981,-2498,6483,-6483,0,3661,3661,'byte_8500'
'time_18',8981,2822,6483,-6483,0,3661,3661,8424,12085,'byte_5000'
'time_18',6483,-12085,0,3661,3661,8424,12085,-1091,10994,'byte_4500'
'time_18',0,-7333,3661,8424,12085,-1091,10994,-2936,8058,'byte_500'
'time_19',3661,4027,12085,-1091,10994,-2936,8058,-733,7325,'byte_500'
'time_19',12085,3669,10994,-2936,8058,-733,7325,731,8056,'byte_7500'
'time_19',10994,2,8058,-733,7325,731,8056,-3853,4203,'byte_9000'
'time_19',8058,3122,7325,731,8056,-3853,4203,5913,10116,'byte_10000'
'time_19',7325,-2060,8056,-3853,4203,5913,10116,-10115,1,'byte_4000'
'time_20',8056,4202,4203,5913,10116,-10115,1,4033,4034,'byte_10000'
