@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7481,0,0,21980,21980,-9898,12082,-8416,3666,'byte_500'
'time_0',0,18314,21980,-9898,12082,-8416,3666,8422,12088,'byte_500'
'time_0',21980,-6,12082,-8416,3666,8422,12088,-12088,0,'byte_10000'
'time_0',12082,3666,3666,8422,12088,-12088,0,16120,16120,'byte_3500'
'time_0',3666,-4032,12088,-12088,0,16120,16120,-12459,3661,'byte_4500'
'time_0',12088,-3661,0,16120,16120,-12459,3661,-3661,0,'byte_8500'
'time_1',0,16120,16120,-12459,3661,-3661,0,1285,1285,'byte_7500'
'time_1',16120,2376,3661,-3661,0,1285,1285,-1285,0,'byte_4500'
'time_1',3661,0,0,1285,1285,-1285,0,4028,4028,'byte_500'
'time_1',0,-2743,1285,-1285,0,4028,4028,-4027,1,'byte_500'
'time_1',1285,-1,0,4028,4028,-4027,1,4026,4027,'byte_4500'
'time_1',0,1,4028,-4027,1,4026,4027,-4027,0,'byte_500'
'time_2',4028,1,1,4026,4027,-4027,0,0,0,'byte_4500'
'time_2',1,4027,4027,-4027,0,0,0,12302,12302,'byte_500'
'time_2',4027,-12302,0,0,0,12302,12302,-8840,3462,'byte_4000'
'time_2',0,-3462,0,12302,12302,-8840,3462,568,4030,'byte_500'
'time_2',0,8272,12302,-8840,3462,568,4030,4024,8054,'byte_4000'
'time_2',12302,-4592,3462,568,4030,4024,8054,-731,7323,'byte_500'
'time_3',3462,-3293,4030,4024,8054,-731,7323,-3296,4027,'byte_500'
'time_3',4030,4027,8054,-731,7323,-3296,4027,-4027,0,'byte_500'
'time_3',8054,7323,7323,-3296,4027,-4027,0,0,0,'byte_500'
'time_3',7323,4027,4027,-4027,0,0,0,4027,4027,'byte_500'
'time_3',4027,-4027,0,0,0,4027,4027,-4026,1,'byte_500'
'time_4',0,-1,0,4027,4027,-4026,1,4026,4027,'byte_500'
'time_4',0,0,4027,-4026,1,4026,4027,-4027,0,'byte_500'
'time_4',4027,1,1,4026,4027,-4027,0,3663,3663,'byte_500'
'time_4',1,364,4027,-4027,0,3663,3663,-3663,0,'byte_500'
'time_4',4027,0,0,3663,3663,-3663,0,3662,3662,'byte_500'
'time_4',0,1,3663,-3663,0,3662,3662,-3662,0,'byte_500'
'time_5',3663,0,0,3662,3662,-3662,0,0,0,'byte_4500'
'time_5',0,3662,3662,-3662,0,0,0,0,0,'byte_500'
'time_5',3662,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_8500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_5500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,4028,4028,'byte_4500'
'time_7',0,-4028,0,0,0,4028,4028,-4028,0,'byte_7500'
'time_7',0,0,0,4028,4028,-4028,0,0,0,'byte_4500'
'time_7',0,4028,4028,-4028,0,0,0,4,4,'byte_8500'
'time_7',4028,-4,0,0,0,4,4,-4,0,'byte_500'
'time_7',0,0,0,4,4,-4,0,0,0,'byte_4500'
'time_7',0,4,4,-4,0,0,0,8054,8054,'byte_7500'
'time_8',4,-8054,0,0,0,8054,8054,-2754,5300,'byte_8500'
'time_8',0,-5300,0,8054,8054,-2754,5300,-5300,0,'byte_500'
'time_8',0,8054,8054,-2754,5300,-5300,0,4028,4028,'byte_4000'
'time_8',8054,1272,5300,-5300,0,4028,4028,-4028,0,'byte_10000'
'time_8',5300,0,0,4028,4028,-4028,0,4028,4028,'byte_9000'
'time_9',0,0,4028,-4028,0,4028,4028,3297,7325,'byte_2500'
'time_9',4028,-7325,0,4028,4028,3297,7325,-3298,4027,'byte_4000'
'time_9',0,1,4028,3297,7325,-3298,4027,4032,8059,'byte_4000'
'time_9',4028,-734,7325,-3298,4027,4032,8059,-8059,0,'byte_500'
'time_9',7325,4027,4027,4032,8059,-8059,0,4034,4034,'byte_7500'
'time_9',4027,4025,8059,-8059,0,4034,4034,3288,7322,'byte_6000'
'time_10',8059,-7322,0,4034,4034,3288,7322,733,8055,'byte_6000'
'time_10',0,-4021,4034,3288,7322,733,8055,-8054,1,'byte_4500'
'time_10',4034,7321,7322,733,8055,-8054,1,3660,3661,'byte_10000'
'time_10',7322,4394,8055,-8054,1,3660,3661,12450,16111,'byte_10000'
'time_10',8055,-16110,1,3660,3661,12450,16111,-7177,8934,'byte_10000'
'time_10',1,-5273,3661,12450,16111,-7177,8934,-6680,2254,'byte_7500'
'time_11',3661,13857,16111,-7177,8934,-6680,2254,1407,3661,'byte_10000'
'time_11',16111,5273,8934,-6680,2254,1407,3661,262,3923,'byte_10000'
'time_11',8934,-1669,2254,1407,3661,262,3923,-3817,106,'byte_8500'
'time_11',2254,3555,3661,262,3923,-3817,106,7216,7322,'byte_500'
'time_11',3661,-3399,3923,-3817,106,7216,7322,-1568,5754,'byte_7500'
'time_11',3923,-5648,106,7216,7322,-1568,5754,1,5755,'byte_4500'
'time_12',106,1567,7322,-1568,5754,1,5755,-1727,4028,'byte_4000'
'time_12',7322,1726,5754,1,5755,-1727,4028,8054,12082,'byte_10000'
'time_12',5754,-6327,5755,-1727,4028,8054,12082,-1096,10986,'byte_10000'
'time_12',5755,-6958,4028,8054,12082,-1096,10986,1097,12083,'byte_4000'
'time_12',4028,-1,12082,-1096,10986,1097,12083,-4757,7326,'byte_10000'
'time_13',12082,3660,10986,1097,12083,-4757,7326,4757,12083,'byte_7500'
'time_13',10986,0,12083,-4757,7326,4757,12083,-1099,10984,'byte_500'
'time_13',12083,-3658,7326,4757,12083,-1099,10984,-2931,8053,'byte_10000'
'time_13',7326,4030,12083,-1099,10984,-2931,8053,-8053,0,'byte_10000'
'time_13',12083,10984,10984,-2931,8053,-8053,0,7324,7324,'byte_10000'
