@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',3662,0,0,14653,14653,-10633,4020,3308,7328,'byte_4500'
'time_0',0,7325,14653,-10633,4020,3308,7328,-3304,4024,'byte_500'
'time_0',14653,-4,4020,3308,7328,-3304,4024,-1410,2614,'byte_8500'
'time_0',4020,4714,7328,-3304,4024,-1410,2614,5539,8153,'byte_4000'
'time_0',7328,-4129,4024,-1410,2614,5539,8153,-1047,7106,'byte_500'
'time_0',4024,-4492,2614,5539,8153,-1047,7106,-3079,4027,'byte_500'
'time_1',2614,4126,8153,-1047,7106,-3079,4027,4074,8101,'byte_4000'
'time_1',8153,-995,7106,-3079,4027,4074,8101,-4478,3623,'byte_500'
'time_1',7106,404,4027,4074,8101,-4478,3623,405,4028,'byte_4500'
'time_1',4027,4073,8101,-4478,3623,405,4028,3302,7330,'byte_500'
'time_1',8101,-3707,3623,405,4028,3302,7330,-7330,0,'byte_500'
'time_1',3623,4028,4028,3302,7330,-7330,0,10985,10985,'byte_500'
'time_2',4028,-3655,7330,-7330,0,10985,10985,-10985,0,'byte_1000'
'time_2',7330,0,0,10985,10985,-10985,0,8056,8056,'byte_500'
'time_2',0,2929,10985,-10985,0,8056,8056,-4396,3660,'byte_500'
'time_2',10985,-3660,0,8056,8056,-4396,3660,416,4076,'byte_500'
'time_2',0,3980,8056,-4396,3660,416,4076,-45,4031,'byte_500'
'time_2',8056,-371,3660,416,4076,-45,4031,-4031,0,'byte_500'
'time_3',3660,4076,4076,-45,4031,-4031,0,8058,8058,'byte_4500'
'time_3',4076,-4027,4031,-4031,0,8058,8058,-4395,3663,'byte_500'
'time_3',4031,-3663,0,8058,8058,-4395,3663,-3663,0,'byte_500'
'time_3',0,8058,8058,-4395,3663,-3663,0,0,0,'byte_500'
'time_3',8058,3663,3663,-3663,0,0,0,3662,3662,'byte_500'
'time_4',3663,-3662,0,0,0,3662,3662,-3662,0,'byte_7500'
'time_4',0,0,0,3662,3662,-3662,0,4027,4027,'byte_4500'
'time_4',0,-365,3662,-3662,0,4027,4027,-4027,0,'byte_500'
'time_4',3662,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_4',0,4027,4027,-4027,0,0,0,0,0,'byte_500'
'time_4',4027,0,0,0,0,0,0,548,548,'byte_500'
'time_5',0,-548,0,0,0,548,548,-548,0,'byte_4500'
'time_5',0,0,0,548,548,-548,0,0,0,'byte_4500'
'time_5',0,548,548,-548,0,0,0,0,0,'byte_4000'
'time_5',548,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,4028,4028,'byte_4000'
'time_6',0,-4028,0,0,0,4028,4028,-4028,0,'byte_500'
'time_6',0,0,0,4028,4028,-4028,0,0,0,'byte_500'
'time_6',0,4028,4028,-4028,0,0,0,0,0,'byte_4500'
'time_6',4028,0,0,0,0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,0,0,7322,7322,'byte_500'
'time_6',0,-7322,0,0,0,7322,7322,-3292,4030,'byte_4500'
'time_7',0,-4030,0,7322,7322,-3292,4030,-4030,0,'byte_4000'
'time_7',0,7322,7322,-3292,4030,-4030,0,0,0,'byte_4500'
'time_7',7322,4030,4030,-4030,0,0,0,0,0,'byte_8500'
'time_7',4030,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,4028,4028,'byte_4500'
'time_7',0,-4028,0,0,0,4028,4028,-1,4027,'byte_4000'
'time_8',0,-4027,0,4028,4028,-1,4027,-366,3661,'byte_4500'
'time_8',0,367,4028,-1,4027,-366,3661,-3661,0,'byte_7500'
'time_8',4028,4027,4027,-366,3661,-3661,0,0,0,'byte_4500'
'time_8',4027,3661,3661,-3661,0,0,0,3663,3663,'byte_500'
'time_8',3661,-3663,0,0,0,3663,3663,-3663,0,'byte_7500'
'time_9',0,0,0,3663,3663,-3663,0,1,1,'byte_10000'
'time_9',0,3662,3663,-3663,0,1,1,4026,4027,'byte_10000'
'time_9',3663,-4027,0,1,1,4026,4027,2,4029,'byte_8500'
'time_9',0,-4028,1,4026,4027,2,4029,-4025,4,'byte_4500'
'time_9',1,4023,4027,2,4029,-4025,4,4023,4027,'byte_10000'
'time_9',4027,2,4029,-4025,4,4023,4027,-366,3661,'byte_10000'
'time_10',4029,-3657,4,4023,4027,-366,3661,414,4075,'byte_4000'
'time_10',4,-48,4027,-366,3661,414,4075,3980,8055,'byte_8500'
'time_10',4027,-4394,3661,414,4075,3980,8055,-8055,0,'byte_7500'
'time_10',3661,4075,4075,3980,8055,-8055,0,4028,4028,'byte_8500'
'time_10',4075,4027,8055,-8055,0,4028,4028,-364,3664,'byte_10000'
'time_10',8055,-3664,0,4028,4028,-364,3664,363,4027,'byte_500'
'time_11',0,1,4028,-364,3664,363,4027,3298,7325,'byte_8500'
'time_11',4028,-3661,3664,363,4027,3298,7325,-3295,4030,'byte_4000'
'time_11',3664,-3,4027,3298,7325,-3295,4030,-4028,2,'byte_10000'
'time_11',4027,7323,7325,-3295,4030,-4028,2,7322,7324,'byte_500'
'time_11',7325,-3294,4030,-4028,2,7322,7324,4765,12089,'byte_500'
'time_11',4030,-12087,2,7322,7324,4765,12089,2564,14653,'byte_500'
'time_12',2,-7329,7324,4765,12089,2564,14653,-6595,8058,'byte_10000'
'time_12',7324,4031,12089,2564,14653,-6595,8058,-4026,4032,'byte_4000'
'time_12',12089,10621,14653,-6595,8058,-4026,4032,6949,10981,'byte_4500'
'time_12',14653,-2923,8058,-4026,4032,6949,10981,1101,12082,'byte_10000'
'time_12',8058,-8050,4032,6949,10981,1101,12082,-8416,3666,'byte_4500'
'time_13',4032,7315,10981,1101,12082,-8416,3666,4384,8050,'byte_4000'
'time_13',10981,4032,12082,-8416,3666,4384,8050,-723,7327,'byte_4500'
'time_13',12082,-3661,3666,4384,8050,-723,7327,726,8053,'byte_8500'
'time_13',3666,-3,8050,-723,7327,726,8053,6853,14906,'byte_4000'
'time_13',8050,-7579,7327,726,8053,6853,14906,-14902,4,'byte_10000'
'time_13',7327,8049,8053,6853,14906,-14902,4,8055,8059,'byte_500'
'time_14',8053,6847,14906,-14902,4,8055,8059,-4396,3663,'byte_10000'
'time_14',14906,-3659,4,8055,8059,-4396,3663,8417,12080,'byte_8500'
'time_14',4,-4021,8059,-4396,3663,8417,12080,-12076,4,'byte_7500'
'time_14',8059,3659,3663,8417,12080,-12076,4,-2,2,'byte_4500'
'time_14',3663,12078,12080,-12076,4,-2,2,-2,0,'byte_500'
'time_14',12080,4,4,-2,2,-2,0,18308,18308,'byte_10000'
'time_15',4,-18306,2,-2,0,18308,18308,-14772,3536,'byte_8500'
'time_15',2,-3536,0,18308,18308,-14772,3536,494,4030,'byte_500'
'time_15',0,14278,18308,-14772,3536,494,4030,6953,10983,'byte_8000'
'time_15',18308,-7447,3536,494,4030,6953,10983,-6955,4028,'byte_4500'
'time_15',3536,2,4030,6953,10983,-6955,4028,-367,3661,'byte_500'
'time_15',4030,7322,10983,-6955,4028,-367,3661,371,4032,'byte_8500'
'time_16',10983,-4,4028,-367,3661,371,4032,4024,8056,'byte_500'
'time_16',4028,-4395,3661,371,4032,4024,8056,-4393,3663,'byte_4000'
'time_16',3661,369,4032,4024,8056,-4393,3663,8419,12082,'byte_500'
'time_16',4032,-4026,8056,-4393,3663,8419,12082,-12078,4,'byte_4500'
'time_16',8056,3659,3663,8419,12082,-12078,4,16112,16116,'byte_4500'
'time_16',3663,-4034,12082,-12078,4,16112,16116,-8060,8056,'byte_4000'
'time_17',12082,-8052,4,16112,16116,-8060,8056,-733,7323,'byte_500'
'time_17',4,8793,16116,-8060,8056,-733,7323,-3292,4031,'byte_7500'
'time_17',16116,4025,8056,-733,7323,-3292,4031,-4031,0,'byte_8500'
'time_17',8056,7323,7323,-3292,4031,-4031,0,12083,12083,'byte_8500'
