@relation dataset_day_23_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',131,64492,64492,-64446,46,32339,32385,-31825,560,'byte_10000'
'time_0',64492,-514,46,32339,32385,-31825,560,-498,62,'byte_500'
'time_0',46,32323,32385,-31825,560,-498,62,29375,29437,'byte_500'
'time_0',32385,-28877,560,-498,62,29375,29437,-29031,406,'byte_500'
'time_0',560,-344,62,29375,29437,-29031,406,53602,54008,'byte_10000'
'time_0',62,-24571,29437,-29031,406,53602,54008,-21675,32333,'byte_10000'
'time_1',29437,-31927,406,53602,54008,-21675,32333,-32297,36,'byte_10000'
'time_1',406,53972,54008,-21675,32333,-32297,36,32400,32436,'byte_500'
'time_1',54008,-103,32333,-32297,36,32400,32436,-27047,5389,'byte_500'
'time_1',32333,-5353,36,32400,32436,-27047,5389,18914,24303,'byte_500'
'time_1',36,8133,32436,-27047,5389,18914,24303,7611,31914,'byte_500'
'time_1',32436,-26525,5389,18914,24303,7611,31914,-31906,8,'byte_500'
'time_2',5389,24295,24303,7611,31914,-31906,8,29500,29508,'byte_500'
'time_2',24303,2406,31914,-31906,8,29500,29508,-29500,8,'byte_500'
'time_2',31914,0,8,29500,29508,-29500,8,205,213,'byte_500'
'time_2',8,29295,29508,-29500,8,205,213,-60,153,'byte_500'
'time_2',29508,-145,8,205,213,-60,153,116887,117040,'byte_500'
'time_2',8,-116827,213,-60,153,116887,117040,-117040,0,'byte_10000'
'time_3',213,153,153,116887,117040,-117040,0,35,35,'byte_500'
'time_3',153,117005,117040,-117040,0,35,35,-16,19,'byte_500'
'time_3',117040,-19,0,35,35,-16,19,65060,65079,'byte_500'
'time_3',0,-65044,35,-16,19,65060,65079,-35725,29354,'byte_10000'
'time_3',35,-29335,19,65060,65079,-35725,29354,2805,32159,'byte_500'
'time_4',19,32920,65079,-35725,29354,2805,32159,-32159,0,'byte_10000'
'time_4',65079,29354,29354,2805,32159,-32159,0,0,0,'byte_500'
'time_4',29354,32159,32159,-32159,0,0,0,0,0,'byte_10000'
'time_4',32159,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,32256,32256,'byte_500'
'time_5',0,-32256,0,0,0,32256,32256,-32256,0,'byte_10000'
'time_6',0,0,0,32256,32256,-32256,0,0,0,'byte_10000'
'time_6',0,32256,32256,-32256,0,0,0,0,0,'byte_10000'
'time_6',32256,0,0,0,0,0,0,29295,29295,'byte_10000'
'time_6',0,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_6',0,0,0,29295,29295,-29295,0,31480,31480,'byte_10000'
'time_6',0,-2185,29295,-29295,0,31480,31480,-31480,0,'byte_500'
'time_7',29295,0,0,31480,31480,-31480,0,32224,32224,'byte_10000'
'time_7',0,-744,31480,-31480,0,32224,32224,-32224,0,'byte_500'
'time_7',31480,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_7',0,32224,32224,-32224,0,0,0,32,32,'byte_10000'
'time_7',32224,-32,0,0,0,32,32,-32,0,'byte_500'
'time_8',0,0,0,32,32,-32,0,32224,32224,'byte_500'
'time_8',0,-32192,32,-32,0,32224,32224,-32224,0,'byte_10000'
'time_8',32,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_8',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_8',32224,0,0,0,0,0,0,58590,58590,'byte_10000'
'time_8',0,-58590,0,0,0,58590,58590,-26366,32224,'byte_500'
'time_9',0,-32224,0,58590,58590,-26366,32224,1417,33641,'byte_10000'
'time_9',0,24949,58590,-26366,32224,1417,33641,24451,58092,'byte_500'
'time_9',58590,-25868,32224,1417,33641,24451,58092,-58078,14,'byte_10000'
'time_9',32224,33627,33641,24451,58092,-58078,14,29268,29282,'byte_500'
'time_9',33641,28810,58092,-58078,14,29268,29282,-29282,0,'byte_10000'
'time_9',58092,14,14,29268,29282,-29282,0,32224,32224,'byte_500'
'time_10',14,-2942,29282,-29282,0,32224,32224,-32224,0,'byte_500'
'time_10',29282,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_10',0,32224,32224,-32224,0,0,0,29295,29295,'byte_9500'
'time_10',32224,-29295,0,0,0,29295,29295,-29295,0,'byte_10000'
'time_10',0,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_10',0,29295,29295,-29295,0,0,0,32224,32224,'byte_500'
'time_11',29295,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_11',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_11',0,32224,32224,-32224,0,0,0,32224,32224,'byte_500'
'time_11',32224,-32224,0,0,0,32224,32224,-32224,0,'byte_1000'
'time_11',0,0,0,32224,32224,-32224,0,64449,64449,'byte_500'
'time_11',0,-32225,32224,-32224,0,64449,64449,-64414,35,'byte_500'
'time_12',32224,-35,0,64449,64449,-64414,35,32246,32281,'byte_500'
'time_12',0,32168,64449,-64414,35,32246,32281,-32109,172,'byte_500'
'time_12',64449,-137,35,32246,32281,-32109,172,31881,32053,'byte_500'
'time_12',35,228,32281,-32109,172,31881,32053,-31939,114,'byte_1000'
'time_12',32281,58,172,31881,32053,-31939,114,-26,88,'byte_500'
'time_13',172,31965,32053,-31939,114,-26,88,64434,64522,'byte_500'
'time_13',32053,-64408,114,-26,88,64434,64522,-55287,9235,'byte_500'
'time_13',114,-9147,88,64434,64522,-55287,9235,33271,42506,'byte_500'
'time_13',88,22016,64522,-55287,9235,33271,42506,-13061,29445,'byte_500'
'time_13',64522,-20210,9235,33271,42506,-13061,29445,-29360,85,'byte_500'
'time_13',9235,42421,42506,-13061,29445,-29360,85,29379,29464,'byte_1000'
'time_14',42506,-19,29445,-29360,85,29379,29464,-29080,384,'byte_500'
'time_14',29445,-299,85,29379,29464,-29080,384,-88,296,'byte_500'
'time_14',85,29168,29464,-29080,384,-88,296,329,625,'byte_1000'
'time_14',29464,-241,384,-88,296,329,625,-182,443,'byte_500'
'time_14',384,-147,296,329,625,-182,443,-113,330,'byte_1000'
'time_14',296,295,625,-182,443,-113,330,-288,42,'byte_500'
'time_15',625,401,443,-113,330,-288,42,73,115,'byte_1000'
'time_15',443,215,330,-288,42,73,115,278,393,'byte_1000'
'time_15',330,-351,42,73,115,278,393,137,530,'byte_500'
'time_15',42,-415,115,278,393,137,530,-65,465,'byte_1000'
'time_15',115,-72,393,137,530,-65,465,-319,146,'byte_1000'
'time_16',393,384,530,-65,465,-319,146,-4,142,'byte_500'
'time_16',530,323,465,-319,146,-4,142,99,241,'byte_500'
'time_16',465,-95,146,-4,142,99,241,-117,124,'byte_1000'
'time_16',146,18,142,99,241,-117,124,200,324,'byte_1000'
'time_16',142,-83,241,-117,124,200,324,278,602,'byte_1000'
'time_16',241,-478,124,200,324,278,602,-392,210,'byte_500'
'time_17',124,114,324,278,602,-392,210,5,215,'byte_1000'
'time_17',324,387,602,-392,210,5,215,612,827,'byte_500'
'time_17',602,-617,210,5,215,612,827,-822,5,'byte_500'
'time_17',210,210,215,612,827,-822,5,694,699,'byte_1000'
'time_17',215,128,827,-822,5,694,699,-590,109,'byte_1000'
'time_17',827,-104,5,694,699,-590,109,566,675,'byte_500'
'time_18',5,24,699,-590,109,566,675,-160,515,'byte_500'
'time_18',699,-406,109,566,675,-160,515,-499,16,'byte_1000'
'time_18',109,659,675,-160,515,-499,16,689,705,'byte_2000'
'time_18',675,-190,515,-499,16,689,705,237,942,'byte_1000'
'time_18',515,-926,16,689,705,237,942,-814,128,'byte_500'
'time_19',16,577,705,237,942,-814,128,64,192,'byte_1000'
'time_19',705,750,942,-814,128,64,192,755,947,'byte_1000'
'time_19',942,-819,128,64,192,755,947,-204,743,'byte_1000'
'time_19',128,-551,192,755,947,-204,743,-27,716,'byte_1000'
'time_19',192,231,947,-204,743,-27,716,-429,287,'byte_500'
'time_19',947,456,743,-27,716,-429,287,312,599,'byte_500'
'time_20',743,117,716,-429,287,312,599,-529,70,'byte_1000'
'time_20',716,217,287,312,599,-529,70,307,377,'byte_500'
'time_20',287,222,599,-529,70,307,377,528,905,'byte_10000'
'time_20',599,-835,70,307,377,528,905,-188,717,'byte_500'
'time_20',70,-340,377,528,905,-188,717,-310,407,'byte_10000'
'time_21',377,498,905,-188,717,-310,407,-276,131,'byte_1000'
'time_21',905,586,717,-310,407,-276,131,580,711,'byte_500'
'time_21',717,-304,407,-276,131,580,711,915,1626,'byte_10000'
