@relation dataset_p2p5_16_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',12085,7328,7328,-7328,0,14651,14651,-10620,4031,'byte_500'
'time_0',7328,-4031,0,14651,14651,-10620,4031,3290,7321,'byte_500'
'time_0',0,7330,14651,-10620,4031,3290,7321,738,8059,'byte_500'
'time_0',14651,-4028,4031,3290,7321,738,8059,2933,10992,'byte_4500'
'time_0',4031,-3671,7321,738,8059,2933,10992,-6965,4027,'byte_4000'
'time_0',7321,4032,8059,2933,10992,-6965,4027,-364,3663,'byte_500'
'time_1',8059,7329,10992,-6965,4027,-364,3663,-1369,2294,'byte_4000'
'time_1',10992,1733,4027,-364,3663,-1369,2294,6604,8898,'byte_4500'
'time_1',4027,-5235,3663,-1369,2294,6604,8898,-4870,4028,'byte_500'
'time_1',3663,-1734,2294,6604,8898,-4870,4028,-365,3663,'byte_500'
'time_1',2294,5235,8898,-4870,4028,-365,3663,364,4027,'byte_500'
'time_1',8898,1,4028,-365,3663,364,4027,6960,10987,'byte_4500'
'time_2',4028,-7324,3663,364,4027,6960,10987,-2926,8061,'byte_500'
'time_2',3663,-4034,4027,6960,10987,-2926,8061,-745,7316,'byte_500'
'time_2',4027,3671,10987,-2926,8061,-745,7316,-3287,4029,'byte_500'
'time_2',10987,4032,8061,-745,7316,-3287,4029,-4029,0,'byte_4000'
'time_2',8061,7316,7316,-3287,4029,-4029,0,0,0,'byte_500'
'time_2',7316,4029,4029,-4029,0,0,0,0,0,'byte_500'
'time_3',4029,0,0,0,0,0,0,2,2,'byte_500'
'time_3',0,-2,0,0,0,2,2,4027,4029,'byte_500'
'time_3',0,-4029,0,2,2,4027,4029,-368,3661,'byte_500'
'time_3',0,-3659,2,4027,4029,-368,3661,-3660,1,'byte_4000'
'time_3',2,4028,4029,-368,3661,-3660,1,3660,3661,'byte_500'
'time_4',4029,0,3661,-3660,1,3660,3661,366,4027,'byte_500'
'time_4',3661,-4026,1,3660,3661,366,4027,-4027,0,'byte_4000'
