@relation dataset_day_12_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1064,31316,31316,18875,50191,-49965,226,80610,80836,'byte_500'
'time_0',31316,-30645,50191,-49965,226,80610,80836,-80548,288,'byte_500'
'time_0',50191,-62,226,80610,80836,-80548,288,64136,64424,'byte_500'
'time_0',226,16412,80836,-80548,288,64136,64424,-32115,32309,'byte_10000'
'time_0',80836,-32021,288,64136,64424,-32115,32309,-32021,288,'byte_500'
'time_0',288,64136,64424,-32115,32309,-32021,288,-223,65,'byte_500'
'time_1',64424,32244,32309,-32021,288,-223,65,-1,64,'byte_500'
'time_1',32309,224,288,-223,65,-1,64,32095,32159,'byte_10000'
'time_1',288,-32094,65,-1,64,32095,32159,-32037,122,'byte_500'
'time_1',65,-58,64,32095,32159,-32037,122,29115,29237,'byte_500'
'time_1',64,2922,32159,-32037,122,29115,29237,-29092,145,'byte_10000'
'time_1',32159,-23,122,29115,29237,-29092,145,31483,31628,'byte_500'
'time_2',122,-2391,29237,-29092,145,31483,31628,7572,39200,'byte_500'
'time_2',29237,-39055,145,31483,31628,7572,39200,-6958,32242,'byte_500'
'time_2',145,-614,31628,7572,39200,-6958,32242,-18,32224,'byte_500'
'time_2',31628,6976,39200,-6958,32242,-18,32224,-2883,29341,'byte_500'
'time_2',39200,2901,32242,-18,32224,-2883,29341,-29302,39,'byte_500'
'time_2',32242,32185,32224,-2883,29341,-29302,39,-7,32,'byte_10000'
'time_3',32224,29309,29341,-29302,39,-7,32,29234,29266,'byte_500'
'time_3',29341,-29227,39,-7,32,29234,29266,-29266,0,'byte_500'
'time_3',39,32,32,29234,29266,-29266,0,0,0,'byte_500'
'time_3',32,29266,29266,-29266,0,0,0,29,29,'byte_500'
'time_3',29266,-29,0,0,0,29,29,-29,0,'byte_500'
