@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',3662,0,0,14657,14657,-6376,8281,-4620,3661,'byte_500'
'time_0',0,10996,14657,-6376,8281,-4620,3661,12459,16120,'byte_500'
'time_0',14657,-7839,8281,-4620,3661,12459,16120,-1472,14648,'byte_4500'
'time_0',8281,-10987,3661,12459,16120,-1472,14648,-6362,8286,'byte_500'
'time_0',3661,7834,16120,-1472,14648,-6362,8286,-4624,3662,'byte_4000'
'time_0',16120,10986,14648,-6362,8286,-4624,3662,-3484,178,'byte_500'
'time_1',14648,8108,8286,-4624,3662,-3484,178,7699,7877,'byte_500'
'time_1',8286,-4215,3662,-3484,178,7699,7877,-4216,3661,'byte_500'
'time_1',3662,-3483,178,7699,7877,-4216,3661,366,4027,'byte_4500'
'time_1',178,3850,7877,-4216,3661,366,4027,-319,3708,'byte_500'
'time_1',7877,-47,3661,366,4027,-319,3708,4341,8049,'byte_500'
'time_1',3661,-4022,4027,-319,3708,4341,8049,-4388,3661,'byte_500'
'time_2',4027,47,3708,4341,8049,-4388,3661,-3659,2,'byte_500'
'time_2',3708,8047,8049,-4388,3661,-3659,2,4024,4026,'byte_500'
'time_2',8049,-365,3661,-3659,2,4024,4026,3297,7323,'byte_4500'
'time_2',3661,-7321,2,4024,4026,3297,7323,-7279,44,'byte_500'
'time_2',2,3982,4026,3297,7323,-7279,44,3940,3984,'byte_500'
'time_2',4026,3339,7323,-7279,44,3940,3984,-321,3663,'byte_4500'
'time_3',7323,-3619,44,3940,3984,-321,3663,364,4027,'byte_500'
'time_3',44,-43,3984,-321,3663,364,4027,-366,3661,'byte_500'
'time_3',3984,2,3663,364,4027,-366,3661,366,4027,'byte_1000'
'time_3',3663,0,4027,-366,3661,366,4027,-4027,0,'byte_500'
'time_3',4027,3661,3661,366,4027,-4027,0,2,2,'byte_500'
'time_4',3661,4025,4027,-4027,0,2,2,4024,4026,'byte_4000'
'time_4',4027,-4026,0,2,2,4024,4026,-4026,0,'byte_4500'
'time_4',0,2,2,4024,4026,-4026,0,3661,3661,'byte_500'
'time_4',2,365,4026,-4026,0,3661,3661,-3659,2,'byte_4000'
'time_4',4026,-2,0,3661,3661,-3659,2,-2,0,'byte_500'
'time_4',0,3661,3661,-3659,2,-2,0,0,0,'byte_4500'
'time_5',3661,2,2,-2,0,0,0,4027,4027,'byte_500'
'time_5',2,-4027,0,0,0,4027,4027,-4027,0,'byte_4500'
'time_5',0,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_5',0,4027,4027,-4027,0,0,0,4,4,'byte_500'
'time_5',4027,-4,0,0,0,4,4,-4,0,'byte_5000'
'time_5',0,0,0,4,4,-4,0,0,0,'byte_4000'
'time_6',0,4,4,-4,0,0,0,4028,4028,'byte_500'
'time_6',4,-4028,0,0,0,4028,4028,-4028,0,'byte_500'
'time_6',0,0,0,4028,4028,-4028,0,0,0,'byte_500'
