@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',13168,0,0,14653,14653,-2530,12123,2526,14649,-14649,0,14647,14647,'byte_500'
'time_0',0,6,14653,-2530,12123,2526,14649,-14649,0,14647,14647,-14637,10,'byte_10000'
'time_0',14653,12113,12123,2526,14649,-14649,0,14647,14647,-14637,10,10975,10985,'byte_4500'
'time_0',12123,3664,14649,-14649,0,14647,14647,-14637,10,10975,10985,-6957,4028,'byte_4500'
'time_0',14649,-4028,0,14647,14647,-14637,10,10975,10985,-6957,4028,0,4028,'byte_7500'
'time_0',0,10619,14647,-14637,10,10975,10985,-6957,4028,0,4028,3296,7324,'byte_10000'
'time_1',14647,-7314,10,10975,10985,-6957,4028,0,4028,3296,7324,8787,16111,'byte_4000'
'time_1',10,-5126,10985,-6957,4028,0,4028,3296,7324,8787,16111,-12448,3663,'byte_4500'
'time_1',10985,365,4028,0,4028,3296,7324,8787,16111,-12448,3663,365,4028,'byte_500'
'time_1',4028,0,4028,3296,7324,8787,16111,-12448,3663,365,4028,-4028,0,'byte_8500'
'time_1',4028,7324,7324,8787,16111,-12448,3663,365,4028,-4028,0,8056,8056,'byte_8500'
'time_1',7324,8055,16111,-12448,3663,365,4028,-4028,0,8056,8056,-1,8055,'byte_500'
'time_2',16111,-4392,3663,365,4028,-4028,0,8056,8056,-1,8055,-8055,0,'byte_4500'
'time_2',3663,4028,4028,-4028,0,8056,8056,-1,8055,-8055,0,4031,4031,'byte_500'
