@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',10487,0,0,22020,22020,-1878,20142,-9153,10989,-6874,4115,6869,10984,'byte_1000'
'time_0',0,11036,22020,-1878,20142,-9153,10989,-6874,4115,6869,10984,-2836,8148,'byte_4000'
'time_0',22020,11994,20142,-9153,10989,-6874,4115,6869,10984,-2836,8148,-822,7326,'byte_10000'
'time_0',20142,3663,10989,-6874,4115,6869,10984,-2836,8148,-822,7326,12811,20137,'byte_7500'
'time_0',10989,-16022,4115,6869,10984,-2836,8148,-822,7326,12811,20137,-16105,4032,'byte_4500'
'time_0',4115,6952,10984,-2836,8148,-822,7326,12811,20137,-16105,4032,-213,3819,'byte_4500'
'time_1',10984,4329,8148,-822,7326,12811,20137,-16105,4032,-213,3819,-3256,563,'byte_7500'
'time_1',8148,6763,7326,12811,20137,-16105,4032,-213,3819,-3256,563,3102,3665,'byte_8500'
'time_1',7326,16472,20137,-16105,4032,-213,3819,-3256,563,3102,3665,8414,12079,'byte_500'
'time_1',20137,-8047,4032,-213,3819,-3256,563,3102,3665,8414,12079,-4754,7325,'byte_500'
'time_1',4032,-3506,3819,-3256,563,3102,3665,8414,12079,-4754,7325,-3301,4024,'byte_500'
