@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7319,0,0,14653,14653,-10623,4030,-369,3661,9320,12981,1666,14647,'byte_4500'
'time_0',0,6,14653,-10623,4030,-369,3661,9320,12981,1666,14647,-10616,4031,'byte_6500'
'time_0',14653,-1,4030,-369,3661,9320,12981,1666,14647,-10616,4031,10611,14642,'byte_4500'
'time_0',4030,-10981,3661,9320,12981,1666,14647,-10616,4031,10611,14642,-10615,4027,'byte_500'
'time_0',3661,8954,12981,1666,14647,-10616,4031,10611,14642,-10615,4027,1,4028,'byte_10000'
'time_0',12981,10619,14647,-10616,4031,10611,14642,-10615,4027,1,4028,-366,3662,'byte_8500'
'time_1',14647,369,4031,10611,14642,-10615,4027,1,4028,-366,3662,367,4029,'byte_4000'
'time_1',4031,10613,14642,-10615,4027,1,4028,-366,3662,367,4029,2066,6095,'byte_8500'
'time_1',14642,-2068,4027,1,4028,-366,3662,367,4029,2066,6095,-2067,4028,'byte_500'
'time_1',4027,0,4028,-366,3662,367,4029,2066,6095,-2067,4028,-4021,7,'byte_500'
'time_1',4028,3655,3662,367,4029,2066,6095,-2067,4028,-4021,7,12068,12075,'byte_500'
'time_1',3662,-8046,4029,2066,6095,-2067,4028,-4021,7,12068,12075,-4019,8056,'byte_4000'
'time_2',4029,-1961,6095,-2067,4028,-4021,7,12068,12075,-4019,8056,-4396,3660,'byte_500'
'time_2',6095,368,4028,-4021,7,12068,12075,-4019,8056,-4396,3660,4399,8059,'byte_500'
'time_2',4028,-8052,7,12068,12075,-4019,8056,-4396,3660,4399,8059,-8059,0,'byte_4000'
'time_2',7,12075,12075,-4019,8056,-4396,3660,4399,8059,-8059,0,0,0,'byte_4500'
'time_2',12075,8056,8056,-4396,3660,4399,8059,-8059,0,0,0,0,0,'byte_4000'
'time_2',8056,3660,3660,4399,8059,-8059,0,0,0,0,0,3663,3663,'byte_4000'
'time_3',3660,4396,8059,-8059,0,0,0,0,0,3663,3663,-3663,0,'byte_500'
'time_3',8059,0,0,0,0,0,0,3663,3663,-3663,0,0,0,'byte_500'
'time_3',0,0,0,0,0,3663,3663,-3663,0,0,0,3665,3665,'byte_500'
'time_3',0,-3665,0,3663,3663,-3663,0,0,0,3665,3665,363,4028,'byte_500'
'time_3',0,-365,3663,-3663,0,0,0,3665,3665,363,4028,-38,3990,'byte_500'
'time_4',3663,-3990,0,0,0,3665,3665,363,4028,-38,3990,-329,3661,'byte_4500'
'time_4',0,-3661,0,3665,3665,363,4028,-38,3990,-329,3661,-3661,0,'byte_500'
'time_4',0,3665,3665,363,4028,-38,3990,-329,3661,-3661,0,0,0,'byte_500'
'time_4',3665,4028,4028,-38,3990,-329,3661,-3661,0,0,0,0,0,'byte_500'
'time_4',4028,3990,3990,-329,3661,-3661,0,0,0,0,0,0,0,'byte_500'
'time_4',3990,3661,3661,-3661,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',3661,0,0,0,0,0,0,0,0,0,0,4027,4027,'byte_500'
'time_5',0,-4027,0,0,0,0,0,0,0,4027,4027,-4027,0,'byte_4500'
'time_5',0,0,0,0,0,0,0,4027,4027,-4027,0,0,0,'byte_4000'
'time_5',0,0,0,0,0,4027,4027,-4027,0,0,0,0,0,'byte_500'
'time_5',0,0,0,4027,4027,-4027,0,0,0,0,0,0,0,'byte_500'
'time_5',0,4027,4027,-4027,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',4027,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,4028,4028,'byte_500'
'time_6',0,-4028,0,0,0,0,0,0,0,4028,4028,-367,3661,'byte_4500'
'time_6',0,-3661,0,0,0,0,0,4028,4028,-367,3661,-3661,0,'byte_500'
'time_6',0,0,0,0,0,4028,4028,-367,3661,-3661,0,0,0,'byte_4000'
'time_6',0,0,0,4028,4028,-367,3661,-3661,0,0,0,0,0,'byte_4500'
'time_7',0,4028,4028,-367,3661,-3661,0,0,0,0,0,4034,4034,'byte_500'
'time_7',4028,-373,3661,-3661,0,0,0,0,0,4034,4034,-4034,0,'byte_7500'
'time_7',3661,0,0,0,0,0,0,4034,4034,-4034,0,4027,4027,'byte_500'
'time_7',0,-4027,0,0,0,4034,4034,-4034,0,4027,4027,-4026,1,'byte_500'
'time_7',0,-1,0,4034,4034,-4034,0,4027,4027,-4026,1,3659,3660,'byte_4500'
'time_7',0,374,4034,-4034,0,4027,4027,-4026,1,3659,3660,367,4027,'byte_500'
'time_8',4034,-4027,0,4027,4027,-4026,1,3659,3660,367,4027,-4025,2,'byte_7500'
'time_8',0,4025,4027,-4026,1,3659,3660,367,4027,-4025,2,7326,7328,'byte_4500'
'time_8',4027,-7327,1,3659,3660,367,4027,-4025,2,7326,7328,-7328,0,'byte_10000'
'time_8',1,3660,3660,367,4027,-4025,2,7326,7328,-7328,0,0,0,'byte_10000'
'time_8',3660,4027,4027,-4025,2,7326,7328,-7328,0,0,0,4027,4027,'byte_1000'
'time_9',4027,-4025,2,7326,7328,-7328,0,0,0,4027,4027,-4023,4,'byte_4000'
'time_9',2,7324,7328,-7328,0,0,0,4027,4027,-4023,4,7319,7323,'byte_500'
'time_9',7328,-7323,0,0,0,4027,4027,-4023,4,7319,7323,-3292,4031,'byte_7500'
'time_9',0,-4031,0,4027,4027,-4023,4,7319,7323,-3292,4031,6950,10981,'byte_4500'
'time_9',0,-6954,4027,-4023,4,7319,7323,-3292,4031,6950,10981,169,11150,'byte_10000'
'time_9',4027,-11146,4,7319,7323,-3292,4031,6950,10981,169,11150,-10217,933,'byte_500'
'time_10',4,6390,7323,-3292,4031,6950,10981,169,11150,-10217,933,2728,3661,'byte_10000'
'time_10',7323,370,4031,6950,10981,169,11150,-10217,933,2728,3661,-3659,2,'byte_5500'
'time_10',4031,10979,10981,169,11150,-10217,933,2728,3661,-3659,2,7336,7338,'byte_2500'
'time_10',10981,3812,11150,-10217,933,2728,3661,-3659,2,7336,7338,-3325,4013,'byte_7500'
'time_10',11150,-3080,933,2728,3661,-3659,2,7336,7338,-3325,4013,10633,14646,'byte_500'
'time_10',933,-10985,3661,-3659,2,7336,7338,-3325,4013,10633,14646,-14646,0,'byte_4500'
'time_11',3661,2,2,7336,7338,-3325,4013,10633,14646,-14646,0,16112,16112,'byte_4000'
'time_11',2,-8774,7338,-3325,4013,10633,14646,-14646,0,16112,16112,-10777,5335,'byte_4500'
