@relation dataset_day_14_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1059,32222,32222,46406,78628,-46341,32287,55429,87716,-55227,32489,26000,58489,'byte_500'
'time_0',32222,20139,78628,-46341,32287,55429,87716,-55227,32489,26000,58489,6072,64561,'byte_10000'
'time_0',78628,-32274,32287,55429,87716,-55227,32489,26000,58489,6072,64561,-30945,33616,'byte_10000'
'time_0',32287,54100,87716,-55227,32489,26000,58489,6072,64561,-30945,33616,-6017,27599,'byte_10000'
'time_0',87716,4890,32489,26000,58489,6072,64561,-30945,33616,-6017,27599,1682,29281,'byte_500'
'time_0',32489,29208,58489,6072,64561,-30945,33616,-6017,27599,1682,29281,3034,32315,'byte_500'
'time_1',58489,32246,64561,-30945,33616,-6017,27599,1682,29281,3034,32315,-31780,535,'byte_10000'
'time_1',64561,33081,33616,-6017,27599,1682,29281,3034,32315,-31780,535,31355,31890,'byte_10000'
'time_1',33616,-4291,27599,1682,29281,3034,32315,-31780,535,31355,31890,28080,59970,'byte_500'
'time_1',27599,-30689,29281,3034,32315,-31780,535,31355,31890,28080,59970,-16169,43801,'byte_500'
'time_1',29281,-11486,32315,-31780,535,31355,31890,28080,59970,-16169,43801,-43736,65,'byte_500'
'time_1',32315,470,535,31355,31890,28080,59970,-16169,43801,-43736,65,-65,0,'byte_500'
'time_2',535,31890,31890,28080,59970,-16169,43801,-43736,65,-65,0,96846,96846,'byte_500'
'time_2',31890,-36876,59970,-16169,43801,-43736,65,-65,0,96846,96846,-67551,29295,'byte_500'
'time_2',59970,14506,43801,-43736,65,-65,0,96846,96846,-67551,29295,2929,32224,'byte_500'
'time_2',43801,-32159,65,-65,0,96846,96846,-67551,29295,2929,32224,-32189,35,'byte_500'
'time_2',65,-35,0,96846,96846,-67551,29295,2929,32224,-32189,35,-35,0,'byte_500'
'time_2',0,96846,96846,-67551,29295,2929,32224,-32189,35,-35,0,87873,87873,'byte_10000'
'time_3',96846,-58578,29295,2929,32224,-32189,35,-35,0,87873,87873,-55649,32224,'byte_500'
'time_3',29295,0,32224,-32189,35,-35,0,87873,87873,-55649,32224,-32224,0,'byte_500'
'time_3',32224,35,35,-35,0,87873,87873,-55649,32224,-32224,0,0,0,'byte_500'
'time_3',35,0,0,87873,87873,-55649,32224,-32224,0,0,0,0,0,'byte_500'
'time_3',0,87873,87873,-55649,32224,-32224,0,0,0,0,0,0,0,'byte_500'
'time_4',87873,32224,32224,-32224,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',32224,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_5',0,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_500'
'time_5',0,0,0,0,0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_5',0,0,0,0,0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,29295,29295,-29295,0,0,0,0,0,0,0,'byte_500'
'time_5',0,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',29295,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,32,32,'byte_500'
'time_6',0,-32,0,0,0,0,0,0,0,32,32,-32,0,'byte_500'
'time_6',0,0,0,0,0,0,0,32,32,-32,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,32,32,-32,0,0,0,0,0,'byte_500'
'time_7',0,0,0,32,32,-32,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,32,32,-32,0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_7',32,-32224,0,0,0,0,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_7',0,0,0,0,0,32224,32224,-32224,0,0,0,32224,32224,'byte_10000'
'time_8',0,-32224,0,32224,32224,-32224,0,0,0,32224,32224,-19668,12556,'byte_500'
'time_8',0,19668,32224,-32224,0,0,0,32224,32224,-19668,12556,-12524,32,'byte_10000'
'time_8',32224,-32,0,0,0,32224,32224,-19668,12556,-12524,32,-19,13,'byte_500'
'time_8',0,-13,0,32224,32224,-19668,12556,-12524,32,-19,13,-13,0,'byte_10000'
'time_8',0,32224,32224,-19668,12556,-12524,32,-19,13,-13,0,29289,29289,'byte_500'
'time_8',32224,-16733,12556,-12524,32,-19,13,-13,0,29289,29289,-29289,0,'byte_500'
'time_9',12556,32,32,-19,13,-13,0,29289,29289,-29289,0,75219,75219,'byte_10000'
'time_9',32,-75206,13,-13,0,29289,29289,-29289,0,75219,75219,-55727,19492,'byte_500'
'time_9',13,-19492,0,29289,29289,-29289,0,75219,75219,-55727,19492,22298,41790,'byte_10000'
'time_9',0,-12501,29289,-29289,0,75219,75219,-55727,19492,22298,41790,-41790,0,'byte_500'
'time_9',29289,0,0,75219,75219,-55727,19492,22298,41790,-41790,0,32218,32218,'byte_500'
'time_9',0,43001,75219,-55727,19492,22298,41790,-41790,0,32218,32218,-32218,0,'byte_500'
'time_10',75219,19492,19492,22298,41790,-41790,0,32218,32218,-32218,0,32231,32231,'byte_500'
'time_10',19492,9559,41790,-41790,0,32218,32218,-32218,0,32231,32231,-32231,0,'byte_10000'
'time_10',41790,0,0,32218,32218,-32218,0,32231,32231,-32231,0,58578,58578,'byte_500'
'time_10',0,-26360,32218,-32218,0,32231,32231,-32231,0,58578,58578,-58578,0,'byte_10000'
'time_10',32218,0,0,32231,32231,-32231,0,58578,58578,-58578,0,0,0,'byte_500'
'time_10',0,32231,32231,-32231,0,58578,58578,-58578,0,0,0,32224,32224,'byte_10000'
'time_11',32231,-32224,0,58578,58578,-58578,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_11',0,58578,58578,-58578,0,0,0,32224,32224,-32224,0,32218,32218,'byte_10000'
'time_11',58578,-32218,0,0,0,32224,32224,-32224,0,32218,32218,-32177,41,'byte_500'
'time_11',0,-41,0,32224,32224,-32224,0,32218,32218,-32177,41,-2,39,'byte_500'
'time_11',0,32185,32224,-32224,0,32218,32218,-32177,41,-2,39,1,40,'byte_500'
'time_12',32224,-40,0,32218,32218,-32177,41,-2,39,1,40,-14,26,'byte_500'
'time_12',0,32192,32218,-32177,41,-2,39,1,40,-14,26,41822,41848,'byte_500'
'time_12',32218,-41807,41,-2,39,1,40,-14,26,41822,41848,-41784,64,'byte_500'
'time_12',41,-25,39,1,40,-14,26,41822,41848,-41784,64,59981,60045,'byte_500'
'time_12',39,-60005,40,-14,26,41822,41848,-41784,64,59981,60045,-60038,7,'byte_500'
'time_12',40,19,26,41822,41848,-41784,64,59981,60045,-60038,7,129089,129096,'byte_1000'
'time_13',26,-87248,41848,-41784,64,59981,60045,-60038,7,129089,129096,-70200,58896,'byte_500'
'time_13',41848,-58832,64,59981,60045,-60038,7,129089,129096,-70200,58896,5672,64568,'byte_500'
'time_13',64,-4523,60045,-60038,7,129089,129096,-70200,58896,5672,64568,-64473,95,'byte_500'
'time_13',60045,-88,7,129089,129096,-70200,58896,5672,64568,-64473,95,363,458,'byte_1000'
'time_13',7,128638,129096,-70200,58896,5672,64568,-64473,95,363,458,-207,251,'byte_1000'
'time_13',129096,58645,58896,5672,64568,-64473,95,363,458,-207,251,63,314,'byte_500'
'time_14',58896,64254,64568,-64473,95,363,458,-207,251,63,314,-303,11,'byte_500'
'time_14',64568,84,95,363,458,-207,251,63,314,-303,11,20,31,'byte_500'
'time_14',95,427,458,-207,251,63,314,-303,11,20,31,-9,22,'byte_500'
'time_14',458,229,251,63,314,-303,11,20,31,-9,22,305,327,'byte_500'
'time_14',251,-13,314,-303,11,20,31,-9,22,305,327,209,536,'byte_500'
