@relation dataset_p2p5_3_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',4023,13111,13111,-13110,1,7324,7325,-7322,3,4694,4697,-1647,3050,'byte_500'
'time_0',13111,-3049,1,7324,7325,-7322,3,4694,4697,-1647,3050,5006,8056,'byte_8500'
'time_0',1,-731,7325,-7322,3,4694,4697,-1647,3050,5006,8056,-6999,1057,'byte_500'
'time_0',7325,-1054,3,4694,4697,-1647,3050,5006,8056,-6999,1057,5307,6364,'byte_4500'
'time_0',3,-1667,4697,-1647,3050,5006,8056,-6999,1057,5307,6364,-6363,1,'byte_4500'
'time_0',4697,3049,3050,5006,8056,-6999,1057,5307,6364,-6363,1,16110,16111,'byte_4000'
'time_1',3050,-8055,8056,-6999,1057,5307,6364,-6363,1,16110,16111,-5126,10985,'byte_4500'
'time_1',8056,-9928,1057,5307,6364,-6363,1,16110,16111,-5126,10985,-10985,0,'byte_4500'
'time_1',1057,6364,6364,-6363,1,16110,16111,-5126,10985,-10985,0,0,0,'byte_500'
'time_1',6364,1,1,16110,16111,-5126,10985,-10985,0,0,0,0,0,'byte_4000'
'time_1',1,16111,16111,-5126,10985,-10985,0,0,0,0,0,2,2,'byte_500'
'time_1',16111,10983,10985,-10985,0,0,0,0,0,2,2,-2,0,'byte_500'
'time_2',10985,0,0,0,0,0,0,2,2,-2,0,8056,8056,'byte_7500'
'time_2',0,-8056,0,0,0,2,2,-2,0,8056,8056,-8056,0,'byte_500'
'time_2',0,0,0,2,2,-2,0,8056,8056,-8056,0,4031,4031,'byte_500'
'time_2',0,-4029,2,-2,0,8056,8056,-8056,0,4031,4031,-1,4030,'byte_500'
'time_2',2,-4030,0,8056,8056,-8056,0,4031,4031,-1,4030,-370,3660,'byte_500'
'time_2',0,4396,8056,-8056,0,4031,4031,-1,4030,-370,3660,368,4028,'byte_500'
'time_3',8056,-4028,0,4031,4031,-1,4030,-370,3660,368,4028,-1,4027,'byte_500'
'time_3',0,4,4031,-1,4030,-370,3660,368,4028,-1,4027,-4027,0,'byte_500'
'time_3',4031,4030,4030,-370,3660,368,4028,-1,4027,-4027,0,3662,3662,'byte_500'
'time_3',4030,-2,3660,368,4028,-1,4027,-4027,0,3662,3662,-3662,0,'byte_500'
'time_3',3660,4028,4028,-1,4027,-4027,0,3662,3662,-3662,0,0,0,'byte_500'
'time_3',4028,4027,4027,-4027,0,3662,3662,-3662,0,0,0,7324,7324,'byte_500'
'time_4',4027,-7324,0,3662,3662,-3662,0,0,0,7324,7324,-7324,0,'byte_500'
'time_4',0,3662,3662,-3662,0,0,0,7324,7324,-7324,0,0,0,'byte_500'
'time_4',3662,0,0,0,0,7324,7324,-7324,0,0,0,0,0,'byte_500'
'time_4',0,0,0,7324,7324,-7324,0,0,0,0,0,0,0,'byte_500'
'time_4',0,7324,7324,-7324,0,0,0,0,0,0,0,0,0,'byte_7500'
'time_4',7324,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_7500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_8500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_7500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,7324,7324,'byte_500'
'time_6',0,-7324,0,0,0,0,0,0,0,7324,7324,-3294,4030,'byte_8500'
'time_7',0,-4030,0,0,0,0,0,7324,7324,-3294,4030,-4030,0,'byte_8500'
'time_7',0,0,0,0,0,7324,7324,-3294,4030,-4030,0,3661,3661,'byte_4000'
'time_7',0,-3661,0,7324,7324,-3294,4030,-4030,0,3661,3661,366,4027,'byte_4500'
'time_7',0,3297,7324,-3294,4030,-4030,0,3661,3661,366,4027,-4026,1,'byte_500'
'time_7',7324,4029,4030,-4030,0,3661,3661,366,4027,-4026,1,7324,7325,'byte_500'
'time_7',4030,-7325,0,3661,3661,366,4027,-4026,1,7324,7325,730,8055,'byte_500'
'time_8',0,-4394,3661,366,4027,-4026,1,7324,7325,730,8055,-4027,4028,'byte_7500'
'time_8',3661,-1,4027,-4026,1,7324,7325,730,8055,-4027,4028,3295,7323,'byte_500'
'time_8',4027,-7322,1,7324,7325,730,8055,-4027,4028,3295,7323,-7323,0,'byte_4000'
'time_8',1,7325,7325,730,8055,-4027,4028,3295,7323,-7323,0,0,0,'byte_500'
'time_8',7325,8055,8055,-4027,4028,3295,7323,-7323,0,0,0,8057,8057,'byte_4000'
'time_8',8055,-4029,4028,3295,7323,-7323,0,0,0,8057,8057,-1,8056,'byte_500'
'time_9',4028,-733,7323,-7323,0,0,0,8057,8057,-1,8056,-4394,3662,'byte_8500'
'time_9',7323,-3662,0,0,0,8057,8057,-1,8056,-4394,3662,365,4027,'byte_500'
'time_9',0,-4027,0,8057,8057,-1,8056,-4394,3662,365,4027,-4021,6,'byte_8500'
'time_9',0,8051,8057,-1,8056,-4394,3662,365,4027,-4021,6,-6,0,'byte_8500'
'time_9',8057,8056,8056,-4394,3662,365,4027,-4021,6,-6,0,0,0,'byte_500'
'time_10',8056,3662,3662,365,4027,-4021,6,-6,0,0,0,7325,7325,'byte_4500'
