@relation dataset_day_17_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',559,58594,58594,-58533,61,29234,29295,-28972,323,29132,29455,-14884,14571,'byte_500'
'time_0',58594,-14510,61,29234,29295,-28972,323,29132,29455,-14884,14571,31264,45835,'byte_10000'
'time_0',61,-16540,29295,-28972,323,29132,29455,-14884,14571,31264,45835,18813,64648,'byte_10000'
'time_0',29295,-64325,323,29132,29455,-14884,14571,31264,45835,18813,64648,-46565,18083,'byte_10000'
'time_0',323,11372,29455,-14884,14571,31264,45835,18813,64648,-46565,18083,26668,44751,'byte_500'
'time_0',29455,-30180,14571,31264,45835,18813,64648,-46565,18083,26668,44751,-44744,7,'byte_10000'
'time_1',14571,45828,45835,18813,64648,-46565,18083,26668,44751,-44744,7,211,218,'byte_500'
'time_1',45835,64430,64648,-46565,18083,26668,44751,-44744,7,211,218,29131,29349,'byte_500'
'time_1',64648,-11266,18083,26668,44751,-44744,7,211,218,29131,29349,-19023,10326,'byte_500'
'time_1',18083,34425,44751,-44744,7,211,218,29131,29349,-19023,10326,19044,29370,'byte_500'
'time_1',44751,-29363,7,211,218,29131,29349,-19023,10326,19044,29370,-29280,90,'byte_500'
'time_1',7,128,218,29131,29349,-19023,10326,19044,29370,-29280,90,264,354,'byte_500'
'time_2',218,28995,29349,-19023,10326,19044,29370,-29280,90,264,354,31839,32193,'byte_10000'
'time_2',29349,-21867,10326,19044,29370,-29280,90,264,354,31839,32193,7684,39877,'byte_500'
'time_2',10326,-10507,29370,-29280,90,264,354,31839,32193,7684,39877,18719,58596,'byte_500'
'time_2',29370,-58506,90,264,354,31839,32193,7684,39877,18719,58596,-58596,0,'byte_10000'
'time_2',90,354,354,31839,32193,7684,39877,18719,58596,-58596,0,29295,29295,'byte_500'
'time_2',354,2898,32193,7684,39877,18719,58596,-58596,0,29295,29295,-29295,0,'byte_500'
'time_3',32193,39877,39877,18719,58596,-58596,0,29295,29295,-29295,0,0,0,'byte_500'
'time_3',39877,58596,58596,-58596,0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_3',58596,0,0,29295,29295,-29295,0,0,0,0,0,0,0,'byte_500'
'time_3',0,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',29295,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_4',0,-32224,0,0,0,0,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',0,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
