@relation dataset_p2p5_7_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',18311,1933,1933,3728,5661,2398,8059,8046,16105,-1460,14645,-2561,12084,'byte_4000'
'time_0',1933,-6423,5661,2398,8059,8046,16105,-1460,14645,-2561,12084,-8421,3663,'byte_500'
'time_0',5661,4396,8059,8046,16105,-1460,14645,-2561,12084,-8421,3663,-3,3660,'byte_500'
'time_0',8059,12445,16105,-1460,14645,-2561,12084,-8421,3663,-3,3660,-413,3247,'byte_500'
'time_0',16105,11398,14645,-2561,12084,-8421,3663,-3,3660,-413,3247,4113,7360,'byte_4000'
'time_0',14645,4724,12084,-8421,3663,-3,3660,-413,3247,4113,7360,-7360,0,'byte_4500'
'time_1',12084,3663,3663,-3,3660,-413,3247,4113,7360,-7360,0,8054,8054,'byte_4500'
'time_1',3663,-4394,3660,-413,3247,4113,7360,-7360,0,8054,8054,-4391,3663,'byte_500'
'time_1',3660,-416,3247,4113,7360,-7360,0,8054,8054,-4391,3663,-3,3660,'byte_500'
'time_1',3247,3700,7360,-7360,0,8054,8054,-4391,3663,-3,3660,998,4658,'byte_500'
'time_1',7360,-4658,0,8054,8054,-4391,3663,-3,3660,998,4658,-1260,3398,'byte_4000'
'time_1',0,4656,8054,-4391,3663,-3,3660,998,4658,-1260,3398,181,3579,'byte_500'
'time_2',8054,84,3663,-3,3660,998,4658,-1260,3398,181,3579,-3489,90,'byte_500'
'time_2',3663,3570,3660,998,4658,-1260,3398,181,3579,-3489,90,-88,2,'byte_500'
'time_2',3660,4656,4658,-1260,3398,181,3579,-3489,90,-88,2,-2,0,'byte_4500'
'time_2',4658,3398,3398,181,3579,-3489,90,-88,2,-2,0,3662,3662,'byte_4500'
'time_2',3398,-83,3579,-3489,90,-88,2,-2,0,3662,3662,365,4027,'byte_500'
'time_2',3579,-3937,90,-88,2,-2,0,3662,3662,365,4027,0,4027,'byte_500'
'time_3',90,-4025,2,-2,0,3662,3662,365,4027,0,4027,-4027,0,'byte_500'
'time_3',2,0,0,3662,3662,365,4027,0,4027,-4027,0,0,0,'byte_500'
'time_3',0,3662,3662,365,4027,0,4027,-4027,0,0,0,0,0,'byte_500'
'time_3',3662,4027,4027,0,4027,-4027,0,0,0,0,0,3661,3661,'byte_500'
'time_3',4027,366,4027,-4027,0,0,0,0,0,3661,3661,-3660,1,'byte_4500'
'time_4',4027,-1,0,0,0,0,0,3661,3661,-3660,1,-1,0,'byte_500'
'time_4',0,0,0,0,0,3661,3661,-3660,1,-1,0,0,0,'byte_4000'
'time_4',0,0,0,3661,3661,-3660,1,-1,0,0,0,4031,4031,'byte_500'
'time_4',0,-370,3661,-3660,1,-1,0,0,0,4031,4031,-7,4024,'byte_500'
'time_4',3661,-4023,1,-1,0,0,0,4031,4031,-7,4024,-4024,0,'byte_4000'
'time_4',1,0,0,0,0,4031,4031,-7,4024,-4024,0,0,0,'byte_500'
'time_5',0,0,0,4031,4031,-7,4024,-4024,0,0,0,0,0,'byte_500'
'time_5',0,4031,4031,-7,4024,-4024,0,0,0,0,0,0,0,'byte_500'
'time_5',4031,4024,4024,-4024,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',4024,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,4027,4027,'byte_4000'
'time_5',0,-4027,0,0,0,0,0,0,0,4027,4027,-4026,1,'byte_4500'
'time_6',0,-1,0,0,0,0,0,4027,4027,-4026,1,3660,3661,'byte_500'
'time_6',0,-3661,0,0,0,4027,4027,-4026,1,3660,3661,-3661,0,'byte_8000'
'time_6',0,0,0,4027,4027,-4026,1,3660,3661,-3661,0,0,0,'byte_500'
'time_6',0,4027,4027,-4026,1,3660,3661,-3661,0,0,0,3661,3661,'byte_8500'
'time_6',4027,-3660,1,3660,3661,-3661,0,0,0,3661,3661,-3661,0,'byte_4500'
'time_6',1,3661,3661,-3661,0,0,0,3661,3661,-3661,0,4,4,'byte_3500'
'time_7',3661,-4,0,0,0,3661,3661,-3661,0,4,4,-2,2,'byte_4500'
'time_7',0,-2,0,3661,3661,-3661,0,4,4,-2,2,-2,0,'byte_500'
'time_7',0,3661,3661,-3661,0,4,4,-2,2,-2,0,4028,4028,'byte_10000'
'time_7',3661,-4028,0,4,4,-2,2,-2,0,4028,4028,-366,3662,'byte_500'
'time_7',0,-3658,4,-2,2,-2,0,4028,4028,-366,3662,368,4030,'byte_500'
'time_7',4,-4028,2,-2,0,4028,4028,-366,3662,368,4030,-4028,2,'byte_10000'
'time_8',2,-2,0,4028,4028,-366,3662,368,4030,-4028,2,7930,7932,'byte_4000'
'time_8',0,-3904,4028,-366,3662,368,4030,-4028,2,7930,7932,-7817,115,'byte_10000'
'time_8',4028,3547,3662,368,4030,-4028,2,7930,7932,-7817,115,7940,8055,'byte_10000'
'time_8',3662,-4025,4030,-4028,2,7930,7932,-7817,115,7940,8055,-4028,4027,'byte_8500'
'time_8',4030,-4025,2,7930,7932,-7817,115,7940,8055,-4028,4027,-712,3315,'byte_1500'
'time_9',2,4617,7932,-7817,115,7940,8055,-4028,4027,-712,3315,712,4027,'byte_7500'
'time_9',7932,-3912,115,7940,8055,-4028,4027,-712,3315,712,4027,-4026,1,'byte_500'
'time_9',115,8054,8055,-4028,4027,-712,3315,712,4027,-4026,1,12091,12092,'byte_500'
'time_9',8055,-8065,4027,-712,3315,712,4027,-4026,1,12091,12092,-12092,0,'byte_10000'
'time_9',4027,3315,3315,712,4027,-4026,1,12091,12092,-12092,0,0,0,'byte_4000'
'time_9',3315,4027,4027,-4026,1,12091,12092,-12092,0,0,0,16110,16110,'byte_7500'
'time_10',4027,-16109,1,12091,12092,-12092,0,0,0,16110,16110,-12449,3661,'byte_8500'
'time_10',1,8431,12092,-12092,0,0,0,16110,16110,-12449,3661,16475,20136,'byte_7500'
'time_10',12092,-20136,0,0,0,16110,16110,-12449,3661,16475,20136,-9145,10991,'byte_8500'
'time_10',0,-10991,0,16110,16110,-12449,3661,16475,20136,-9145,10991,-2934,8057,'byte_10000'
'time_10',0,8053,16110,-12449,3661,16475,20136,-9145,10991,-2934,8057,-6940,1117,'byte_4500'
'time_10',16110,2544,3661,16475,20136,-9145,10991,-2934,8057,-6940,1117,6205,7322,'byte_10000'
'time_11',3661,12814,20136,-9145,10991,-2934,8057,-6940,1117,6205,7322,-7322,0,'byte_4000'
'time_11',20136,10991,10991,-2934,8057,-6940,1117,6205,7322,-7322,0,0,0,'byte_10000'
'time_11',10991,8057,8057,-6940,1117,6205,7322,-7322,0,0,0,16372,16372,'byte_10000'
'time_11',8057,-15255,1117,6205,7322,-7322,0,0,0,16372,16372,-12603,3769,'byte_4000'
