@relation dataset_day_19_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',861,32242,32242,-2947,29295,3080,32375,-5938,26437,9056,35493,-6044,29449,'byte_500'
'time_0',32242,-154,29295,3080,32375,-5938,26437,9056,35493,-6044,29449,-1419,28030,'byte_500'
'time_0',29295,4345,32375,-5938,26437,9056,35493,-6044,29449,-1419,28030,-23711,4319,'byte_500'
'time_0',32375,22118,26437,9056,35493,-6044,29449,-1419,28030,-23711,4319,-4284,35,'byte_500'
'time_0',26437,35458,35493,-6044,29449,-1419,28030,-23711,4319,-4284,35,29472,29507,'byte_10000'
'time_0',35493,-58,29449,-1419,28030,-23711,4319,-4284,35,29472,29507,879,30386,'byte_500'
'time_1',29449,-2356,28030,-23711,4319,-4284,35,29472,29507,879,30386,-29279,1107,'byte_10000'
'time_1',28030,3212,4319,-4284,35,29472,29507,879,30386,-29279,1107,-296,811,'byte_500'
'time_1',4319,-776,35,29472,29507,879,30386,-29279,1107,-296,811,-381,430,'byte_500'
'time_1',35,29077,29507,879,30386,-29279,1107,-296,811,-381,430,40118,40548,'byte_500'
'time_1',29507,-10162,30386,-29279,1107,-296,811,-381,430,40118,40548,-10447,30101,'byte_500'
'time_1',30386,-28994,1107,-296,811,-381,430,40118,40548,-10447,30101,35295,65396,'byte_10000'
'time_2',1107,-64585,811,-381,430,40118,40548,-10447,30101,35295,65396,-35992,29404,'byte_500'
'time_2',811,-28974,430,40118,40548,-10447,30101,35295,65396,-35992,29404,-28774,630,'byte_500'
'time_2',430,39918,40548,-10447,30101,35295,65396,-35992,29404,-28774,630,28659,29289,'byte_500'
'time_2',40548,812,30101,35295,65396,-35992,29404,-28774,630,28659,29289,-29288,1,'byte_500'
