@relation dataset_p2p5_2_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',4028,10992,10992,-10992,0,12084,12084,-8421,3663,363,4026,-3949,77,'byte_500'
'time_0',10992,-77,0,12084,12084,-8421,3663,363,4026,-3949,77,-75,2,'byte_4500'
'time_0',0,12082,12084,-8421,3663,363,4026,-3949,77,-75,2,7319,7321,'byte_500'
'time_0',12084,-3658,3663,363,4026,-3949,77,-75,2,7319,7321,-5098,2223,'byte_500'
'time_0',3663,1803,4026,-3949,77,-75,2,7319,7321,-5098,2223,-2223,0,'byte_500'
'time_0',4026,77,77,-75,2,7319,7321,-5098,2223,-2223,0,3665,3665,'byte_500'
'time_1',77,-3663,2,7319,7321,-5098,2223,-2223,0,3665,3665,-3665,0,'byte_500'
'time_1',2,7321,7321,-5098,2223,-2223,0,3665,3665,-3665,0,4029,4029,'byte_500'
'time_1',7321,-1806,2223,-2223,0,3665,3665,-3665,0,4029,4029,-365,3664,'byte_500'
'time_1',2223,-3664,0,3665,3665,-3665,0,4029,4029,-365,3664,536,4200,'byte_4500'
'time_1',0,-535,3665,-3665,0,4029,4029,-365,3664,536,4200,-4200,0,'byte_500'
'time_1',3665,0,0,4029,4029,-365,3664,536,4200,-4200,0,10985,10985,'byte_500'
