@relation dataset_day_12_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1031,64489,64489,-36219,28270,36651,64921,-64921,0,29469,29469,35055,64524,'byte_10000'
'time_0',64489,-36254,28270,36651,64921,-64921,0,29469,29469,35055,64524,-64434,90,'byte_500'
'time_0',28270,64831,64921,-64921,0,29469,29469,35055,64524,-64434,90,58745,58835,'byte_500'
'time_0',64921,-58835,0,29469,29469,35055,64524,-64434,90,58745,58835,-26573,32262,'byte_500'
'time_0',0,-2793,29469,35055,64524,-64434,90,58745,58835,-26573,32262,26790,59052,'byte_500'
'time_0',29469,5472,64524,-64434,90,58745,58835,-26573,32262,26790,59052,-56541,2511,'byte_500'
'time_1',64524,-2421,90,58745,58835,-26573,32262,26790,59052,-56541,2511,-2511,0,'byte_500'
'time_1',90,58835,58835,-26573,32262,26790,59052,-56541,2511,-2511,0,29479,29479,'byte_500'
'time_1',58835,2783,32262,26790,59052,-56541,2511,-2511,0,29479,29479,-29281,198,'byte_500'
'time_1',32262,58854,59052,-56541,2511,-2511,0,29479,29479,-29281,198,-148,50,'byte_500'
'time_1',59052,2461,2511,-2511,0,29479,29479,-29281,198,-148,50,29298,29348,'byte_500'
'time_1',2511,-29348,0,29479,29479,-29281,198,-148,50,29298,29348,-29181,167,'byte_500'
'time_2',0,29312,29479,-29281,198,-148,50,29298,29348,-29181,167,1473,1640,'byte_500'
'time_2',29479,-1442,198,-148,50,29298,29348,-29181,167,1473,1640,-1640,0,'byte_500'
'time_2',198,50,50,29298,29348,-29181,167,1473,1640,-1640,0,249,249,'byte_500'
'time_2',50,29099,29348,-29181,167,1473,1640,-1640,0,249,249,31727,31976,'byte_500'
'time_2',29348,-31809,167,1473,1640,-1640,0,249,249,31727,31976,-31976,0,'byte_500'
'time_2',167,1640,1640,-1640,0,249,249,31727,31976,-31976,0,64450,64450,'byte_10000'
'time_3',1640,-64450,0,249,249,31727,31976,-31976,0,64450,64450,-64450,0,'byte_500'
'time_3',0,249,249,31727,31976,-31976,0,64450,64450,-64450,0,29295,29295,'byte_500'
'time_3',249,2681,31976,-31976,0,64450,64450,-64450,0,29295,29295,-29295,0,'byte_500'
'time_3',31976,0,0,64450,64450,-64450,0,29295,29295,-29295,0,32224,32224,'byte_500'
'time_3',0,32226,64450,-64450,0,29295,29295,-29295,0,32224,32224,-32224,0,'byte_10000'
'time_3',64450,0,0,29295,29295,-29295,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_4',0,29295,29295,-29295,0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_4',29295,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,32224,32224,-32224,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',32224,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,32,32,'byte_10000'
'time_6',0,-32,0,0,0,0,0,0,0,32,32,29228,29260,'byte_10000'
'time_6',0,-29260,0,0,0,0,0,32,32,29228,29260,-29260,0,'byte_500'
'time_6',0,0,0,0,0,32,32,29228,29260,-29260,0,0,0,'byte_10000'
'time_7',0,0,0,32,32,29228,29260,-29260,0,0,0,29,29,'byte_500'
'time_7',0,3,32,29228,29260,-29260,0,0,0,29,29,-29,0,'byte_10000'
'time_7',32,29260,29260,-29260,0,0,0,29,29,-29,0,32218,32218,'byte_10000'
'time_7',29260,-32218,0,0,0,29,29,-29,0,32218,32218,-2929,29289,'byte_10000'
'time_7',0,-29289,0,29,29,-29,0,32218,32218,-2929,29289,-29289,0,'byte_10000'
'time_7',0,29,29,-29,0,32218,32218,-2929,29289,-29289,0,29318,29318,'byte_10000'
'time_8',29,-29318,0,32218,32218,-2929,29289,-29289,0,29318,29318,2906,32224,'byte_500'
'time_8',0,-6,32218,-2929,29289,-29289,0,29318,29318,2906,32224,-32192,32,'byte_10000'
'time_8',32218,29257,29289,-29289,0,29318,29318,2906,32224,-32192,32,29228,29260,'byte_10000'
'time_8',29289,-29260,0,29318,29318,2906,32224,-32192,32,29228,29260,-29260,0,'byte_10000'
'time_8',0,29318,29318,2906,32224,-32192,32,29228,29260,-29260,0,6,6,'byte_500'
'time_8',29318,32218,32224,-32192,32,29228,29260,-29260,0,6,6,-6,0,'byte_10000'
'time_9',32224,32,32,29228,29260,-29260,0,6,6,-6,0,39505,39505,'byte_10000'
'time_9',32,-10245,29260,-29260,0,6,6,-6,0,39505,39505,-7281,32224,'byte_10000'
'time_9',29260,-32224,0,6,6,-6,0,39505,39505,-7281,32224,-32224,0,'byte_10000'
'time_9',0,6,6,-6,0,39505,39505,-7281,32224,-32224,0,0,0,'byte_10000'
'time_9',6,0,0,39505,39505,-7281,32224,-32224,0,0,0,32224,32224,'byte_500'
'time_10',0,7281,39505,-7281,32224,-32224,0,0,0,32224,32224,-2935,29289,'byte_500'
'time_10',39505,2935,32224,-32224,0,0,0,32224,32224,-2935,29289,35153,64442,'byte_500'
'time_10',32224,-64442,0,0,0,32224,32224,-2935,29289,35153,64442,-64442,0,'byte_500'
'time_10',0,0,0,32224,32224,-2935,29289,35153,64442,-64442,0,96660,96660,'byte_500'
'time_10',0,-64436,32224,-2935,29289,35153,64442,-64442,0,96660,96660,-96660,0,'byte_500'
'time_10',32224,29289,29289,35153,64442,-64442,0,96660,96660,-96660,0,32276,32276,'byte_1000'
'time_11',29289,32166,64442,-64442,0,96660,96660,-96660,0,32276,32276,-3033,29243,'byte_500'
'time_11',64442,-29243,0,96660,96660,-96660,0,32276,32276,-3033,29243,35199,64442,'byte_500'
'time_11',0,32218,96660,-96660,0,32276,32276,-3033,29243,35199,64442,-7428,57014,'byte_500'
'time_11',96660,-57014,0,32276,32276,-3033,29243,35199,64442,-7428,57014,-21556,35458,'byte_500'
'time_11',0,-3182,32276,-3033,29243,35199,64442,-7428,57014,-21556,35458,-35412,46,'byte_500'
'time_11',32276,29197,29243,35199,64442,-7428,57014,-21556,35458,-35412,46,87158,87204,'byte_500'
'time_12',29243,-22762,64442,-7428,57014,-21556,35458,-35412,46,87158,87204,-54748,32456,'byte_500'
'time_12',64442,24558,57014,-21556,35458,-35412,46,87158,87204,-54748,32456,-2952,29504,'byte_500'
'time_12',57014,5954,35458,-35412,46,87158,87204,-54748,32456,-2952,29504,-29428,76,'byte_500'
'time_12',35458,-30,46,87158,87204,-54748,32456,-2952,29504,-29428,76,29413,29489,'byte_500'
'time_12',46,57715,87204,-54748,32456,-2952,29504,-29428,76,29413,29489,2596,32085,'byte_500'
'time_12',87204,371,32456,-2952,29504,-29428,76,29413,29489,2596,32085,-2565,29520,'byte_500'
'time_13',32456,-16,29504,-29428,76,29413,29489,2596,32085,-2565,29520,22283,51803,'byte_500'
'time_13',29504,-51727,76,29413,29489,2596,32085,-2565,29520,22283,51803,-22265,29538,'byte_1000'
'time_13',76,-49,29489,2596,32085,-2565,29520,22283,51803,-22265,29538,-29419,119,'byte_500'
'time_13',29489,31966,32085,-2565,29520,22283,51803,-22265,29538,-29419,119,149,268,'byte_500'
'time_13',32085,29252,29520,22283,51803,-22265,29538,-29419,119,149,268,-47,221,'byte_1000'
'time_14',29520,51582,51803,-22265,29538,-29419,119,149,268,-47,221,-68,153,'byte_500'
'time_14',51803,29385,29538,-29419,119,149,268,-47,221,-68,153,145,298,'byte_500'
'time_14',29538,-179,119,149,268,-47,221,-68,153,145,298,-229,69,'byte_500'
'time_14',119,199,268,-47,221,-68,153,145,298,-229,69,484,553,'byte_500'
'time_14',268,-332,221,-68,153,145,298,-229,69,484,553,-300,253,'byte_500'
'time_14',221,-100,153,145,298,-229,69,484,553,-300,253,-86,167,'byte_500'
'time_15',153,131,298,-229,69,484,553,-300,253,-86,167,-132,35,'byte_500'
'time_15',298,34,69,484,553,-300,253,-86,167,-132,35,421,456,'byte_500'
'time_15',69,97,553,-300,253,-86,167,-132,35,421,456,-242,214,'byte_500'
'time_15',553,39,253,-86,167,-132,35,421,456,-242,214,-126,88,'byte_500'
'time_15',253,79,167,-132,35,421,456,-242,214,-126,88,243,331,'byte_500'
'time_15',167,-296,35,421,456,-242,214,-126,88,243,331,-157,174,'byte_500'
'time_16',35,282,456,-242,214,-126,88,243,331,-157,174,-121,53,'byte_1000'
'time_16',456,161,214,-126,88,243,331,-157,174,-121,53,14,67,'byte_1000'
'time_16',214,21,88,243,331,-157,174,-121,53,14,67,93,160,'byte_1000'
'time_16',88,171,331,-157,174,-121,53,14,67,93,160,69,229,'byte_1000'
'time_16',331,-55,174,-121,53,14,67,93,160,69,229,-61,168,'byte_500'
'time_17',174,-115,53,14,67,93,160,69,229,-61,168,399,567,'byte_1000'
'time_17',53,-500,67,93,160,69,229,-61,168,399,567,-393,174,'byte_1000'
'time_17',67,-14,160,69,229,-61,168,399,567,-393,174,266,440,'byte_1000'
'time_17',160,-211,229,-61,168,399,567,-393,174,266,440,112,552,'byte_1500'
'time_17',229,-384,168,399,567,-393,174,266,440,112,552,-142,410,'byte_1000'
'time_17',168,157,567,-393,174,266,440,112,552,-142,410,-273,137,'byte_1000'
'time_18',567,37,174,266,440,112,552,-142,410,-273,137,279,416,'byte_1000'
'time_18',174,24,440,112,552,-142,410,-273,137,279,416,-206,210,'byte_1500'
'time_18',440,342,552,-142,410,-273,137,279,416,-206,210,-99,111,'byte_1000'
'time_18',552,299,410,-273,137,279,416,-206,210,-99,111,-59,52,'byte_1000'
'time_18',410,85,137,279,416,-206,210,-99,111,-59,52,298,350,'byte_2000'
'time_19',137,66,416,-206,210,-99,111,-59,52,298,350,-322,28,'byte_1500'
'time_19',416,182,210,-99,111,-59,52,298,350,-322,28,2,30,'byte_1500'
'time_19',210,81,111,-59,52,298,350,-322,28,2,30,121,151,'byte_10000'
'time_19',111,-99,52,298,350,-322,28,2,30,121,151,-103,48,'byte_10000'
'time_19',52,302,350,-322,28,2,30,121,151,-103,48,70,118,'byte_10000'
'time_19',350,-90,28,2,30,121,151,-103,48,70,118,461,579,'byte_500'
'time_20',28,-549,30,121,151,-103,48,70,118,461,579,165,744,'byte_10000'
'time_20',30,-593,151,-103,48,70,118,461,579,165,744,252,996,'byte_10000'
'time_20',151,-948,48,70,118,461,579,165,744,252,996,-170,826,'byte_500'
'time_20',48,-708,118,461,579,165,744,252,996,-170,826,-420,406,'byte_10000'
'time_20',118,173,579,165,744,252,996,-170,826,-420,406,346,752,'byte_10000'
'time_21',579,-8,744,252,996,-170,826,-420,406,346,752,55,807,'byte_10000'
'time_21',744,189,996,-170,826,-420,406,346,752,55,807,167,974,'byte_3000'
'time_21',996,-148,826,-420,406,346,752,55,807,167,974,107,1081,'byte_500'
'time_21',826,-675,406,346,752,55,807,167,974,107,1081,-480,601,'byte_10000'
'time_21',406,151,752,55,807,167,974,107,1081,-480,601,254,855,'byte_500'
'time_21',752,-48,807,167,974,107,1081,-480,601,254,855,-75,780,'byte_500'
'time_22',807,194,974,107,1081,-480,601,254,855,-75,780,265,1045,'byte_10000'
'time_22',974,36,1081,-480,601,254,855,-75,780,265,1045,-82,963,'byte_500'
'time_22',1081,-362,601,254,855,-75,780,265,1045,-82,963,-122,841,'byte_2000'
'time_22',601,14,855,-75,780,265,1045,-82,963,-122,841,696,1537,'byte_500'
'time_22',855,-757,780,265,1045,-82,963,-122,841,696,1537,-349,1188,'byte_500'
'time_23',780,-143,1045,-82,963,-122,841,696,1537,-349,1188,-157,1031,'byte_10000'
'time_23',1045,-68,963,-122,841,696,1537,-349,1188,-157,1031,63458,64489,'byte_500'
'time_23',963,-63648,841,696,1537,-349,1188,-157,1031,63458,64489,-36219,28270,'byte_10000'
'time_23',841,-26733,1537,-349,1188,-157,1031,63458,64489,-36219,28270,36651,64921,'byte_500'
'time_23',1537,-63733,1188,-157,1031,63458,64489,-36219,28270,36651,64921,-64921,0,'byte_10000'
'time_23',1188,1031,1031,63458,64489,-36219,28270,36651,64921,-64921,0,29469,29469,'byte_500'
