@relation dataset_p2p5_6_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',0,25516,25516,-13427,12089,-4762,7327,20872,28199,-9887,18312,-12412,5900,'byte_500'
'time_0',25516,6189,12089,-4762,7327,20872,28199,-9887,18312,-12412,5900,-2237,3663,'byte_500'
'time_0',12089,3664,7327,20872,28199,-9887,18312,-12412,5900,-2237,3663,8419,12082,'byte_4500'
'time_0',7327,16117,28199,-9887,18312,-12412,5900,-2237,3663,8419,12082,-12081,1,'byte_500'
'time_0',28199,18311,18312,-12412,5900,-2237,3663,8419,12082,-12081,1,12082,12083,'byte_4000'
'time_0',18312,-6183,5900,-2237,3663,8419,12082,-12081,1,12082,12083,-12081,2,'byte_500'
'time_1',5900,3661,3663,8419,12082,-12081,1,12082,12083,-12081,2,7324,7326,'byte_500'
'time_1',3663,4756,12082,-12081,1,12082,12083,-12081,2,7324,7326,729,8055,'byte_500'
'time_1',12082,-8054,1,12082,12083,-12081,2,7324,7326,729,8055,-728,7327,'byte_500'
'time_1',1,4756,12083,-12081,2,7324,7326,729,8055,-728,7327,729,8056,'byte_500'
'time_1',12083,-8054,2,7324,7326,729,8055,-728,7327,729,8056,-4027,4029,'byte_500'
'time_1',2,3297,7326,729,8055,-728,7327,729,8056,-4027,4029,-369,3660,'byte_500'
'time_2',7326,4395,8055,-728,7327,729,8056,-4027,4029,-369,3660,371,4031,'byte_500'
'time_2',8055,3296,7327,729,8056,-4027,4029,-369,3660,371,4031,-4031,0,'byte_500'
'time_2',7327,8056,8056,-4027,4029,-369,3660,371,4031,-4031,0,3661,3661,'byte_500'
'time_2',8056,368,4029,-369,3660,371,4031,-4031,0,3661,3661,-3661,0,'byte_500'
'time_2',4029,3660,3660,371,4031,-4031,0,3661,3661,-3661,0,0,0,'byte_500'
'time_2',3660,4031,4031,-4031,0,3661,3661,-3661,0,0,0,0,0,'byte_500'
'time_3',4031,0,0,3661,3661,-3661,0,0,0,0,0,0,0,'byte_500'
'time_3',0,3661,3661,-3661,0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',3661,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_3',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_3',0,0,0,0,0,0,0,0,0,0,0,4028,4028,'byte_500'
'time_4',0,-4028,0,0,0,0,0,0,0,4028,4028,-4028,0,'byte_500'
'time_4',0,0,0,0,0,0,0,4028,4028,-4028,0,3688,3688,'byte_4500'
'time_4',0,-3688,0,0,0,4028,4028,-4028,0,3688,3688,-3688,0,'byte_500'
'time_4',0,0,0,4028,4028,-4028,0,3688,3688,-3688,0,0,0,'byte_4000'
'time_4',0,4028,4028,-4028,0,3688,3688,-3688,0,0,0,0,0,'byte_4500'
'time_5',4028,0,0,3688,3688,-3688,0,0,0,0,0,0,0,'byte_500'
'time_5',0,3688,3688,-3688,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',3688,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
