@relation dataset_p2p5_13_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7324,4105,4105,-444,3661,366,4027,-3802,225,21576,21801,-5685,16116,'byte_500'
'time_0',4105,-12455,3661,366,4027,-3802,225,21576,21801,-5685,16116,-12759,3357,'byte_4000'
'time_0',3661,670,4027,-3802,225,21576,21801,-5685,16116,-12759,3357,669,4026,'byte_500'
'time_0',4027,-3801,225,21576,21801,-5685,16116,-12759,3357,669,4026,4030,8056,'byte_500'
'time_0',225,13745,21801,-5685,16116,-12759,3357,669,4026,4030,8056,-4396,3660,'byte_4000'
'time_0',21801,12456,16116,-12759,3357,669,4026,4030,8056,-4396,3660,12450,16110,'byte_500'
'time_1',16116,-12753,3357,669,4026,4030,8056,-4396,3660,12450,16110,-15926,184,'byte_500'
'time_1',3357,3842,4026,4030,8056,-4396,3660,12450,16110,-15926,184,10638,10822,'byte_500'
'time_1',4026,-2766,8056,-4396,3660,12450,16110,-15926,184,10638,10822,-10822,0,'byte_500'
'time_1',8056,3660,3660,12450,16110,-15926,184,10638,10822,-10822,0,3663,3663,'byte_500'
'time_1',3660,12447,16110,-15926,184,10638,10822,-10822,0,3663,3663,4391,8054,'byte_500'
'time_1',16110,-7870,184,10638,10822,-10822,0,3663,3663,4391,8054,-4393,3661,'byte_500'
'time_2',184,7161,10822,-10822,0,3663,3663,4391,8054,-4393,3661,-3661,0,'byte_500'
'time_2',10822,0,0,3663,3663,4391,8054,-4393,3661,-3661,0,0,0,'byte_500'
'time_2',0,3663,3663,4391,8054,-4393,3661,-3661,0,0,0,0,0,'byte_500'
'time_2',3663,8054,8054,-4393,3661,-3661,0,0,0,0,0,4027,4027,'byte_500'
'time_2',8054,-366,3661,-3661,0,0,0,0,0,4027,4027,-4025,2,'byte_500'
'time_2',3661,-2,0,0,0,0,0,4027,4027,-4025,2,8055,8057,'byte_500'
'time_3',0,-8057,0,0,0,4027,4027,-4025,2,8055,8057,-4030,4027,'byte_500'
'time_3',0,-4027,0,4027,4027,-4025,2,8055,8057,-4030,4027,-4026,1,'byte_500'
'time_3',0,4026,4027,-4025,2,8055,8057,-4030,4027,-4026,1,-1,0,'byte_8500'
'time_3',4027,2,2,8055,8057,-4030,4027,-4026,1,-1,0,0,0,'byte_500'
'time_3',2,8057,8057,-4030,4027,-4026,1,-1,0,0,0,3662,3662,'byte_500'
'time_4',8057,365,4027,-4026,1,-1,0,0,0,3662,3662,-3662,0,'byte_500'
'time_4',4027,1,1,-1,0,0,0,3662,3662,-3662,0,0,0,'byte_4500'
'time_4',1,0,0,0,0,3662,3662,-3662,0,0,0,3662,3662,'byte_4500'
'time_4',0,-3662,0,3662,3662,-3662,0,0,0,3662,3662,-3662,0,'byte_500'
