@relation dataset_day_24_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',780,64489,64489,-35184,29305,2976,32281,-32245,36,'byte_500'
'time_0',64489,29269,29305,2976,32281,-32245,36,-29,7,'byte_10000'
'time_0',29305,32274,32281,-32245,36,-29,7,14519,14526,'byte_500'
'time_0',32281,-14490,36,-29,7,14519,14526,-14206,320,'byte_10000'
'time_0',36,-313,7,14519,14526,-14206,320,31634,31954,'byte_500'
'time_0',7,-17428,14526,-14206,320,31634,31954,-31639,315,'byte_10000'
'time_1',14526,5,320,31634,31954,-31639,315,32052,32367,'byte_10000'
'time_1',320,-413,31954,-31639,315,32052,32367,-2883,29484,'byte_10000'
'time_1',31954,-29169,315,32052,32367,-2883,29484,31112,60596,'byte_3500'
'time_1',315,-28229,32367,-2883,29484,31112,60596,-57304,3292,'byte_500'
'time_1',32367,26192,29484,31112,60596,-57304,3292,-3108,184,'byte_10000'
'time_1',29484,60412,60596,-57304,3292,-3108,184,58512,58696,'byte_10000'
'time_2',60596,-55404,3292,-3108,184,58512,58696,-26407,32289,'byte_500'
'time_2',3292,-32105,184,58512,58696,-26407,32289,-32217,72,'byte_10000'
'time_2',184,58624,58696,-26407,32289,-32217,72,32028,32100,'byte_500'
'time_2',58696,189,32289,-32217,72,32028,32100,-32100,0,'byte_10000'
'time_2',32289,72,72,32028,32100,-32100,0,32364,32364,'byte_500'
'time_2',72,-264,32100,-32100,0,32364,32364,-32364,0,'byte_10000'
