@relation dataset_day_29_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1001,29295,29295,-27679,1616,15760,17376,-5745,11631,'byte_10000'
'time_0',29295,-10015,1616,15760,17376,-5745,11631,18298,29929,'byte_10000'
'time_0',1616,-12553,17376,-5745,11631,18298,29929,2741,32670,'byte_10000'
'time_0',17376,-21039,11631,18298,29929,2741,32670,26050,58720,'byte_10000'
'time_0',11631,-28791,29929,2741,32670,26050,58720,34840,93560,'byte_3500'
'time_0',29929,-60890,32670,26050,58720,34840,93560,-90515,3045,'byte_4500'
'time_1',32670,55675,58720,34840,93560,-90515,3045,1098,4143,'byte_10000'
'time_1',58720,89417,93560,-90515,3045,1098,4143,24307,28450,'byte_10000'
'time_1',93560,-25405,3045,1098,4143,24307,28450,29749,58199,'byte_10000'
'time_1',3045,-54056,4143,24307,28450,29749,58199,6433,64632,'byte_10000'
'time_1',4143,-36182,28450,29749,58199,6433,64632,-35207,29425,'byte_500'
'time_1',28450,28774,58199,6433,64632,-35207,29425,-29425,0,'byte_10000'
'time_2',58199,64632,64632,-35207,29425,-29425,0,29471,29471,'byte_10000'
'time_2',64632,-46,29425,-29425,0,29471,29471,2918,32389,'byte_10000'
'time_2',29425,-32389,0,29471,29471,2918,32389,-3088,29301,'byte_10000'
'time_2',0,170,29471,2918,32389,-3088,29301,2935,32236,'byte_10000'
'time_2',29471,153,32389,-3088,29301,2935,32236,26331,58567,'byte_10000'
'time_2',32389,-29266,29301,2935,32236,26331,58567,5875,64442,'byte_500'
'time_3',29301,-32206,32236,26331,58567,5875,64442,-64442,0,'byte_500'
'time_3',32236,58567,58567,5875,64442,-64442,0,0,0,'byte_500'
'time_3',58567,64442,64442,-64442,0,0,0,0,0,'byte_10000'
'time_3',64442,0,0,0,0,0,0,29295,29295,'byte_500'
'time_3',0,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_4',0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_4',0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_4',29295,0,0,0,0,0,0,32218,32218,'byte_500'
'time_4',0,-32218,0,0,0,32218,32218,-32218,0,'byte_500'
'time_4',0,0,0,32218,32218,-32218,0,0,0,'byte_500'
'time_4',0,32218,32218,-32218,0,0,0,0,0,'byte_500'
'time_5',32218,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,32218,32218,'byte_500'
'time_5',0,-32218,0,0,0,32218,32218,-32218,0,'byte_500'
'time_5',0,0,0,32218,32218,-32218,0,0,0,'byte_500'
'time_5',0,32218,32218,-32218,0,0,0,0,0,'byte_500'
'time_5',32218,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,29295,29295,'byte_10000'
'time_7',0,-29295,0,0,0,29295,29295,35147,64442,'byte_10000'
'time_7',0,-64442,0,29295,29295,35147,64442,-32218,32224,'byte_500'
'time_8',0,-2929,29295,35147,64442,-32218,32224,-32224,0,'byte_500'
'time_8',29295,64442,64442,-32218,32224,-32224,0,0,0,'byte_500'
'time_8',64442,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_8',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_8',0,0,0,0,0,0,0,32218,32218,'byte_500'
'time_8',0,-32218,0,0,0,32218,32218,-32218,0,'byte_500'
'time_9',0,0,0,32218,32218,-32218,0,0,0,'byte_10000'
'time_9',0,32218,32218,-32218,0,0,0,29289,29289,'byte_500'
'time_9',32218,-29289,0,0,0,29289,29289,-29269,20,'byte_500'
'time_9',0,-20,0,29289,29289,-29269,20,-20,0,'byte_10000'
'time_9',0,29289,29289,-29269,20,-20,0,64436,64436,'byte_10000'
'time_9',29289,-64416,20,-20,0,64436,64436,-32753,31683,'byte_500'
'time_10',20,-31683,0,64436,64436,-32753,31683,-31197,486,'byte_500'
'time_10',0,63950,64436,-32753,31683,-31197,486,-486,0,'byte_10000'
'time_10',64436,31683,31683,-31197,486,-486,0,29295,29295,'byte_500'
'time_10',31683,-28809,486,-486,0,29295,29295,-29295,0,'byte_500'
'time_10',486,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_10',0,29295,29295,-29295,0,0,0,87867,87867,'byte_500'
'time_11',29295,-87867,0,0,0,87867,87867,-87867,0,'byte_500'
'time_11',0,0,0,87867,87867,-87867,0,0,0,'byte_10000'
'time_11',0,87867,87867,-87867,0,0,0,32282,32282,'byte_10000'
'time_11',87867,-32282,0,0,0,32282,32282,-5165,27117,'byte_10000'
'time_11',0,-27117,0,32282,32282,-5165,27117,5101,32218,'byte_500'
'time_11',0,64,32282,-5165,27117,5101,32218,-32161,57,'byte_10000'
'time_12',32282,27060,27117,5101,32218,-32161,57,58521,58578,'byte_500'
'time_12',27117,-26360,32218,-32161,57,58521,58578,-58578,0,'byte_10000'
'time_12',32218,57,57,58521,58578,-58578,0,29409,29409,'byte_10000'
'time_12',57,29169,58578,-58578,0,29409,29409,2772,32181,'byte_10000'
'time_12',58578,-32181,0,29409,29409,2772,32181,-2734,29447,'byte_10000'
'time_13',0,-38,29409,2772,32181,-2734,29447,2856,32303,'byte_10000'
'time_13',29409,-122,32181,-2734,29447,2856,32303,-3019,29284,'byte_500'
'time_13',32181,163,29447,2856,32303,-3019,29284,-29254,30,'byte_10000'
'time_13',29447,32273,32303,-3019,29284,-29254,30,32330,32360,'byte_500'
'time_13',32303,-3076,29284,-29254,30,32330,32360,-32279,81,'byte_500'
'time_13',29284,-51,30,32330,32360,-32279,81,175,256,'byte_500'
'time_14',30,32104,32360,-32279,81,175,256,-193,63,'byte_500'
'time_14',32360,18,81,175,256,-193,63,-5,58,'byte_500'
'time_14',81,198,256,-193,63,-5,58,347,405,'byte_500'
'time_14',256,-342,63,-5,58,347,405,-387,18,'byte_500'
'time_14',63,40,58,347,405,-387,18,392,410,'byte_500'
'time_14',58,-5,405,-387,18,392,410,-338,72,'byte_500'
'time_15',405,-54,18,392,410,-338,72,11,83,'byte_500'
'time_15',18,327,410,-338,72,11,83,66,149,'byte_500'
'time_15',410,-77,72,11,83,66,149,286,435,'byte_1000'
'time_15',72,-352,83,66,149,286,435,392,827,'byte_1000'
'time_15',83,-678,149,286,435,392,827,-120,707,'byte_1000'
'time_16',149,-272,435,392,827,-120,707,7,714,'byte_500'
'time_16',435,113,827,-120,707,7,714,-227,487,'byte_500'
'time_16',827,220,707,7,714,-227,487,-213,274,'byte_1000'
'time_16',707,440,714,-227,487,-213,274,306,580,'byte_500'
'time_16',714,-93,487,-213,274,306,580,-82,498,'byte_500'
'time_16',487,-224,274,306,580,-82,498,-436,62,'byte_500'
'time_17',274,518,580,-82,498,-436,62,124,186,'byte_500'
'time_17',580,312,498,-436,62,124,186,35,221,'byte_500'
'time_17',498,-159,62,124,186,35,221,244,465,'byte_1000'
'time_17',62,-279,186,35,221,244,465,128,593,'byte_500'
'time_17',186,-372,221,244,465,128,593,-454,139,'byte_1500'
'time_17',221,326,465,128,593,-454,139,897,1036,'byte_1000'
'time_18',465,-443,593,-454,139,897,1036,-527,509,'byte_500'
'time_18',593,-370,139,897,1036,-527,509,-148,361,'byte_500'
'time_18',139,675,1036,-527,509,-148,361,-191,170,'byte_1000'
'time_18',1036,339,509,-148,361,-191,170,693,863,'byte_1000'
'time_18',509,-502,361,-191,170,693,863,-76,787,'byte_500'
'time_19',361,-617,170,693,863,-76,787,-575,212,'byte_1500'
'time_19',170,651,863,-76,787,-575,212,869,1081,'byte_1000'
'time_19',863,-294,787,-575,212,869,1081,-233,848,'byte_1000'
'time_19',787,-636,212,869,1081,-233,848,-210,638,'byte_500'
'time_19',212,443,1081,-233,848,-210,638,-193,445,'byte_500'
'time_19',1081,403,848,-210,638,-193,445,-317,128,'byte_500'
'time_20',848,510,638,-193,445,-317,128,-23,105,'byte_1500'
'time_20',638,340,445,-317,128,-23,105,940,1045,'byte_500'
'time_20',445,-917,128,-23,105,940,1045,-729,316,'byte_1000'
'time_20',128,-211,105,940,1045,-729,316,341,657,'byte_1500'
'time_20',105,388,1045,-729,316,341,657,418,1075,'byte_500'
'time_21',1045,-759,316,341,657,418,1075,-961,114,'byte_1000'
'time_21',316,543,657,418,1075,-961,114,880,994,'byte_1000'
'time_21',657,81,1075,-961,114,880,994,-102,892,'byte_500'
'time_21',1075,-778,114,880,994,-102,892,-429,463,'byte_1000'
'time_21',114,531,994,-102,892,-429,463,495,958,'byte_500'
'time_21',994,-66,892,-429,463,495,958,-774,184,'byte_1000'
'time_22',892,279,463,495,958,-774,184,770,954,'byte_1000'
'time_22',463,4,958,-774,184,770,954,0,954,'byte_500'
'time_22',958,-770,184,770,954,0,954,-465,489,'byte_1000'
'time_22',184,465,954,0,954,-465,489,318,807,'byte_1500'
'time_22',954,147,954,-465,489,318,807,241,1048,'byte_500'
'time_23',954,-559,489,318,807,241,1048,-881,167,'byte_1500'
'time_23',489,640,807,241,1048,-881,167,834,1001,'byte_10000'
'time_23',807,47,1048,-881,167,834,1001,28294,29295,'byte_2000'
'time_23',1048,-29128,167,834,1001,28294,29295,-27679,1616,'byte_10000'
'time_23',167,-615,1001,28294,29295,-27679,1616,15760,17376,'byte_10000'
