@relation dataset_day_8_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',353,0,0,29344,29344,-29169,175,28967,29142,'byte_500'
'time_0',0,202,29344,-29169,175,28967,29142,-18802,10340,'byte_500'
'time_0',29344,-10165,175,28967,29142,-18802,10340,33822,44162,'byte_500'
'time_0',175,-15020,29142,-18802,10340,33822,44162,-39569,4593,'byte_10000'
'time_0',29142,5747,10340,33822,44162,-39569,4593,-4219,374,'byte_500'
'time_0',10340,43788,44162,-39569,4593,-4219,374,95853,96227,'byte_500'
'time_1',44162,-91634,4593,-4219,374,95853,96227,-37179,59048,'byte_500'
'time_1',4593,-58674,374,95853,96227,-37179,59048,-25336,33712,'byte_500'
'time_1',374,62515,96227,-37179,59048,-25336,33712,-33476,236,'byte_500'
'time_1',96227,58812,59048,-25336,33712,-33476,236,32025,32261,'byte_10000'
'time_1',59048,1451,33712,-33476,236,32025,32261,-32179,82,'byte_500'
'time_1',33712,154,236,32025,32261,-32179,82,177,259,'byte_500'
'time_2',236,32002,32261,-32179,82,177,259,64669,64928,'byte_500'
'time_2',32261,-64846,82,177,259,64669,64928,-6273,58655,'byte_500'
'time_2',82,-58396,259,64669,64928,-6273,58655,-35980,22675,'byte_500'
'time_2',259,42253,64928,-6273,58655,-35980,22675,-22633,42,'byte_500'
'time_2',64928,58613,58655,-35980,22675,-22633,42,4336,4378,'byte_500'
'time_3',58655,18297,22675,-22633,42,4336,4378,20895,25273,'byte_10000'
'time_3',22675,-25231,42,4336,4378,20895,25273,-25273,0,'byte_500'
'time_3',42,4378,4378,20895,25273,-25273,0,29295,29295,'byte_500'
'time_3',4378,-4022,25273,-25273,0,29295,29295,-29295,0,'byte_500'
'time_3',25273,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_3',0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_4',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,31512,31512,'byte_10000'
'time_4',0,-31512,0,0,0,31512,31512,-31512,0,'byte_500'
'time_4',0,0,0,31512,31512,-31512,0,0,0,'byte_10000'
'time_4',0,31512,31512,-31512,0,0,0,0,0,'byte_500'
'time_4',31512,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,29295,29295,'byte_10000'
'time_5',0,-29295,0,0,0,29295,29295,-29295,0,'byte_10000'
'time_5',0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_5',0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_5',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
