@relation dataset_day_17_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1230,58602,58602,-26313,32289,27771,60060,-27624,32436,'byte_10000'
'time_0',58602,-147,32289,27771,60060,-27624,32436,-3006,29430,'byte_500'
'time_0',32289,30630,60060,-27624,32436,-3006,29430,-29282,148,'byte_500'
'time_0',60060,32288,32436,-3006,29430,-29282,148,29014,29162,'byte_500'
'time_0',32436,268,29430,-29282,148,29014,29162,3472,32634,'byte_500'
'time_0',29430,-32486,148,29014,29162,3472,32634,-2762,29872,'byte_500'
'time_1',148,-710,29162,3472,32634,-2762,29872,-29616,256,'byte_500'
'time_1',29162,32378,32634,-2762,29872,-29616,256,29158,29414,'byte_500'
'time_1',32634,458,29872,-29616,256,29158,29414,-6109,23305,'byte_500'
'time_1',29872,-23049,256,29158,29414,-6109,23305,-23098,207,'byte_10000'
'time_1',256,29207,29414,-6109,23305,-23098,207,128931,129138,'byte_500'
'time_1',29414,-105833,23305,-23098,207,128931,129138,-128085,1053,'byte_500'
'time_2',23305,-846,207,128931,129138,-128085,1053,30128,31181,'byte_10000'
'time_2',207,97957,129138,-128085,1053,30128,31181,-31121,60,'byte_500'
'time_2',129138,993,1053,30128,31181,-31121,60,32254,32314,'byte_500'
'time_2',1053,-1133,31181,-31121,60,32254,32314,-72,32242,'byte_500'
'time_2',31181,-32182,60,32254,32314,-72,32242,-32242,0,'byte_500'
'time_2',60,32314,32314,-72,32242,-32242,0,0,0,'byte_500'
'time_3',32314,32242,32242,-32242,0,0,0,0,0,'byte_500'
'time_3',32242,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_3',0,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_4',0,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_4',0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_4',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_5',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_5',0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_5',0,32224,32224,-32224,0,0,0,32224,32224,'byte_500'
'time_5',32224,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_6',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_6',0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_6',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_7',0,-32224,0,0,0,32224,32224,-2929,29295,'byte_10000'
'time_7',0,-29295,0,32224,32224,-2929,29295,-29295,0,'byte_10000'
'time_8',0,32224,32224,-2929,29295,-29295,0,32224,32224,'byte_10000'
'time_8',32224,-2929,29295,-29295,0,32224,32224,-32224,0,'byte_500'
'time_8',29295,0,0,32224,32224,-32224,0,32224,32224,'byte_10000'
'time_8',0,0,32224,-32224,0,32224,32224,-32224,0,'byte_500'
'time_8',32224,0,0,32224,32224,-32224,0,32224,32224,'byte_10000'
'time_9',0,0,32224,-32224,0,32224,32224,-32224,0,'byte_500'
'time_9',32224,0,0,32224,32224,-32224,0,29295,29295,'byte_10000'
'time_9',0,2929,32224,-32224,0,29295,29295,-29295,0,'byte_10000'
'time_9',32224,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_9',0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_9',29295,0,0,0,0,0,0,64475,64475,'byte_500'
'time_10',0,-64475,0,0,0,64475,64475,-35180,29295,'byte_10000'
'time_10',0,-29295,0,64475,64475,-35180,29295,-29295,0,'byte_10000'
'time_10',0,64475,64475,-35180,29295,-29295,0,25493,25493,'byte_1000'
'time_10',64475,3802,29295,-29295,0,25493,25493,-25493,0,'byte_500'
'time_10',29295,0,0,25493,25493,-25493,0,64449,64449,'byte_500'
'time_10',0,-38956,25493,-25493,0,64449,64449,-64449,0,'byte_500'
'time_11',25493,0,0,64449,64449,-64449,0,0,0,'byte_500'
'time_11',0,64449,64449,-64449,0,0,0,14,14,'byte_500'
'time_11',64449,-14,0,0,0,14,14,29280,29294,'byte_500'
'time_11',0,-29294,0,14,14,29280,29294,26128,55422,'byte_500'
'time_11',0,-55408,14,29280,29294,26128,55422,-26133,29289,'byte_500'
'time_11',14,5,29294,26128,55422,-26133,29289,-29289,0,'byte_500'
'time_12',29294,55422,55422,-26133,29289,-29289,0,87010,87010,'byte_500'
'time_12',55422,-57721,29289,-29289,0,87010,87010,-86971,39,'byte_500'
'time_12',29289,-39,0,87010,87010,-86971,39,96061,96100,'byte_500'
'time_12',0,-9090,87010,-86971,39,96061,96100,-96009,91,'byte_500'
'time_12',87010,-52,39,96061,96100,-96009,91,129048,129139,'byte_500'
'time_13',39,-33039,96100,-96009,91,129048,129139,-99781,29358,'byte_500'
'time_13',96100,-29267,91,129048,129139,-99781,29358,-29319,39,'byte_500'
